Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-11,05:30,AUSTRALIA - A-LEAGUE,2019/2020,Sydney FC,Newcastle Jets,ROUND 4,2,1,4,1,2.2,2.4,4.5,2.05,2.5,5.5,1.28,3.5,1.30,3.40,,,,,2.37,1.53,2.37,1.53,,,,,5.5,1.14,6.00,1.12,1.65,4,4.75,1.53,4.2,5.75,1.18,1.22,2.2,1.14,1.22,2.37,1.61,2.2,1.7,2.05,1.03,15,1.03,15,1.03,9.3,1.03,9.40,1.18,4.5,1.18,4.5,1.27,3.6,1.27,3.68,1.61,2.3,1.61,2.3,1.96,1.94,1.93,1.86,2.5,1.53,2.62,1.50,3.48,1.26,3.34,1.28,4.5,1.2,4.5,1.2,6.3,1.08,6.10,1.08,8,1.08,9.00,1.07,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,1.3,3.45,1.47,2.6,1.24,3.9,1.88,2.02,1.13,5.9,2.37,1.55,1.05,11,3.3,1.32,,,4.8,1.17,,,6.8,1.1,,,15,17,26,51,9.5,8,15,34,9.5,8.5,13,34,13,12,21,41,101,67,67,81,26,23,34,51,151,60,40,10,3,60,53,18,16,3,2,5,1,2,0,258,164,,,3,10,,,1,0,0,3,1,1,2,7,0,1,,,12,6,16,16,60,40,17,9,121,105,39,45,6,4,8,4,3,1,562,369,,,,,5,16,,,5,3,0,5,3,2,3,10,0,2,,,19,17,28,25
2,2019-01-12,02:00,AUSTRALIA - A-LEAGUE,2019/2020,Western United,Sydney FC,ROUND 8,0,2,0,2,3.75,2.2,2.75,3.5,2.2,2.87,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,3.4,3.3,2.2,3.1,3.4,2.25,1.61,1.33,1.3,1.57,1.3,1.36,1.61,2.2,1.66,2.1,1.05,12,1.05,12,1.05,7.9,1.06,7.50,1.25,3.75,1.25,3.75,1.36,3.26,1.38,2.91,1.8,2,1.8,2,2.28,1.66,2.45,1.51,3,1.4,3.20,1.36,4.3,1.18,4.60,1.16,5.5,1.14,5.5,1.14,7.7,1.05,8.20,1.04,11,1.05,11,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,2.42,1.52,2.85,1.4,2.03,1.87,4.25,1.21,1.52,2.42,6.8,1.1,1.27,3.55,8.2,1.07,1.16,5.25,,,1.08,9,,,,,12,9,11,21,12,6.5,9,17,19,12,12,23,34,26,29,41,41,34,41,81,67,51,51,101,151,56,44,6,4,65,52,21,12,0,4,5,0,1,0,293,225,,,6,5,,,1,2,0,0,2,0,6,5,1,0,,,12,7,17,6,61,39,22,8,143,95,73,23,2,6,11,2,9,0,612,393,,,,,14,10,,,4,3,2,0,4,2,12,10,3,1,,,21,23,19,17
3,2019-01-12,04:00,AUSTRALIA - A-LEAGUE,2019/2020,Adelaide United,Wellington Phoenix,ROUND 8,0,0,1,2,2.05,2.6,5,2.2,2.4,4.5,1.25,3.75,1.28,3.50,,,,,2.2,1.61,2.25,1.57,,,,,5,1.16,5.50,1.14,1.44,4.5,7,1.66,4,4.75,1.1,1.18,2.62,1.18,1.22,2.1,1.57,2.25,1.61,2.2,1.02,19,1.02,17.00,1.01,10.5,1.03,9.40,1.14,5.5,1.16,5.00,1.2,4.5,1.27,3.68,1.44,2.75,1.57,2.37,1.73,2.16,1.98,1.81,2.2,1.66,2.37,1.57,2.8,1.38,3.34,1.28,3.75,1.28,4.33,1.22,5.05,1.13,6.05,1.09,7,1.1,8.00,1.08,,,,,13,1.04,17.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,1.2,4.4,1.35,3.1,1.17,5,1.62,2.25,1.1,6.8,2.1,1.7,1.04,14,2.75,1.42,,,3.8,1.25,,,5.5,1.15,,,19,21,34,51,9.5,9,19,41,9.5,8,13,41,12,11,17,41,151,81,81,101,21,19,29,51,126,50,50,4,13,74,57,29,24,0,4,1,4,3,5,219,211,,,12,5,,,5,4,0,0,4,0,12,5,,,,,12,4,11,10,48,52,9,26,131,112,58,53,3,9,2,10,4,7,416,454,,,,,21,12,,,7,6,1,0,7,2,22,12,0,1,,,22,9,25,18
4,2019-02-11,03:00,AUSTRALIA - A-LEAGUE,2019/2020,WS Wanderers,Brisbane Roar,ROUND 4,0,0,0,0,2.5,2.37,3.75,2.4,2.25,4.5,1.3,3.4,1.36,3.00,,,,,2.37,1.53,2.62,1.44,,,,,6,1.12,7.00,1.10,1.95,3.6,3.8,1.8,3.5,4.5,1.25,1.28,1.8,1.18,1.28,1.9,1.53,2.37,1.7,2.05,1.03,15,1.05,11.00,1.03,9.2,1.05,7.80,1.18,4.5,1.25,3.75,1.28,3.6,1.37,2.99,1.61,2.3,1.80,2.00,2.02,1.89,2.38,1.54,2.5,1.53,3.20,1.36,3.48,1.26,4.40,1.17,4.5,1.2,5.50,1.14,6.3,1.08,7.90,1.04,9,1.07,11.00,1.05,,,,,17,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.45,2.67,1.7,2.1,1.35,3.1,2.25,1.62,1.2,4.4,3.1,1.35,1.1,7,4.25,1.21,,,6.6,1.11,,,,,,,15,15,21,41,10,7,13,26,11,9,12,29,19,15,21,34,81,51,51,81,34,29,41,51,126,45,55,4,8,50,57,27,24,2,3,0,0,2,5,234,281,,,9,4,,,3,2,0,0,3,2,9,4,,,,,9,6,9,12,43,57,10,18,95,130,56,57,4,7,3,5,3,6,425,555,,,,,9,12,,,5,4,1,2,7,4,23,10,1,0,,,20,11,9,12
5,2019-02-11,05:30,AUSTRALIA - A-LEAGUE,2019/2020,Melbourne Victory,Western United,ROUND 4,2,2,2,3,3.25,2.1,3.4,2.87,2.2,3.75,1.4,2.75,1.4,2.75,,,,,3,1.36,2.75,1.40,,,,,8,1.08,8,1.08,2.6,3.25,2.8,2.15,3.25,3.4,1.4,1.33,1.5,1.3,1.33,1.66,1.75,2,1.7,2.05,1.06,10,1.06,10,1.08,6.6,1.06,7.10,1.3,3.4,1.28,3.50,1.45,2.83,1.43,2.73,2,1.8,1.90,1.90,2.61,1.52,2.60,1.46,3.5,1.3,3.40,1.33,5.4,1.12,4.90,1.14,6.5,1.11,6.00,1.12,9.3,1.02,8.60,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.87,2.03,2.15,1.67,1.57,2.35,3,1.37,1.32,3.3,4.5,1.19,1.16,5.25,6.8,1.1,1.09,7.2,14,1.04,,,,,,,10,9,13,26,8.5,6,10,21,13,10,13,29,26,21,29,41,51,51,51,101,51,41,51,101,201,38,62,6,7,53,64,22,14,3,2,2,3,1,2,192,315,,,5,4,,,3,1,0,0,0,1,6,5,0,1,,,11,10,10,8,48,52,16,10,130,100,66,26,3,4,11,4,2,2,452,513,,,,,13,8,,,7,1,0,0,1,1,14,10,0,4,,,28,15,19,25
6,2019-03-11,02:00,AUSTRALIA - A-LEAGUE,2019/2020,Melbourne City,Wellington Phoenix,ROUND 4,2,1,3,2,2.62,2.3,3.6,2.1,2.37,5.5,1.3,3.4,1.33,3.25,,,,,2.37,1.53,2.50,1.50,,,,,6,1.12,6.50,1.11,2.1,3.6,3.4,1.57,3.8,6,1.3,1.28,1.66,1.12,1.25,2.25,1.53,2.37,1.75,2,1.03,15,1.04,13.00,1.03,9,1.04,8.60,1.18,4.5,1.22,4.00,1.3,3.44,1.33,3.26,1.66,2.2,1.72,2.10,2.13,1.8,2.21,1.63,2.5,1.53,2.75,1.44,3.54,1.25,3.82,1.22,4.5,1.2,5.00,1.16,6.45,1.07,6.95,1.06,9,1.07,10.00,1.06,,,,,17,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.5,2.5,1.79,2.11,1.37,3,2.35,1.57,1.21,4.25,3.3,1.32,1.11,6.6,4.5,1.19,,,7,1.1,,,7,1.1,,,15,15,19,34,10,7,12,23,12,9,11,26,21,15,21,34,67,51,51,81,41,29,41,51,126,69,31,6,3,70,46,33,9,3,1,2,1,1,1,352,155,,,11,4,,,2,1,0,0,0,1,11,4,3,0,,,5,8,11,12,61,39,16,7,130,103,56,34,8,3,3,2,5,2,580,373,,,,,18,11,,,7,3,1,1,1,5,17,11,4,0,,,21,14,25,19
7,2019-03-11,04:00,AUSTRALIA - A-LEAGUE,2019/2020,Perth Glory,Central Coast Mariners,ROUND 4,1,2,1,2,2.05,2.4,5.5,1.95,2.5,6,1.3,3.4,1.3,3.4,,,,,2.37,1.53,2.37,1.53,,,,,6,1.12,6,1.12,1.5,4.2,6.25,1.44,4.33,7,1.12,1.22,2.5,1.1,1.2,2.62,1.7,2.05,1.75,2,1.03,15,1.03,15,1.03,9.2,1.03,9.30,1.18,4.5,1.18,4.5,1.29,3.56,1.28,3.60,1.66,2.2,1.61,2.30,2.05,1.86,1.93,1.86,2.5,1.53,2.62,1.50,3.48,1.26,3.40,1.27,4.5,1.2,4.5,1.2,6.3,1.08,6.20,1.08,9,1.07,9,1.07,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,1.2,4.4,1.35,3.1,1.17,5,1.65,2.2,1.1,7,2.15,1.67,,,2.85,1.4,,,4.15,1.22,,,5.9,1.13,,,15,19,34,67,8.5,8,19,41,8.5,8,15,41,12,12,21,41,151,101,101,126,21,21,34,67,151,54,46,5,7,62,40,30,35,2,3,1,3,2,1,264,223,,,8,11,,,5,1,0,2,1,1,8,9,1,1,,,5,9,9,10,61,39,18,9,134,71,93,41,6,3,3,4,9,2,580,375,,,,,14,18,,,15,1,0,2,1,5,14,16,1,2,,,11,18,16,28
8,2019-06-12,05:30,AUSTRALIA - A-LEAGUE,2019/2020,Melbourne City,Perth Glory,ROUND 9,0,1,0,3,2.75,2.3,3.5,2.75,2.3,3.6,1.3,3.4,1.36,3.00,,,,,2.37,1.53,2.62,1.44,,,,,6,1.12,7.00,1.10,2.05,3.5,3.5,2.05,3.5,3.4,1.28,1.28,1.72,1.3,1.28,1.72,1.57,2.25,1.66,2.1,1.04,13,1.05,12.00,1.01,10.5,1.05,7.90,1.2,4.33,1.25,3.75,1.27,3.4,1.36,3.00,1.66,2.2,1.80,2.00,2.18,1.76,2.38,1.54,2.62,1.5,3.00,1.40,3.96,1.24,4.32,1.18,5,1.16,5.50,1.14,7.8,1.05,7.8,1.04,10,1.06,11.00,1.05,,,,,19,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.55,2.37,1.89,2.01,1.42,2.75,2.37,1.55,1.24,3.9,3.45,1.3,1.12,6.25,5,1.17,1.02,9.8,7,1.1,,,,,,,15,13,19,41,10,7,12,23,12,9,12,29,19,15,21,34,67,51,51,81,41,29,41,67,126,67,33,5,4,72,48,27,17,2,1,2,1,1,2,378,185,,,7,9,,,2,1,1,0,0,2,6,8,1,1,,,9,5,8,16,62,38,13,9,122,90,58,45,2,3,7,2,4,4,593,360,,,,,12,15,,,7,7,2,1,0,2,11,13,1,1,,,20,9,17,26
9,2019-07-12,03:00,AUSTRALIA - A-LEAGUE,2019/2020,Wellington Phoenix,WS Wanderers,ROUND 9,0,0,2,1,2.75,2.37,3.4,3,2.3,3.2,1.28,3.5,1.30,3.40,,,,,2.37,1.53,2.37,1.53,,,,,5.5,1.14,6.00,1.12,2.2,3.7,3.1,2.45,3.5,2.7,1.36,1.28,1.61,1.44,1.28,1.53,1.5,2.5,1.53,2.37,1.02,17,1.03,15.00,,,,,1.16,5,1.18,4.50,1.23,3.86,1.30,3.44,1.57,2.37,1.61,2.30,1.88,2.03,1.97,1.82,2.37,1.57,2.62,1.50,3.4,1.27,3.54,1.25,4.33,1.22,4.50,1.20,6.7,1.06,6.45,1.07,8,1.08,9.00,1.07,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,1.62,2.25,1.97,1.93,1.47,2.6,2.5,1.5,1.27,3.55,3.55,1.27,1.15,5.5,5.25,1.16,1.1,6.8,9.5,1.07,,,,,,,17,13,19,34,11,7.5,11,21,13,9,11,23,21,15,21,34,51,41,51,67,41,34,41,51,101,50,50,2,9,53,66,11,33,0,3,1,4,1,2,243,233,,,6,7,,,1,3,0,0,3,0,7,7,1,1,,,12,14,11,10,49,51,14,15,111,113,32,58,5,4,6,7,3,4,431,439,,,,,10,11,,,3,6,1,0,3,3,11,11,4,4,,,19,24,13,18
10,2019-07-12,05:30,AUSTRALIA - A-LEAGUE,2019/2020,Sydney FC,Brisbane Roar,ROUND 9,3,0,5,1,2.25,2.4,4.5,1.95,2.5,6,1.3,3.4,1.28,3.50,,,,,2.5,1.5,2.25,1.57,,,,,6,1.12,5.50,1.14,1.66,4.33,4.5,1.4,4.75,7,1.18,1.2,2.1,1.1,1.18,2.75,1.66,2.1,1.7,2.05,1.03,15,1.02,17.00,1.01,11,1.02,9.30,1.18,4.5,1.16,5.00,1.27,3.6,1.24,3.64,1.66,2.2,1.53,2.50,2.09,1.83,1.80,2.00,2.62,1.5,2.37,1.57,3.72,1.23,3.38,1.31,4.5,1.2,4.33,1.22,7.4,1.05,6.05,1.09,9,1.07,8.00,1.08,10,1.01,10,1.01,19,1.02,15.00,1.03,,,,,,,,,,,,,,,,,1.35,3.1,1.52,2.42,1.3,3.45,1.98,1.92,1.16,5.25,2.5,1.5,1.06,11,3.45,1.3,,,5.25,1.16,,,7,1.1,,,15,15,23,51,9,8,15,34,9,8.5,15,34,13,12,21,41,101,67,67,101,26,23,41,67,151,44,56,6,4,37,84,8,25,4,2,1,2,1,0,243,302,,,4,5,,,0,3,1,2,2,1,6,2,,,,,6,5,9,7,42,58,12,15,74,148,25,77,8,6,3,7,1,2,417,560,,,,,9,11,,,0,5,2,2,5,3,14,8,2,2,,,17,11,24,13
