Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,09:00,BULGARIA - PARVA LIGA,2019/2020,Vitosha Bistritsa,Tsarsko Selo,ROUND 8,1,1,3,2,4,2.05,2.87,3.75,2.1,3,1.44,2.62,1.40,2.75,,,,,3.25,1.33,3.00,1.36,,,,,10,1.06,8.00,1.08,3.5,3.2,2.05,3,3.2,2.15,1.72,1.36,1.28,1.61,1.33,1.33,1.9,1.8,1.8,1.9,1.08,8,1.06,10.00,1.1,5.75,1.07,6.80,1.36,3,1.30,3.40,1.64,2.15,1.48,2.47,2.2,1.65,2.00,1.80,3.1,1.33,2.69,1.41,4,1.22,3.50,1.28,6.15,1.08,5.30,1.12,9,1.07,7.00,1.10,,,,,19,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.49,1.55,2.91,1.41,1.98,1.83,4.12,1.2,1.52,2.41,5.7,1.11,1.26,3.52,,,,,,,,,,,,,8,6.5,9,19,9,6,9,19,17,13,17,34,41,34,41,51,41,41,67,151,81,67,101,201,301,51,49,4,5,55,52,28,27,2,3,2,2,,,,,,,14,14,,,0,2,,,2,1,,,1,1,,,,,17,15,53,47,11,12,109,91,65,57,6,5,5,7,,,,,,,,,27,25,,,1,5,,,3,3,,,3,2,1,0,,,26,30
2,2019-01-09,11:45,BULGARIA - PARVA LIGA,2019/2020,CSKA Sofia,Levski Sofia,ROUND 8,0,2,2,2,3.6,1.95,3.4,3.5,2.05,3.4,1.57,2.25,1.50,2.50,,,,,3.75,1.25,3.40,1.30,,,,,13,1.04,10.00,1.06,2.8,3.1,2.4,2.6,3.1,2.5,1.5,1.33,1.36,1.44,1.33,1.44,2.2,1.61,1.83,1.83,1.1,7,1.08,8.50,1.17,4.32,1.09,6.10,1.5,2.5,1.36,3.00,1.97,1.76,1.61,2.18,2.7,1.44,2.20,1.65,4.2,1.2,3.00,1.33,5,1.16,4.00,1.22,8.1,1.04,6.10,1.09,13,1.04,9.00,1.07,,,,,26,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2,1.8,2.55,1.54,1.68,2.23,3.9,1.27,1.33,3.4,7,1.12,1.15,6,11,1.06,1.08,9.5,20,1.02,1.03,19,31,1.01,1.01,30,7,6,11,26,6.5,6,10,26,12,11,19,41,29,29,41,81,51,51,101,251,67,67,101,251,201,44,56,0,3,38,32,37,30,0,2,0,1,,,,,,,7,6,,,2,4,,,0,0,,,,,,,,,18,15,45,55,5,5,88,65,95,51,4,2,1,3,,,,,,,,,19,11,,,5,4,,,0,2,,,4,2,,,,,29,32
3,2019-01-09,14:30,BULGARIA - PARVA LIGA,2019/2020,Botev Vratsa,Ludogorets,ROUND 8,0,1,0,1,6.5,2.6,1.83,6.5,2.5,1.9,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.37,1.53,,,,,5.5,1.14,5.5,1.14,8,4.75,1.33,6.5,4.5,1.36,3.25,1.18,1.08,2.75,1.16,1.1,1.8,1.9,1.83,1.83,1.03,15,1.03,15,1.02,9.2,1.02,10.00,1.16,5,1.18,4.50,1.26,3.54,1.24,3.60,1.61,2.25,1.60,2.30,1.9,1.83,1.91,1.80,2.37,1.53,2.50,1.50,3.32,1.27,3.50,1.26,4,1.22,4.33,1.20,,,,,9,1.07,9,1.07,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,6.25,1.14,6.75,1.12,4,1.26,10.5,1.07,2.75,1.46,,,2,1.8,,,1.57,2.45,,,1.32,3.5,,,1.19,4.9,15,7.5,7,9,23,9.5,8,11,41,23,19,21,101,51,51,51,15,19,41,81,301,151,151,201,301,44,56,5,4,46,44,29,26,1,1,4,3,,,,,,,9,8,,,0,2,,,0,1,,,2,2,,,,,13,14,49,51,10,6,89,94,65,61,3,2,7,4,,,,,,,,,17,19,,,2,6,,,1,3,,,4,6,,,,,30,26
4,2019-01-12,07:00,BULGARIA - PARVA LIGA,2019/2020,Lok. Plovdiv,Arda,ROUND 18,0,0,0,0,2.2,2.25,6,2.05,2.3,6,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.62,1.44,,,,,8,1.08,7.00,1.10,1.5,3.75,6,1.5,3.75,6,1.11,1.22,2.37,1.11,1.22,2.37,2,1.72,1.83,1.83,1.06,10,1.05,11.00,1.06,6.7,1.05,7.70,1.3,3.4,1.25,3.75,1.48,2.5,1.36,2.80,1.95,1.85,1.80,2.00,2.58,1.45,2.37,1.49,3.4,1.3,3.00,1.36,4.96,1.13,4.60,1.16,7,1.1,5.50,1.14,,,,,15,1.03,13.00,1.04,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.18,5.2,1.36,3.2,1.15,6,1.73,2.08,1.07,10,2.38,1.61,1.02,21,3.4,1.34,,,5.3,1.18,,,8,1.1,,,10,15,29,67,6,7.5,19,41,7,8.5,19,51,11,13,29,67,201,126,151,201,21,26,51,101,351,52,48,2,2,67,51,31,31,1,1,1,1,,,,,,,12,8,,,3,2,,,1,1,,,1,2,,,,,9,15,49,51,6,4,120,103,70,60,3,2,3,2,,,,,,,,,22,16,,,6,4,,,2,3,,,3,2,0,1,,,22,25
5,2019-01-12,09:30,BULGARIA - PARVA LIGA,2019/2020,Vitosha Bistritsa,Dunav Ruse,ROUND 18,0,0,1,1,3,2.1,3.6,3.6,2.2,3,1.44,2.62,1.40,2.75,,,,,3.25,1.33,2.75,1.40,,,,,9,1.07,8.00,1.08,2.25,3.3,2.87,2.8,3.3,2.2,1.36,1.3,1.53,1.57,1.3,1.36,1.83,1.83,1.72,2,1.07,9.5,1.05,11.00,1.08,6.2,1.06,7.40,1.33,3.25,1.28,3.50,1.55,2.31,1.39,2.69,2.1,1.7,1.95,1.85,2.85,1.38,2.47,1.45,3.75,1.25,3.40,1.30,5.6,1.1,4.80,1.14,8,1.08,6.50,1.11,,,,,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.05,2.02,1.77,1.83,1.98,3,1.37,1.24,3.85,4.8,1.17,1.16,5.1,7.5,1.09,1.08,8,,,,,,,,,9.5,8.5,15,29,7.5,6.5,11,26,11,9.5,15,34,21,19,29,51,67,51,67,126,41,41,51,101,301,48,52,0,2,55,59,37,35,0,0,0,2,,,,,,,16,9,,,2,1,,,0,0,,,1,3,,,,,11,14,49,51,4,7,108,121,67,78,1,1,3,6,,,,,,,,,32,19,,,3,3,,,0,0,,,2,3,0,1,,,17,28
6,2019-01-12,13:00,BULGARIA - PARVA LIGA,2019/2020,CSKA Sofia,Ludogorets,ROUND 18,0,0,0,0,3.4,1.95,3.6,3.6,2.05,3.1,1.57,2.25,1.44,2.62,,,,,3.75,1.25,3.25,1.33,,,,,11,1.05,9.00,1.07,2.5,3.2,2.9,2.9,3.1,2.3,1.4,1.36,1.5,1.53,1.33,1.36,2.1,1.66,1.83,1.83,1.1,7,1.07,9.00,1.14,4.68,1.09,6.10,1.5,2.5,1.33,3.25,1.88,1.84,1.56,2.22,2.5,1.5,2.10,1.70,3.88,1.22,3.00,1.33,5,1.16,3.75,1.25,7.7,1.05,6.10,1.09,11,1.05,8.00,1.08,,,,,26,1.01,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.2,2.08,1.73,1.46,2.8,2.95,1.42,1.23,4.35,4.8,1.2,1.1,8,7.5,1.11,1.05,12.5,14,1.04,1.03,16,23,1.02,1.01,26,7,7,13,29,6.5,6,12,29,11,11,19,41,23,23,41,67,67,67,101,201,51,51,81,151,251,62,38,2,0,53,51,31,32,1,0,1,0,,,,,,,11,8,,,2,0,,,0,1,,,2,3,,,,,12,19,56,44,5,2,91,93,61,70,2,0,3,2,,,,,,,,,22,18,,,4,3,,,0,2,,,4,5,,,,,18,32
7,2019-02-08,12:45,BULGARIA - PARVA LIGA,2019/2020,Vitosha Bistritsa,Arda,ROUND 4,1,1,1,3,4.5,2,2.75,3.5,2.05,3.4,1.5,2.5,1.5,2.5,,,,,3.5,1.28,3.40,1.30,,,,,11,1.05,10.00,1.06,4.33,3.3,1.9,2.62,3.2,2.5,1.8,1.33,1.2,1.5,1.36,1.44,2.1,1.66,1.83,1.83,1.1,7.5,1.08,8.50,1.14,4.7,1.11,5.60,1.44,2.62,1.36,3.00,1.86,1.86,1.70,2.03,2.35,1.57,2.25,1.61,3.88,1.22,3.40,1.28,4.5,1.18,4.00,1.22,7.6,1.05,6.80,1.07,10,1.06,9.00,1.07,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.85,1.4,3.45,1.3,2.15,1.68,5.25,1.16,1.62,2.25,7,1.1,1.32,3.3,17,1.03,1.17,5,16,1.03,1.06,11,26,1.01,1.03,17,7.5,5.5,8,17,9,6.5,9,19,19,15,19,34,41,41,51,81,41,41,67,151,126,101,151,301,201,46,54,4,2,29,54,23,45,2,1,2,1,,,,,,,8,11,,,2,3,,,0,1,,,1,2,,,,,10,16,44,56,7,11,73,105,58,83,4,6,3,5,,,,,,,,,18,25,,,3,6,,,3,3,,,2,3,0,1,,,19,25
8,2019-02-08,15:00,BULGARIA - PARVA LIGA,2019/2020,Cherno More,Slavia Sofia,ROUND 4,0,0,0,0,2.2,2.2,6,2.5,2.1,4.75,1.4,2.75,1.44,2.62,,,,,3,1.36,3,1.36,,,,,9,1.07,9,1.07,1.5,4,6.5,1.8,3.5,4,1.11,1.22,2.5,1.22,1.28,1.9,2.1,1.66,1.9,1.8,1.07,9,1.07,9.50,1.08,6.2,1.07,6.80,1.33,3.25,1.33,3.25,1.5,2.45,1.48,2.46,2.05,1.75,2.05,1.75,2.85,1.38,2.70,1.41,3.75,1.25,3.75,1.25,5.6,1.1,5.30,1.12,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.4,1.37,3,1.17,5,1.68,2.15,1.1,7,2.25,1.62,1.03,18,3.1,1.35,1.01,29,4.5,1.19,,,6.6,1.11,,,9,13,29,67,5.5,7.5,19,51,6.5,8.5,21,51,10,13,34,81,301,151,201,301,21,29,51,151,201,58,42,3,1,61,43,44,15,1,1,2,0,,,,,,,15,10,,,4,1,,,1,1,,,2,2,,,,,16,16,60,40,8,2,123,76,92,39,2,1,6,1,,,,,,,,,25,33,,,9,3,,,1,2,,,5,9,1,0,,,25,29
9,2019-02-11,12:30,BULGARIA - PARVA LIGA,2019/2020,Ludogorets,Beroe,ROUND 15,1,1,3,1,1.9,2.4,7.5,1.72,2.5,9,1.36,3,1.33,3.25,,,,,2.75,1.4,2.50,1.50,,,,,8,1.08,6.50,1.11,1.3,4.5,8,1.25,5,9,1.07,1.16,3.25,1.06,1.14,3.5,2.25,1.57,2.25,1.57,1.05,11,1.05,12.00,1.06,7.2,1.03,8.90,1.28,3.5,1.22,4.00,1.46,2.57,1.33,3.05,1.9,1.9,1.70,2.10,2.58,1.45,2.23,1.55,3.4,1.3,2.75,1.40,5,1.13,3.80,1.22,6.5,1.11,5.00,1.16,,,,,15,1.03,11.00,1.05,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,1.09,9,1.21,4.6,1.07,10,1.43,2.9,1.03,17,1.83,1.98,,,2.55,1.54,,,3.75,1.29,,,5.4,1.17,,,11,19,41,101,5.5,9.5,26,67,6,8.5,26,67,8.5,13,34,81,201,251,251,351,15,23,51,126,201,56,44,8,3,55,45,49,21,5,2,3,1,,,,,,,8,13,,,7,2,,,1,4,,,1,1,,,,,16,14,56,44,15,8,110,92,78,47,8,4,7,4,,,,,,,,,15,28,,,8,3,,,3,5,,,2,2,,,,,27,22
10,2019-03-08,12:45,BULGARIA - PARVA LIGA,2019/2020,Etar,Botev Plovdiv,ROUND 4,1,2,2,2,3.2,2,3.75,3.25,2.05,3.4,1.53,2.37,1.44,2.62,,,,,3.5,1.28,3.25,1.33,,,,,11,1.05,9.00,1.07,2.3,3.25,2.9,2.5,3.2,2.62,1.4,1.33,1.57,1.44,1.36,1.5,2.1,1.66,1.83,1.83,1.1,7.5,1.07,9.00,1.13,4.94,1.10,5.90,1.44,2.62,1.33,3.25,1.82,1.9,1.60,2.19,2.4,1.53,2.15,1.66,3.62,1.25,3.10,1.31,4.5,1.18,3.75,1.25,7.2,1.06,6.30,1.08,11,1.05,8.00,1.08,,,,,23,1.01,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,2.05,1.75,1.54,2.5,3,1.41,1.29,3.75,4.8,1.2,1.14,6.25,7.5,1.11,1.07,10,14,1.04,,,23,1.02,,,7.5,7,13,34,6.5,6.5,11,29,10,10,19,41,23,23,41,81,81,67,101,201,51,51,81,201,351,60,40,8,2,32,26,23,14,2,2,6,0,,,,,,,5,7,,,7,1,,,0,1,,,1,1,,,,,6,7,54,46,10,4,65,54,42,30,3,3,7,1,,,,,,,,,10,19,,,7,5,,,1,1,,,2,3,,,,,22,13
