Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-03,07:00,CHINA - SUPER LEAGUE,2019,Shandong Taishan,Beijing Renhe,ROUND 1,0,0,1,0,1.9,2.5,6.5,1.9,2.5,6.5,1.33,3.25,1.30,3.40,,,,,2.62,1.44,2.37,1.53,,,,,6.5,1.11,6.00,1.12,1.36,5,7.5,1.36,4.75,8,1.1,1.18,3.2,1.09,1.2,3.2,2,1.75,2,1.75,1.04,13,1.03,15.00,1.04,8.1,1.02,10.00,1.25,3.75,1.20,4.33,1.32,3.2,1.24,3.70,1.75,2.05,1.61,2.25,2.29,1.58,1.88,1.82,2.75,1.4,2.62,1.44,4.3,1.18,3.50,1.26,5.5,1.14,4.50,1.18,,,,,11,1.05,10.00,1.06,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,1.13,5.9,1.24,3.9,1.11,6.4,1.45,2.67,,,1.9,1.9,,,2.5,1.5,,,3.55,1.27,,,5.25,1.16,,,13,19,41,101,6,9.5,21,51,6.5,7.5,21,51,9,12,26,67,451,501,201,501,17,21,41,101,501,59,41,6,5,49,40,35,15,0,1,3,3,3,1,251,182,,,8,6,,,4,1,1,0,1,0,9,5,,,,,7,5,,,59,41,16,8,103,80,79,41,6,2,4,5,6,1,481,353,,,,,22,13,,,7,4,1,2,2,5,21,12,,,,,18,11,,
2,2019-01-03,08:35,CHINA - SUPER LEAGUE,2019,Guangzhou FC,Tianjin Tianhai,ROUND 1,2,0,3,0,1.72,2.87,7,1.9,2.75,5.5,1.22,4,1.22,4,,,,,2,1.72,2,1.72,,,,,4.33,1.2,4.33,1.2,1.28,6,8.5,1.36,5,7.5,1.08,1.14,3.75,1.1,1.18,3.2,1.7,2.05,1.75,2,1.01,23,1.02,19.00,1.01,12.5,1.01,11.00,1.12,6,1.12,6,1.15,5.5,1.20,4.00,1.4,2.87,1.44,2.70,1.55,2.36,1.72,2.00,2,1.72,2,1.72,2.74,1.42,3.00,1.34,3.25,1.33,3.40,1.30,4.64,1.18,5.75,1.14,6,1.12,6.50,1.11,,,,,13,1.04,13,1.04,,,,,23,1.01,23,1.01,,,,,,,,,1.06,6.5,1.17,5,,,1.3,3.45,,,1.6,2.3,,,2.02,1.77,,,2.6,1.47,,,3.45,1.3,,,23,29,51,126,9,12,26,51,8,7.5,21,51,9,10,19,51,501,201,151,151,13,15,29,51,201,48,52,6,5,44,44,32,28,2,2,4,2,0,1,230,245,,,10,7,,,2,1,2,2,2,0,7,4,2,0,,,8,4,,,45,55,12,10,96,95,52,60,5,2,7,6,0,2,430,530,,,,,17,14,,,4,3,5,2,2,2,14,10,2,1,0,1,14,13,,
3,2019-01-03,08:35,CHINA - SUPER LEAGUE,2019,Shanghai Shenhua,Shanghai Port,ROUND 1,0,1,0,4,3.4,2.3,2.87,4.5,2.5,2.1,1.33,3.25,1.25,3.75,,,,,2.62,1.44,2.10,1.66,,,,,6.5,1.11,5.00,1.16,2.75,3.8,2.3,5.25,4.2,1.57,1.7,1.28,1.42,2.4,1.25,1.18,1.61,2.2,1.53,2.37,1.04,13,1.02,19.00,1.04,8.6,1.01,12.00,1.22,4,1.14,5.50,1.33,3.3,1.19,4.50,1.72,2.07,1.47,2.60,2.14,1.66,1.73,2.08,2.75,1.4,2.10,1.66,4.34,1.19,3.00,1.38,5.5,1.14,3.75,1.25,7,1.1,6.00,1.13,11,1.05,7.00,1.10,,,,,23,1.01,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,2.05,1.75,2.35,1.57,1.8,2,3.3,1.32,1.45,2.67,5,1.17,1.24,3.9,,,1.14,5.75,,,1.1,6.8,,,1.1,7,15,9.5,12,21,11,7,9,17,15,10,13,23,34,21,26,41,41,34,41,81,67,51,51,81,201,41,59,2,5,39,45,12,20,0,0,1,4,1,1,117,157,,,6,11,,,2,4,2,0,0,0,9,6,1,1,,,1,11,,,47,53,6,15,80,90,32,43,1,6,2,7,3,2,294,323,,,,,13,16,,,3,6,3,2,3,1,14,11,3,1,0,1,5,15,,
4,2019-01-03,09:00,CHINA - SUPER LEAGUE,2019,Wuhan FC,Beijing Guoan,ROUND 1,0,0,0,1,4,2.2,2.75,5,2.5,2.05,1.4,2.75,1.28,3.50,,,,,2.75,1.4,2.25,1.57,,,,,8,1.08,5.50,1.14,3.2,3.75,2.05,5.5,4.2,1.55,1.8,1.28,1.36,2.5,1.25,1.16,1.75,2,1.57,2.25,1.05,12,1.02,17.00,1.05,7.9,1.01,11.00,1.28,3.5,1.16,5.00,1.43,2.75,1.20,4.00,1.95,1.85,1.53,2.40,2.54,1.48,1.88,1.93,3.25,1.33,2.25,1.57,5.35,1.13,3.00,1.34,6.5,1.11,4.00,1.22,7,1.1,7,1.1,15,1.03,8.00,1.08,,,,,23,1.01,17.00,1.02,,,,,,,,,,,,,,,,,2.42,1.52,2.75,1.42,2.02,1.77,4,1.23,1.57,2.35,6.8,1.1,1.3,3.45,,,1.17,4.8,,,1.1,7,,,1.1,7,12,7.5,10,19,10,7,8.5,17,17,11,15,26,34,26,34,51,41,34,51,101,81,51,67,126,301,27,73,2,9,46,73,14,37,0,3,2,3,0,3,144,386,,,8,6,,,1,4,0,0,3,0,7,8,,,,,4,7,,,34,66,12,15,95,123,50,70,8,4,3,6,1,5,328,646,,,,,16,14,,,5,8,0,0,3,8,15,17,0,1,,,14,21,,
5,2019-01-06,08:35,CHINA - SUPER LEAGUE,2019,Beijing Renhe,Tianjin Tianhai,ROUND 12,1,0,2,0,3.1,2.1,3.5,2.75,2.3,3.6,1.4,2.75,1.36,3.00,,,,,3,1.36,2.62,1.44,,,,,8,1.08,7.00,1.10,2.3,3.3,3,2.05,3.6,3.3,1.36,1.33,1.57,1.34,1.29,1.8,1.8,1.95,1.66,2.1,1.06,10,1.04,13.00,1.08,7.2,1.05,9.80,1.3,3.4,1.25,3.75,1.54,2.38,1.45,2.75,2.05,1.75,1.80,2.00,2.81,1.4,2.27,1.63,3.5,1.28,3.00,1.36,5.5,1.13,4.38,1.22,7,1.1,5.50,1.14,11,1.04,10.00,1.05,15,1.03,13.00,1.04,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,1.73,2.08,2.1,1.7,1.55,2.37,2.85,1.4,1.3,3.45,4.4,1.2,1.15,5.5,6.6,1.11,,,,,,,,,,,10,9,15,29,8,6,11,23,11,9.5,15,34,23,19,29,51,67,51,67,126,51,41,51,101,301,45,55,6,12,43,58,22,23,5,0,1,5,0,7,189,226,,,8,5,,,1,4,0,0,0,4,9,5,1,1,,,6,11,,,38,62,10,28,75,133,30,78,7,8,3,11,0,9,310,494,,,,,13,9,,,2,13,1,0,8,5,14,8,2,1,,,10,17,,
6,2019-01-06,08:35,CHINA - SUPER LEAGUE,2019,Guangzhou City,Hebei,ROUND 12,0,1,2,2,2.62,2.4,3.4,2.5,2.37,4,1.25,3.75,1.30,3.40,,,,,2.2,1.61,2.50,1.50,,,,,5,1.16,6.00,1.12,2,3.75,3.3,1.85,3.8,3.8,1.34,1.28,1.83,1.28,1.28,1.95,1.44,2.62,1.57,2.25,1.02,19,1.03,15.00,1.01,12,1.03,9.40,1.14,5.5,1.20,4.33,1.21,4.1,1.35,3.20,1.44,2.7,1.65,2.20,1.8,1.95,2.03,1.79,2.2,1.61,2.62,1.44,3.1,1.34,3.56,1.30,3.75,1.25,4.50,1.18,5.9,1.13,7.80,1.08,7,1.1,10.00,1.06,,,,,15,1.03,19.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,1.55,2.37,1.83,1.98,1.42,2.75,2.35,1.57,1.25,3.8,3.3,1.32,1.14,5.75,4.4,1.2,,,6.8,1.1,,,,,,,19,15,19,34,12,7.5,11,21,13,9,11,23,21,15,19,34,67,41,51,67,41,29,34,51,101,66,34,7,7,59,39,22,18,0,2,6,5,1,0,282,135,,,6,8,,,2,3,2,0,1,0,6,6,1,1,,,2,9,,,70,30,20,17,130,73,60,38,4,4,11,12,5,1,573,233,,,,,11,11,,,4,4,2,1,2,2,10,9,1,2,,,7,21,,
7,2019-01-06,08:35,CHINA - SUPER LEAGUE,2019,Shandong Taishan,Jiangsu Suning,ROUND 12,0,0,1,1,2.37,2.37,4.33,2.5,2.37,4,1.3,3.4,1.3,3.4,,,,,2.5,1.5,2.5,1.5,,,,,6,1.12,6,1.12,1.75,3.75,4.5,1.85,3.8,3.8,1.2,1.28,2.1,1.28,1.28,1.95,1.61,2.2,1.57,2.25,1.03,15,1.03,15,1.03,10,1.03,9.40,1.2,4.33,1.2,4.33,1.26,3.62,1.35,3.20,1.6,2.3,1.65,2.20,1.9,1.84,2.03,1.79,2.5,1.5,2.62,1.44,3.9,1.23,3.56,1.30,4.5,1.18,4.5,1.18,6.45,1.11,7.80,1.08,10,1.06,10,1.06,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,1.32,3.3,1.55,2.37,1.26,3.7,1.98,1.83,1.15,5.5,2.6,1.47,1.1,7,3.55,1.27,,,5.5,1.15,,,,,,,15,15,23,41,9,7,13,29,9.5,8.5,13,34,15,13,21,41,101,67,67,101,29,26,41,67,151,49,51,2,4,61,58,18,12,1,4,1,0,0,0,240,251,,,12,8,,,1,1,1,1,4,1,11,8,1,1,,,5,10,,,48,52,6,6,114,92,39,34,2,5,4,1,0,0,406,442,,,,,21,12,,,1,4,1,3,4,1,17,13,5,5,,,9,13,,
8,2019-01-06,08:35,CHINA - SUPER LEAGUE,2019,Shanghai Shenhua,Chongqing Liangjiang Athletic,ROUND 12,0,0,0,0,2.37,2.4,4,2.62,2.25,3.75,1.28,3.5,1.33,3.25,,,,,2.25,1.57,2.62,1.44,,,,,5.5,1.14,7.00,1.10,1.8,4,4,2,3.8,3.3,1.25,1.25,2.05,1.34,1.28,1.83,1.53,2.37,1.7,2.05,1.02,17,1.04,13.00,1.01,12,1.04,8.10,1.16,5,1.25,3.75,1.23,3.9,1.38,3.00,1.53,2.4,1.80,2.00,1.8,1.95,2.35,1.58,2.25,1.57,3.00,1.36,3.1,1.35,4.64,1.18,4,1.22,5.50,1.14,7,1.1,10.00,1.05,8,1.08,13.00,1.04,,,,,17,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.32,3.3,2.05,1.75,1.19,4.5,2.75,1.42,1.1,7,3.7,1.26,,,5.75,1.14,,,,,,,17,15,23,41,10,7.5,13,26,11,8.5,12,29,17,13,19,41,81,51,51,81,29,26,34,51,126,66,34,5,1,64,47,26,1,3,0,2,0,0,1,291,156,,,9,12,,,1,0,2,0,0,3,9,10,1,0,,,8,6,,,64,36,14,4,132,87,50,13,6,2,7,1,1,1,517,299,,,,,17,23,,,2,2,4,0,2,6,17,19,2,2,,,12,8,,
9,2019-01-06,08:35,CHINA - SUPER LEAGUE,2019,Wuhan FC,Shenzhen,ROUND 12,1,0,2,0,2.62,2.2,4.33,2.75,2.2,3.75,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.95,3.5,3.6,2.05,3.5,3.4,1.28,1.28,1.8,1.33,1.3,1.8,1.8,1.95,1.7,2.05,1.05,11,1.05,11,1.06,8.1,1.07,8.60,1.28,3.5,1.25,3.75,1.5,2.48,1.51,2.55,1.95,1.85,1.85,1.95,2.7,1.43,2.43,1.56,3.4,1.3,3.25,1.33,4.7,1.17,4.92,1.18,6.5,1.11,6.00,1.12,13,1.03,12.00,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.47,2.6,1.72,2.07,1.37,3,2.3,1.6,1.2,4.4,3.3,1.32,1.1,7,4.65,1.18,,,7,1.1,,,,,,,11,11,19,41,7.5,6.5,12,29,9.5,8.5,15,34,17,15,26,51,101,67,81,126,41,34,51,101,301,44,56,4,5,49,72,13,21,2,2,2,2,0,1,197,239,,,11,13,,,0,1,2,1,2,1,6,15,0,1,,,10,5,,,39,61,10,10,84,124,26,51,5,3,4,3,1,4,306,472,,,,,13,18,,,1,4,3,1,3,3,15,27,1,2,,,12,10,,
10,2019-01-07,08:35,CHINA - SUPER LEAGUE,2019,Shanghai Shenhua,Guangzhou FC,ROUND 15,0,2,0,3,4.33,2.37,2.37,4.75,2.37,2.25,1.33,3.25,1.30,3.40,,,,,2.5,1.5,2.5,1.5,,,,,6.5,1.11,6.00,1.12,4.5,4,1.7,4.75,4,1.65,2.2,1.25,1.2,2.3,1.25,1.2,1.66,2.1,1.7,2.05,1.03,15,1.03,15,1.03,10,1.03,10,1.2,4.33,1.2,4.33,1.29,3.4,1.38,3.03,1.66,2.15,1.66,2.15,2.01,1.75,2.10,1.73,2.62,1.44,2.62,1.44,3.44,1.31,3.84,1.26,5,1.16,5,1.16,7.4,1.09,8.60,1.07,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,3.1,1.35,3.55,1.27,2.42,1.52,5.5,1.15,1.85,1.95,,,1.47,2.6,,,1.27,3.55,,,1.15,5.5,,,1.1,7,15,8.5,9,15,13,7.5,8,13,23,13,15,21,51,34,34,41,29,26,41,67,126,67,81,101,201,39,61,9,4,58,53,18,14,2,3,6,0,1,1,173,278,,,5,13,,,2,0,1,0,1,2,5,12,1,2,,,4,8,,,38,62,12,13,107,114,31,36,2,5,8,4,2,4,367,628,,,,,7,22,,,3,1,3,1,2,2,6,19,1,3,,,10,16,,
