Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,11:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Ceske Budejovice,Zlin,ROUND 8,1,0,2,0,3,2.2,3.5,3.1,2.05,3.5,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,9.00,1.07,2.37,3.25,3,2.37,3.1,3.1,1.36,1.33,1.53,1.36,1.36,1.53,1.7,2.05,1.8,1.95,1.05,11,1.07,9.00,1.06,6.75,1.10,7.00,1.28,3.5,1.33,3.25,1.45,2.67,1.55,2.31,1.9,1.9,2.05,1.75,2.49,1.51,2.85,1.40,3.25,1.33,3.50,1.28,4.64,1.14,6.40,1.12,6.5,1.11,8.00,1.08,8.3,1.03,12.00,1.01,13,1.04,17.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.75,2.05,2.08,1.73,1.55,2.37,2.85,1.4,1.3,3.45,4.25,1.21,1.15,5.5,6.4,1.11,1.08,7.5,,,,,,,,,11,10,15,29,8.5,6,11,23,12,9.5,13,29,23,19,26,41,67,51,51,101,51,41,51,101,201,54,46,5,4,64,76,33,25,3,2,2,2,,,,,,,9,10,,,3,0,,,2,2,,,1,1,,,,,11,17,54,46,10,10,124,143,77,67,5,6,5,4,,,,,,,,,16,19,,,7,1,,,6,3,,,1,1,,,,,24,32
2,2019-01-09,11:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Jablonec,Ostrava,ROUND 8,2,0,2,1,2.5,2.1,4.75,2.37,2.2,5,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,1.8,3.3,4.75,1.72,3.4,5.25,1.18,1.33,1.9,1.16,1.3,2,1.8,1.95,1.9,1.9,1.07,9.5,1.07,9.5,1.07,6.55,1.08,7.20,1.3,3.4,1.3,3.4,1.51,2.49,1.47,2.50,2,1.8,2,1.8,2.7,1.44,2.66,1.42,3.4,1.3,3.4,1.3,5.2,1.12,5.90,1.13,7,1.1,7,1.1,9.2,1.02,11.00,1.02,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.1,1.57,2.35,1.26,3.7,2.08,1.73,1.14,5.75,2.85,1.4,1.06,8.2,4.1,1.22,,,6.6,1.11,,,,,,,9.5,12,23,51,7,6.5,15,41,8.5,8.5,15,41,15,15,29,51,126,81,101,151,34,34,51,101,351,47,53,5,7,50,58,28,48,4,4,1,3,,,,,,,9,7,,,3,4,,,4,2,,,,,,,,,15,10,44,56,9,15,98,95,56,93,5,10,4,5,,,,,,,,,19,16,,,3,10,,,9,3,,,,,,,,,26,24
3,2019-01-09,11:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Opava,Slavia Prague,ROUND 8,0,1,1,1,10,2.87,1.57,8,2.6,1.8,1.25,3.75,1.30,3.40,,,,,2.1,1.66,2.37,1.53,,,,,4.5,1.18,6.00,1.12,15,6.5,1.18,10,5,1.3,4.5,1.11,1.03,3.4,1.16,1.06,2.1,1.66,2,1.75,1.02,17,1.04,13.00,1.01,10,1.02,10.50,1.14,5.5,1.18,4.50,1.22,4.1,1.28,3.54,1.47,2.6,1.61,2.25,1.76,2.02,2.08,1.67,2.2,1.61,2.50,1.50,2.88,1.35,3.80,1.25,3.75,1.25,4.50,1.18,5.3,1.11,6.80,1.08,7,1.1,10.00,1.06,,,,,15,1.03,19.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,7.7,1.05,,,6.8,1.1,,,4.25,1.21,,,2.75,1.42,,,2.05,1.75,,,1.65,2.2,,,1.4,2.85,17,7.5,6.5,7,34,12,9,11,81,41,26,29,301,126,81,81,10,15,41,101,201,501,501,501,501,46,54,1,11,46,61,32,49,0,5,1,6,,,,,,,12,12,,,3,2,,,4,0,,,1,0,,,,,12,11,45,55,7,23,88,130,55,105,1,11,6,12,,,,,,,,,22,21,,,6,7,,,10,0,,,3,1,0,1,,,20,24
4,2019-01-09,11:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Teplice,Karvina,ROUND 8,0,0,0,0,2.6,2.1,4.33,2.6,2.1,4.33,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,1.85,3.4,4.33,1.85,3.3,4.5,1.2,1.3,1.83,1.18,1.33,1.83,1.9,1.9,1.8,1.95,1.07,9,1.07,9.50,1.08,6.3,1.09,6.60,1.33,3.25,1.30,3.40,1.55,2.39,1.47,2.49,2.05,1.75,2.05,1.75,2.86,1.4,2.66,1.42,3.5,1.28,3.5,1.28,5.45,1.1,6.25,1.12,8,1.08,7.00,1.10,9.6,1.02,12.00,1.01,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.1,1.6,2.3,1.27,3.55,2.1,1.7,1.15,5.5,3,1.37,1.06,8,4.25,1.21,1.03,11.5,6.8,1.1,,,,,,,9,11,21,41,6.5,6.5,13,34,8.5,8.5,15,41,15,15,29,51,126,81,101,151,34,34,51,126,401,50,50,4,5,53,63,31,20,1,0,3,5,,,,,,,11,9,,,4,1,,,0,1,,,1,2,,,,,11,15,51,49,13,7,115,118,63,44,3,1,10,6,,,,,,,,,22,17,,,7,3,,,1,3,,,4,3,,,,,24,34
5,2019-01-09,14:00,CZECH REPUBLIC - 1. LIGA,2019/2020,Sparta Prague,Sigma Olomouc,ROUND 8,1,2,3,3,1.61,2.75,11,2,2.4,6,1.28,3.5,1.33,3.25,,,,,2.37,1.53,2.50,1.50,,,,,5.5,1.14,6.50,1.11,1.22,6,15,1.45,4.1,7.5,1.03,1.12,4,1.1,1.22,2.62,2.37,1.53,1.9,1.9,1.04,13,1.05,12.00,1.03,8.9,1.04,9.00,1.2,4.33,1.22,4.00,1.29,3.46,1.35,3.10,1.65,2.2,1.72,2.07,2.01,1.77,2.18,1.61,2.5,1.5,2.75,1.40,3.48,1.25,4.40,1.20,4.5,1.18,5.50,1.14,6.45,1.07,8.40,1.05,10,1.06,11.00,1.05,,,,,19,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.11,6.6,1.1,7,1.1,7,1.2,4.4,,,1.47,2.6,,,1.87,1.92,,,2.37,1.55,,,3.3,1.32,,,13,34,81,301,6,12,41,151,5.5,9,34,126,6.5,12,34,101,501,451,501,451,10,19,51,151,501,57,43,7,3,92,56,58,19,4,2,3,1,,,,,,,5,11,,,5,2,,,0,3,,,0,1,,,,,8,15,55,45,17,6,170,116,101,40,11,4,6,2,,,,,,,,,14,19,,,7,3,,,1,8,,,3,2,,,,,14,28
6,2019-01-11,14:00,CZECH REPUBLIC - 1. LIGA,2019/2020,Bohemians,Slovacko,ROUND 15,0,0,0,0,3.1,2.05,3.6,3.4,2.05,3.4,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,10,1.06,10,1.06,2.3,3.1,3.2,2.6,3.1,2.8,1.36,1.36,1.57,1.4,1.36,1.5,1.9,1.9,1.9,1.9,1.08,8,1.08,8.50,1.1,5.55,1.1,6.30,1.36,3,1.36,3,1.7,2.1,1.39,2.66,2.3,1.6,2.07,1.72,3.32,1.31,2.49,1.45,4,1.22,3.75,1.25,6.4,1.08,6.4,1.10,9,1.07,9,1.07,10.5,1.01,12.50,1.01,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,1.95,1.85,1.42,2.75,2.67,1.45,1.23,4,4.15,1.22,1.1,7,6.25,1.12,1.05,8.7,,,,,,,,,8,9,15,34,7.5,6,12,26,11,9.5,15,41,23,21,34,51,67,51,81,151,51,41,51,126,301,47,53,4,0,50,52,31,26,4,0,0,0,,,,,,,8,8,,,4,0,,,0,4,,,1,0,,,,,17,15,48,52,6,4,103,110,67,60,5,2,1,2,,,,,,,,,17,16,,,8,1,,,2,5,,,2,2,,,,,35,30
7,2019-01-12,10:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Jablonec,Ceske Budejovice,ROUND 18,0,0,0,1,2.2,2.3,5.5,2.1,2.4,5,1.33,3.25,1.30,3.40,,,,,2.62,1.44,2.50,1.50,,,,,6.5,1.11,6.00,1.12,1.57,4,5.5,1.57,4,5.5,1.14,1.22,2.25,1.14,1.22,2.25,1.8,1.95,1.7,2.05,1.05,12,1.03,15.00,1.04,7.9,1.03,10.00,1.22,4,1.20,4.33,1.37,3.02,1.28,3.50,1.75,2.05,1.65,2.20,2.25,1.62,1.93,1.78,2.75,1.4,2.62,1.44,4.1,1.18,3.90,1.23,5.5,1.14,4.50,1.18,7.5,1.05,7.30,1.07,11,1.05,10.00,1.06,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,1.24,3.9,1.42,2.75,1.2,4.4,1.75,2.05,1.1,6.8,2.35,1.57,,,3.1,1.35,,,4.65,1.18,,,6.8,1.1,,,12,15,29,51,7.5,7.5,17,41,8,8.5,17,41,12,13,23,51,151,101,101,151,23,23,41,81,251,53,47,8,6,67,58,39,30,5,4,3,2,,,,,,,3,9,,,4,0,,,4,5,,,0,1,,,,,10,19,51,49,19,8,138,112,81,54,10,6,9,2,,,,,,,,,12,18,,,8,2,,,5,10,,,2,4,,,,,20,33
8,2019-01-12,10:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Mlada Boleslav,Teplice,ROUND 18,0,0,3,1,2.05,2.37,6,2.3,2.3,4.75,1.33,3.25,1.36,3.00,,,,,2.5,1.5,2.62,1.44,,,,,6.5,1.11,7.00,1.10,1.5,4,7,1.61,3.75,5.5,1.1,1.22,2.5,1.14,1.25,2.2,1.75,2,1.8,1.95,1.04,13,1.05,12.00,1.04,8.2,1.05,8.50,1.22,4,1.25,3.75,1.34,3.14,1.38,2.90,1.7,2.1,1.80,2.00,2.17,1.66,2.21,1.56,2.62,1.44,3.00,1.36,3.84,1.21,4.50,1.18,5,1.16,6.00,1.12,7.2,1.06,9.00,1.04,11,1.05,13.00,1.04,,,,,21,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.17,4.8,1.35,3.1,1.15,5.5,1.62,2.25,1.1,7,2.15,1.67,,,2.85,1.4,,,4.15,1.22,,,5.9,1.13,,,13,19,34,67,7.5,7.5,19,41,8,8,15,41,11,12,23,51,201,101,101,151,21,21,41,67,201,53,47,9,5,61,55,38,30,6,3,3,2,,,,,,,8,4,,,2,5,,,3,6,,,,,,,,,13,18,55,45,16,10,132,106,83,57,9,7,7,3,,,,,,,,,14,13,,,5,5,,,6,6,,,0,1,,,,,26,30
9,2019-01-12,10:30,CZECH REPUBLIC - 1. LIGA,2019/2020,Plzen,Bohemians,ROUND 18,1,0,1,0,1.8,2.5,8.5,1.83,2.5,7,1.33,3.25,1.33,3.25,,,,,2.62,1.44,2.50,1.50,,,,,6.5,1.11,6.5,1.11,1.3,5,10,1.36,4.75,8.5,1.06,1.16,3.4,1.08,1.18,3,2.1,1.66,2,1.75,1.05,12,1.05,12,1.04,8,1.04,9.50,1.25,3.75,1.22,4.00,1.37,2.99,1.31,3.20,1.72,2.07,1.70,2.10,2.26,1.61,2.00,1.72,2.75,1.4,2.75,1.4,4.2,1.18,4.00,1.22,5.5,1.14,5.00,1.16,7.7,1.05,7.90,1.06,11,1.05,11,1.05,,,,,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.1,7,1.19,4.5,1.1,7,1.35,3.1,,,1.7,2.1,,,2.25,1.62,,,3,1.37,,,4.15,1.22,,,12,21,41,126,6,10,29,67,6,8.5,23,67,8,12,29,81,451,301,251,501,13,21,41,101,501,55,45,7,3,70,50,39,31,2,0,5,3,,,,,,,8,4,,,1,1,,,0,1,,,,,,,,,15,16,55,45,10,6,128,116,79,73,2,1,8,5,,,,,,,,,10,17,,,3,5,,,1,1,,,1,1,,,,,26,34
10,2019-01-12,13:00,CZECH REPUBLIC - 1. LIGA,2019/2020,Slavia Prague,Karvina,ROUND 18,0,0,2,0,1.4,3.25,15,1.4,3.4,13,1.22,4,1.20,4.33,,,,,2,1.72,1.90,1.80,,,,,4.33,1.2,4.00,1.22,1.1,10,17,1.1,10,17,1.02,1.06,7,1.02,1.06,7,2.75,1.4,2.37,1.53,1.02,17,1.01,23.00,1.01,13,1.01,14.50,1.12,6,1.11,6.50,1.19,4.04,1.15,5.10,1.44,2.7,1.36,3.10,1.71,2.07,1.49,2.37,2.1,1.66,1.90,1.80,2.9,1.39,2.47,1.45,3.5,1.28,3.25,1.33,5.1,1.13,4.40,1.19,6.5,1.11,5.50,1.14,8.5,1.03,8.30,1.03,13,1.04,11.00,1.05,,,,,26,1.01,21.00,1.01,,,,,,,,,1.02,15,,,,,1.12,6.25,,,1.24,3.9,,,1.42,2.75,,,1.7,2.1,,,2.1,1.7,,,17,34,81,401,8.5,21,41,151,6,13,41,126,5.5,13,41,151,201,201,501,501,7.5,17,51,201,201,54,46,10,3,68,48,45,12,4,0,6,3,,,,,,,10,9,,,5,0,,,0,4,,,,,,,,,14,18,58,42,24,4,119,88,95,27,13,0,11,4,,,,,,,,,15,23,,,11,1,,,0,11,,,2,2,,,,,22,34
