Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,08:45,DENMARK - 1ST DIVISION,2019/2020,Roskilde,Fredericia,ROUND 7,1,1,1,2,3.75,2.6,2.4,4,2.37,2.5,1.25,3.75,1.28,3.50,,,,,2.2,1.61,2.37,1.53,,,,,5,1.16,5.50,1.14,3.8,3.8,1.85,3.75,3.5,1.95,1.83,1.25,1.25,1.8,1.28,1.25,1.5,2.5,1.53,2.37,1.02,19,1.03,15.00,1.02,9.6,1.02,10.00,1.14,5.5,1.18,4.50,1.24,3.88,1.24,3.60,1.53,2.4,1.60,2.30,1.83,1.93,2.06,1.68,2.2,1.61,2.37,1.53,3.08,1.31,3.50,1.26,3.75,1.25,4.33,1.20,6.8,1.1,7.00,1.1,7,1.1,9.00,1.07,,,,,15,1.03,19.00,1.02,,,,,,,,,,,,,,,,,2.6,1.47,3,1.37,2.15,1.67,4.25,1.21,1.67,2.15,6.6,1.11,1.4,2.85,,,1.23,4,,,1.12,6,,,,,19,11,12,17,17,7.5,8.5,13,23,13,11,19,41,26,26,34,34,23,34,51,81,51,51,67,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-01-09,13:00,DENMARK - 1ST DIVISION,2019/2020,Vendsyssel,Hvidovre IF,ROUND 7,1,0,1,0,2.62,2.25,4,2.6,2.2,4.33,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,2,3.6,3.6,1.95,3.5,3.75,1.28,1.28,1.72,1.25,1.28,1.8,1.72,2,1.72,2,1.05,12,1.05,11.00,1.05,7.3,1.05,7.70,1.25,3.75,1.25,3.75,1.43,2.74,1.40,2.75,1.8,2,1.8,2,2.44,1.53,2.12,1.64,3,1.36,3,1.36,4.54,1.15,4.60,1.16,6,1.12,6,1.12,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.47,2.6,1.72,2.07,1.37,3,2.3,1.6,1.21,4.25,3.3,1.32,1.1,7,4.5,1.19,,,6.8,1.1,,,,,,,12,11,19,41,8,6.5,12,29,10,8.5,13,34,17,15,23,41,81,51,67,101,41,34,41,81,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-01-11,13:30,DENMARK - 1ST DIVISION,2019/2020,Skive,Roskilde,ROUND 16,1,1,1,3,3,2.3,3.2,2.6,2.3,3.75,1.33,3.25,1.30,3.40,,,,,2.5,1.5,2.37,1.53,,,,,6,1.12,6,1.12,2.7,3.3,2.55,2,3.5,3.6,1.5,1.33,1.44,1.28,1.28,1.72,1.53,2.37,1.53,2.37,1.04,13,1.03,15.00,1.03,8.8,1.03,9.40,1.2,4.33,1.18,4.50,1.29,3.46,1.27,3.40,1.65,2.2,1.65,2.2,2.01,1.77,1.96,1.75,2.62,1.44,2.50,1.50,3.48,1.25,3.80,1.23,4.5,1.18,4.5,1.18,,,,,10,1.06,10,1.06,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,1.82,1.97,2.2,1.7,1.6,2.3,3,1.37,1.32,3.3,4.25,1.21,1.18,4.65,6.25,1.12,1.1,6.8,7,1.1,,,,,,,13,12,15,29,11,6.5,11,19,15,10,11,23,26,19,23,34,51,41,41,67,41,41,41,67,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-01-11,14:30,DENMARK - 1ST DIVISION,2019/2020,Hvidovre IF,Kolding IF,ROUND 16,0,2,1,2,2.6,2.37,3.6,2.87,2.37,3.25,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.37,1.53,,,,,5.5,1.14,5.5,1.14,2,3.6,3.5,2.37,3.5,2.8,1.28,1.28,1.72,1.4,1.28,1.53,1.5,2.5,1.5,2.5,1.02,17,1.03,15.00,1.01,10.5,1.01,10.5,1.16,5,1.16,5,1.23,3.98,1.22,3.90,1.53,2.4,1.57,2.35,1.82,1.95,1.90,1.80,2.25,1.57,2.37,1.53,3.14,1.3,3.30,1.29,4,1.22,4.33,1.20,7,1.1,6.80,1.1,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,1.5,2.5,1.75,2.05,1.4,2.85,2.3,1.6,1.22,4.1,3.1,1.35,1.12,6.25,4.4,1.2,,,6.8,1.1,,,,,,,17,15,21,41,11,7.5,12,23,12,9,11,26,19,15,21,34,67,51,51,67,34,29,41,51,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-02-10,14:00,DENMARK - 1ST DIVISION,2019/2020,Koge,Vejle,ROUND 8,0,0,0,0,3.6,2.25,2.75,4,2.25,2.5,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,3.2,3.6,2.15,3.6,3.6,1.95,1.66,1.28,1.36,1.8,1.28,1.28,1.66,2.1,1.66,2.1,1.05,12,1.05,12,1.05,7.7,1.05,7.50,1.25,3.75,1.25,3.75,1.38,2.94,1.40,2.86,1.8,2,1.8,2,2.3,1.59,2.36,1.56,2.75,1.4,3.00,1.36,4.24,1.18,4.40,1.17,5.5,1.14,5.5,1.14,,,,,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,2.07,1.72,2.37,1.55,1.8,2.05,3.45,1.3,1.45,2.67,5.25,1.16,1.24,3.9,,,1.13,5.9,,,1.1,7,,,,,12,9,11,21,11,6.5,9,17,17,11,13,23,34,23,29,41,41,34,51,81,67,51,51,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-02-11,10:00,DENMARK - 1ST DIVISION,2019/2020,Vejle,F. Amager,ROUND 16,2,0,4,0,1.95,2.4,6,2.05,2.5,5,1.3,3.4,1.28,3.50,,,,,2.5,1.5,2.25,1.57,,,,,6,1.12,5.50,1.14,1.44,4.5,6.5,1.44,4.5,6.5,1.11,1.18,2.62,1.11,1.18,2.62,1.83,1.83,1.66,2.1,1.04,13,1.02,17.00,1.02,9.7,1.01,11.00,1.2,4.33,1.16,5.00,1.3,3.14,1.20,4.00,1.65,2.2,1.53,2.40,2.09,1.71,1.78,1.92,2.62,1.44,2.37,1.53,3.88,1.24,3.00,1.34,5,1.16,4.00,1.22,6.85,1.06,7.00,1.10,10,1.06,8.00,1.08,,,,,21,1.01,17.00,1.02,,,,,,,,,,,,,,,,,1.17,5,1.3,3.45,1.14,5.75,1.55,2.37,1.1,7,2.02,1.83,1.03,15,2.6,1.47,,,3.55,1.27,,,5.25,1.16,,,13,19,34,67,7.5,8.5,19,41,7.5,8.5,17,41,10,12,23,51,201,126,126,151,19,21,41,81,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-11,12:30,DENMARK - 1ST DIVISION,2019/2020,Koge,Viborg,ROUND 16,0,0,2,1,3.6,2.25,2.75,4.33,2.3,2.4,1.36,3,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,6.5,1.11,6.5,1.11,3.4,3.5,2.1,4.2,3.75,1.8,1.66,1.28,1.3,1.9,1.25,1.22,1.61,2.2,1.66,2.1,1.05,12,1.04,13.00,1.05,7.6,1.03,8.70,1.22,4,1.22,4,1.39,2.9,1.32,3.10,1.8,2,1.75,2.05,2.34,1.57,2.27,1.53,2.75,1.4,2.75,1.4,4.3,1.17,3.90,1.21,5.5,1.14,5.5,1.14,,,,,11,1.05,11,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,2.35,1.57,2.75,1.42,1.98,1.88,3.9,1.24,1.52,2.42,6.25,1.12,1.27,3.55,,,1.16,5.25,,,1.1,6.8,,,,,12,9,11,21,12,6.5,9,17,17,12,13,23,34,23,29,41,41,34,41,67,67,51,51,81,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-03-08,08:15,DENMARK - 1ST DIVISION,2019/2020,Hvidovre IF,Viborg,ROUND 2,0,0,0,1,4.33,2.37,2.37,4.33,2.3,2.4,1.3,3.4,1.33,3.25,,,,,2.5,1.5,2.5,1.5,,,,,6,1.12,6.50,1.11,4,4,1.8,4,3.75,1.75,1.9,1.22,1.22,2,1.25,1.22,1.61,2.2,1.61,2.2,1.03,15,1.03,15,1.03,8.7,1.03,8.7,1.18,4.5,1.20,4.33,1.3,3.4,1.32,3.10,1.61,2.25,1.70,2.10,2.02,1.76,2.12,1.64,2.5,1.5,2.62,1.44,3.56,1.24,3.90,1.21,4.5,1.18,5.00,1.16,,,,,10,1.06,10,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,2.85,1.4,3.3,1.32,2.3,1.6,4.5,1.19,1.77,2.1,10,1.07,1.42,2.75,,,1.25,3.8,,,1.14,5.75,,,,,15,9,10,15,15,7.5,8.5,13,23,13,13,21,41,29,29,41,29,26,41,67,101,67,67,101,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-03-10,13:30,DENMARK - 1ST DIVISION,2019/2020,Kolding IF,Fredericia,ROUND 12,0,1,1,2,4,2.5,2.37,3.6,2.37,2.62,1.25,3.75,1.30,3.40,,,,,2.2,1.61,2.50,1.50,,,,,5,1.16,6.00,1.12,4,4,1.8,3.25,3.75,2.05,1.9,1.22,1.22,1.72,1.25,1.33,1.5,2.5,1.53,2.37,1.02,19,1.03,15.00,1.01,12,1.02,10.00,1.14,5.5,1.18,4.50,1.2,3.74,1.24,3.60,1.5,2.5,1.61,2.25,1.82,1.95,1.92,1.79,2.2,1.61,2.50,1.50,3.2,1.33,3.50,1.26,3.75,1.25,4.50,1.18,5.6,1.1,7.00,1.1,8,1.08,9.00,1.07,,,,,15,1.03,19.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,2.85,1.4,3.3,1.32,2.3,1.6,4.65,1.18,1.77,2.02,7,1.1,1.45,2.67,,,1.27,3.55,,,1.15,5.5,,,,,19,11,11,17,17,8,8.5,13,23,13,12,19,41,26,29,34,29,23,34,51,81,51,51,81,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-03-11,09:45,DENMARK - 1ST DIVISION,2019/2020,Naestved,Fredericia,ROUND 16,1,0,1,1,3.75,2.5,2.4,3.75,2.4,2.4,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.25,1.57,,,,,5.5,1.14,5.5,1.14,3.75,4,1.83,3.6,4,1.85,1.83,1.22,1.25,1.83,1.22,1.28,1.53,2.37,1.53,2.37,1.02,17,1.02,19.00,1.01,10.5,1.01,11.00,1.16,5,1.16,5,1.19,4.44,1.20,4.00,1.44,2.7,1.53,2.40,1.69,2.12,1.81,1.90,2.25,1.57,2.25,1.57,2.76,1.38,3.00,1.34,4,1.22,4,1.22,5.9,1.13,6.80,1.10,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,2.85,1.4,3.3,1.32,2.3,1.6,4.5,1.19,1.77,2.02,7,1.1,1.45,2.67,,,1.27,3.55,,,1.16,5.25,,,,,17,11,11,17,15,8,9,13,21,13,12,19,41,26,26,34,29,26,34,51,81,51,51,67,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
