Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-10,12:30,EGYPT - PREMIER LEAGUE,2019/2020,Al Ittihad,El Gouna,ROUND 2,1,0,1,0,2.75,2,4,3.1,1.95,3.75,1.5,2.5,1.53,2.37,,,,,3.4,1.3,3.50,1.28,,,,,10,1.06,11.00,1.05,2,3.4,3.6,2.3,2.87,3,1.28,1.3,1.72,1.33,1.36,1.53,2.1,1.66,2,1.72,1.06,8,1.08,7.00,1.1,5.45,1.11,6.00,1.4,2.75,1.4,2.75,1.7,2.08,1.62,2.16,2.3,1.6,2.25,1.62,3.19,1.32,3.30,1.31,4.33,1.2,4.33,1.2,6.45,1.07,6.90,1.08,8,1.06,8,1.06,14,1.01,13.50,1.01,12,1.01,12,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,1.77,2.02,1.37,3,2.37,1.55,1.2,4.4,3.55,1.27,1.1,6.8,5.25,1.16,,,7,1.1,,,,,,,8,8.5,17,41,6,6.5,13,34,8.5,9.5,19,41,17,19,34,67,81,81,101,226,41,41,67,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-02-10,12:30,EGYPT - PREMIER LEAGUE,2019/2020,El Ismaily,Al Masry,ROUND 2,1,2,1,3,3.2,2,3.4,2.87,2.1,3.5,1.5,2.5,1.40,2.75,,,,,3.4,1.3,2.75,1.40,,,,,10,1.06,8.00,1.08,2.45,3,2.8,2.25,3,3,1.36,1.33,1.5,1.33,1.33,1.53,1.9,1.8,1.72,2,1.07,7.5,1.03,10.00,1.14,4.84,1.07,6.45,1.4,2.75,1.28,3.50,1.79,1.96,1.41,2.60,2.35,1.57,2.05,1.75,3.5,1.28,2.54,1.43,4,1.22,3.25,1.33,6.9,1.06,4.94,1.13,7.5,1.07,6.00,1.11,13,1.01,11.00,1.02,11,1.02,9.00,1.04,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,1.83,1.98,2.2,1.65,1.57,2.35,3.1,1.35,1.3,3.45,5,1.17,1.15,5.5,7,1.1,,,,,,,,,,,7.5,8,13,29,7.5,6,11,26,11,11,17,41,23,23,41,51,51,51,81,151,51,51,81,151,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-02-10,15:00,EGYPT - PREMIER LEAGUE,2019/2020,Al Ahly,El-Entag El-Harby,ROUND 2,1,0,4,0,1.8,2.3,8,1.9,2.25,7,1.36,3,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,6.5,1.11,7.00,1.10,1.33,4.33,10,1.4,3.8,7.5,1.03,1.2,3.25,1.06,1.22,2.62,2.2,1.61,2.1,1.66,1.03,10,1.03,10,1.05,7.6,1.06,7.10,1.25,3.75,1.25,3.75,1.39,2.85,1.36,2.80,1.8,2,1.90,1.90,2.31,1.57,2.37,1.49,3,1.36,3.25,1.33,4.3,1.17,4.70,1.14,5.5,1.12,5.5,1.12,9.6,1.04,9.6,1.04,9,1.04,9,1.04,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,1.1,6.8,1.2,4.4,1.09,6.5,1.4,2.85,,,1.77,2.02,,,2.3,1.6,,,3.1,1.35,,,4.25,1.21,,,10,23,51,126,6,8.5,29,81,6,8.5,23,81,8,13,29,81,201,301,276,301,15,21,51,126,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-02-12,12:00,EGYPT - PREMIER LEAGUE,2019/2020,Smouha,El Gaish,ROUND 5,2,1,2,1,3.1,1.9,3.75,3.1,1.9,3.75,1.57,2.25,1.57,2.25,,,,,3.75,1.25,3.75,1.25,,,,,11,1.05,11,1.05,2.37,2.8,3,2.37,2.8,3,1.33,1.36,1.5,1.33,1.36,1.5,2.1,1.66,2.1,1.66,1.1,6.5,1.1,6.5,1.16,4.44,1.12,5.25,1.5,2.5,1.5,2.5,1.97,1.78,1.70,2.04,2.7,1.44,2.50,1.50,4.24,1.2,3.46,1.28,4.5,1.16,4.5,1.16,8.1,1.04,6.75,1.06,8.5,1.05,8.5,1.05,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.06,2.05,1.75,1.5,2.55,3.15,1.34,1.24,3.85,5.3,1.15,,,8,1.08,,,,,,,,,,,6.5,8,15,34,6.5,6,13,29,10,11,19,41,23,23,41,67,67,67,101,226,51,51,81,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-03-10,10:00,EGYPT - PREMIER LEAGUE,2019/2020,Tanta,Pyramids,ROUND 2,0,2,1,2,5.5,2.3,2.05,5.5,2.2,2.1,1.36,3,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,7,1.1,6.5,3.8,1.44,5.5,3.6,1.53,2.5,1.22,1.08,2.25,1.25,1.11,1.9,1.8,1.9,1.8,1.02,11,1.02,11,1.05,7.5,1.06,8.10,1.25,3.75,1.25,3.75,1.41,2.78,1.36,2.80,1.9,1.9,1.85,1.95,2.4,1.53,2.37,1.49,3,1.36,3.25,1.33,4.5,1.16,4.70,1.17,5,1.14,5.50,1.12,9.6,1.04,9.6,1.04,8.5,1.05,9.00,1.04,,,,,13,1.01,15.00,1.01,,,,,,,,,,,,,,,,,5,1.17,5.75,1.14,3.3,1.32,7,1.1,2.3,1.6,,,1.72,2.07,,,1.42,2.75,,,1.23,4,,,1.14,5.75,11,6.5,7,10,17,8,8.5,13,34,21,17,26,67,51,51,51,19,23,41,101,301,126,151,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-03-10,15:00,EGYPT - PREMIER LEAGUE,2019/2020,Misr Lel Makkasa,Zamalek,ROUND 2,0,0,0,1,5.5,2.2,2.2,4.75,2.1,2.37,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,5.75,3.6,1.55,4.33,3.3,1.72,2.25,1.25,1.11,1.9,1.3,1.16,2,1.72,1.83,1.83,1.04,9.5,1.04,9.5,1.07,6.45,1.08,7.20,1.3,3.4,1.3,3.4,1.52,2.43,1.45,2.47,2,1.8,2,1.8,2.73,1.42,2.69,1.39,3.4,1.3,3.4,1.3,5.3,1.11,5.50,1.13,6.5,1.1,6.5,1.1,11,1.02,11,1.02,10,1.03,10,1.03,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.26,4.25,1.21,2.67,1.45,6.6,1.11,1.98,1.83,,,1.52,2.42,,,1.3,3.45,,,1.16,5.25,,,1.1,7,9.5,6.5,7,11,13,7,8.5,15,29,19,19,29,51,41,51,67,23,29,51,126,151,126,151,226,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-04-10,15:00,EGYPT - PREMIER LEAGUE,2019/2020,Smouha,Enppi,ROUND 3,1,1,2,1,3.2,2,3.4,3.1,1.95,3.5,1.5,2.5,1.5,2.5,,,,,3.25,1.33,3.40,1.30,,,,,9,1.07,10.00,1.06,2.5,2.87,2.9,2.4,2.75,3,1.4,1.4,1.5,1.33,1.36,1.5,1.83,1.83,1.83,1.83,1.06,8,1.06,8,1.09,5.85,1.10,6.30,1.36,3,1.36,3,1.61,2.24,1.61,2.24,2.15,1.66,2.15,1.67,3.1,1.34,3.1,1.34,3.75,1.25,3.75,1.25,5.95,1.09,6.40,1.10,7,1.08,7,1.08,12.5,1.01,12.5,1.01,10.5,1.02,10.5,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2,2.2,1.65,1.55,2.37,3.1,1.35,1.3,3.45,4.65,1.18,1.15,5.5,7,1.1,,,,,,,,,,,8,8.5,13,29,8,5.5,11,23,12,11,13,34,26,23,34,51,51,51,67,151,51,51,67,126,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-04-12,12:00,EGYPT - PREMIER LEAGUE,2019/2020,El Ismaily,Tanta,ROUND 5,0,0,0,0,2.75,1.9,4.5,2.87,1.9,4.33,1.57,2.25,1.53,2.37,,,,,3.5,1.28,3.5,1.28,,,,,11,1.05,11,1.05,2,2.87,4,2.1,2.8,3.6,1.2,1.36,1.66,1.25,1.36,1.61,2.1,1.66,2,1.72,1.1,6.5,1.08,7.00,1.15,4.64,1.13,5.50,1.44,2.62,1.44,2.62,1.84,1.9,1.71,2.02,2.5,1.5,2.37,1.55,3.7,1.25,3.60,1.26,4.5,1.16,4.33,1.20,7.2,1.06,7.60,1.07,8.5,1.05,8.00,1.06,,,,,13,1.01,12.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.42,2.75,1.75,2.05,1.32,3.3,2.37,1.55,1.16,5.25,3.55,1.27,,,5.5,1.15,,,,,,,,,,,6.5,9,19,41,6,6,15,41,8.5,10,19,51,17,21,41,67,101,81,126,226,41,41,67,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-04-12,14:30,EGYPT - PREMIER LEAGUE,2019/2020,Haras El Hodood,Al Ittihad,ROUND 5,0,0,0,1,4.33,1.9,2.87,3.5,1.83,3.6,1.57,2.25,1.57,2.25,,,,,3.75,1.25,3.75,1.25,,,,,11,1.05,11,1.05,3.6,3.2,2,2.6,2.87,2.62,1.72,1.36,1.28,1.4,1.36,1.44,2.25,1.57,2,1.72,1.1,6.5,1.1,6.5,1.16,4.84,1.18,4.50,1.53,2.37,1.44,2.62,1.84,1.9,1.99,1.73,2.6,1.47,2.75,1.42,3.56,1.24,4.30,1.19,5,1.14,4.50,1.16,8.2,1.06,9.70,1.04,9,1.04,8.50,1.05,,,,,15,1.01,13.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.52,3,1.37,2,1.8,4.4,1.2,1.52,2.42,6.4,1.12,1.26,3.7,10,1.06,1.14,5.75,,,,,,,,,6.5,5.5,8.5,17,8,6.5,10,21,17,15,21,41,41,41,51,81,41,41,81,151,101,81,126,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-05-10,10:00,EGYPT - PREMIER LEAGUE,2019/2020,Aswan SC,Al Ahly,ROUND 3,0,2,1,5,11,2.6,1.57,9.5,2.4,1.66,1.33,3.25,1.36,3.00,,,,,2.5,1.5,2.75,1.40,,,,,6,1.12,7.00,1.10,15,5.5,1.18,9,5.5,1.22,4.5,1.12,1.01,3.75,1.11,1.03,2.62,1.44,2.75,1.4,1.02,11,1.02,11,1.03,8.3,1.06,7.80,1.22,4,1.28,3.50,1.33,3.14,1.44,2.65,1.7,2.1,1.85,1.95,2.13,1.66,2.55,1.48,2.62,1.44,3.25,1.33,3.84,1.21,5.00,1.15,4.5,1.16,5.50,1.12,8.2,1.06,10.00,1.03,8,1.06,9.00,1.04,,,,,12,1.01,15.00,1.01,,,,,,,,,,,,,,,,,8.5,1.04,,,6.6,1.11,,,4,1.23,,,2.6,1.47,,,1.95,1.85,,,1.55,2.37,,,1.35,3.1,11,6,5.5,6.5,34,12,9.5,13,67,41,34,41,151,151,126,126,10,21,51,151,201,201,201,201,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
