Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,AFC Wimbledon,Lincoln,ROUND 17,0,1,1,1,3.6,2.1,3,3.4,2.1,3.2,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,3.2,3.6,2.3,2.7,3.25,2.6,1.57,1.28,1.36,1.5,1.33,1.4,1.8,1.95,1.75,2,1.06,10,1.06,10,1.07,7.2,1.07,6.80,1.3,3.4,1.28,3.50,1.51,2.56,1.42,2.57,2,1.8,2,1.8,2.75,1.45,2.59,1.41,3.5,1.28,3.40,1.30,5.35,1.13,5.30,1.12,7,1.1,7,1.1,9.3,1.02,9.3,1.02,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.65,2.5,1.5,1.85,2,3.55,1.27,1.45,2.67,5.9,1.13,1.24,3.9,8,1.08,1.13,5.9,,,,,,,,,10,8,11,21,9.5,6.5,9.5,19,15,11,15,29,34,23,34,51,41,41,51,101,67,51,67,101,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Blackpool,Peterborough,ROUND 17,2,2,4,3,3.4,2.25,2.87,3.25,2.2,3.1,1.33,3.25,1.36,3.00,,,,,2.62,1.44,2.62,1.44,,,,,6.5,1.11,7.00,1.10,3,3.75,2.37,2.8,3.25,2.5,1.53,1.25,1.36,1.5,1.33,1.4,1.61,2.2,1.61,2.2,1.04,13,1.05,12.00,1.05,8.5,1.04,8.30,1.22,4,1.25,3.75,1.35,3.2,1.36,2.80,1.72,2.07,1.80,2.00,2.19,1.68,2.37,1.49,2.75,1.4,3.00,1.36,3.9,1.22,4.20,1.19,5.5,1.14,5.5,1.14,7.1,1.06,7.60,1.05,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,2.1,1.7,2.42,1.52,1.83,2.02,3.45,1.3,1.45,2.67,5.5,1.15,1.25,3.8,7.4,1.09,1.14,5.75,,,,,,,,,13,9.5,12,21,11,7,9.5,17,15,11,13,23,29,21,26,41,41,41,41,67,51,41,51,81,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Bolton,Fleetwood,ROUND 17,2,0,2,1,5.5,2.3,2.2,4,2.3,2.5,1.36,3,1.30,3.40,,,,,2.62,1.44,2.50,1.50,,,,,7,1.1,6.00,1.12,6,4.5,1.57,3.75,3.6,1.9,2.25,1.18,1.12,1.8,1.28,1.25,1.9,1.9,1.57,2.25,1.05,12,1.03,15.00,1.05,8.2,1.03,8.90,1.25,3.75,1.20,4.33,1.38,3.04,1.30,3.20,1.8,2,1.65,2.20,2.31,1.62,2.12,1.62,3,1.36,2.50,1.50,4.3,1.18,3.80,1.22,6,1.12,4.50,1.18,7.6,1.05,7.10,1.06,13,1.04,10.00,1.06,,,,,26,1.01,19.00,1.02,,,,,,,,,,,,,,,,,4,1.23,4.5,1.19,2.85,1.4,6.8,1.1,2.1,1.7,9.5,1.06,1.62,2.25,,,1.35,3.1,,,1.19,4.5,,,1.11,6.6,13,7.5,8,12,15,8,8.5,13,26,17,15,23,51,41,41,51,23,23,41,81,151,81,101,126,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Coventry,Accrington,ROUND 17,0,0,0,0,2.5,2.25,4.33,2.37,2.2,5,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,1.9,3.75,4.33,1.8,3.25,5,1.2,1.25,1.8,1.14,1.33,2,1.7,2.05,1.75,2,1.05,12,1.06,10.00,1.06,7.7,1.07,6.80,1.25,3.75,1.25,3.75,1.43,2.83,1.45,2.47,1.85,1.95,1.85,1.95,2.45,1.55,2.67,1.39,3,1.36,3,1.36,4.64,1.16,5.30,1.12,6,1.12,6,1.12,8.2,1.04,8.30,1.03,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.52,2.42,1.77,2.02,1.4,2.85,2.35,1.57,1.22,4.15,3.45,1.3,1.1,6.8,4.65,1.18,,,7,1.1,,,10,1.05,,,12,12,21,41,8,7,13,29,9.5,8.5,13,34,17,15,23,41,81,67,67,101,34,29,41,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Doncaster,Burton,ROUND 17,1,1,2,2,2.87,2.25,3.5,2.87,2.25,3.5,1.36,3,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,6.50,1.11,2.25,3.6,3.3,2.25,3.25,3.2,1.33,1.28,1.57,1.33,1.33,1.57,1.61,2.2,1.61,2.2,1.04,13,1.05,12.00,1.05,8.5,1.05,7.70,1.22,4,1.22,4,1.36,3.15,1.37,2.77,1.7,2.1,1.75,2.05,2.22,1.66,2.40,1.48,2.75,1.4,2.75,1.4,4.04,1.21,4.60,1.16,5.5,1.14,5.5,1.14,7.3,1.05,7.60,1.05,11,1.05,11,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,1.62,2.25,1.95,1.9,1.47,2.6,2.5,1.5,1.26,3.7,3.7,1.26,1.13,5.9,5.5,1.15,1.08,8.1,,,,,,,,,13,12,17,34,9.5,6.5,11,23,12,9,12,29,21,17,23,41,67,51,51,81,41,34,41,67,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Gillingham,Rotherham,ROUND 17,0,2,0,3,3.6,2.25,2.87,3.5,2.25,2.87,1.4,2.75,1.33,3.25,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,6.50,1.11,3.5,3.4,2.25,2.8,3.25,2.5,1.57,1.3,1.28,1.57,1.33,1.36,1.7,2.05,1.61,2.2,1.05,11,1.05,12.00,1.06,7.5,1.05,7.70,1.25,3.75,1.22,4.00,1.45,2.75,1.37,2.76,1.9,1.9,1.75,2.05,2.5,1.53,2.40,1.48,3.25,1.33,2.75,1.40,4.8,1.15,4.60,1.16,6.5,1.11,5.50,1.14,8.4,1.03,8.00,1.04,13,1.04,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,2.3,1.6,2.67,1.45,1.9,1.95,3.9,1.24,1.47,2.6,6.25,1.12,1.25,3.8,8.3,1.07,1.14,5.75,,,,,,,,,11,8.5,11,21,11,6,9,17,17,12,13,26,34,26,34,41,41,41,51,81,67,51,67,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,MK Dons,Tranmere,ROUND 17,1,1,1,3,2.62,2.2,4,2.6,2.25,4,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,2.05,3.6,3.8,2,3.4,3.75,1.25,1.28,1.72,1.25,1.3,1.72,1.7,2.05,1.66,2.1,1.05,11,1.05,12.00,1.07,7.2,1.05,7.70,1.25,3.75,1.22,4.00,1.46,2.72,1.38,2.70,1.85,1.95,1.80,2.00,2.53,1.52,2.44,1.46,3.25,1.33,2.75,1.40,4.8,1.15,4.60,1.16,6,1.12,5.50,1.14,8.4,1.03,7.30,1.05,13,1.04,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.47,2.6,1.72,2.07,1.35,3.1,2.3,1.6,1.2,4.4,3.3,1.32,1.1,7,4.5,1.19,1.05,9.9,6,1.1,,,,,,,11,11,19,41,8,6.5,12,29,10,9,13,34,19,15,23,41,81,51,67,101,41,34,41,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Portsmouth,Oxford Utd,ROUND 17,0,0,1,1,2.75,2.2,3.75,2.87,2.3,3.5,1.36,3,1.36,3,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,7.00,1.10,2.1,3.6,3.6,2.3,3.25,3.1,1.28,1.28,1.66,1.36,1.33,1.57,1.75,2,1.66,2.1,1.05,11,1.05,11,1.06,7.3,1.05,7.70,1.28,3.5,1.25,3.75,1.45,2.75,1.36,2.80,1.95,1.85,1.85,1.95,2.5,1.53,2.37,1.49,3.25,1.33,3.25,1.33,4.74,1.16,4.60,1.16,6.5,1.11,6.00,1.12,8.3,1.03,8.40,1.03,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.52,2.42,1.83,2.02,1.4,2.85,2.37,1.55,1.22,4.15,3.45,1.3,1.1,6.8,5.25,1.16,1.06,8.9,,,,,,,,,11,11,17,34,8,6.5,12,26,10,9,13,34,19,17,26,41,67,51,67,101,41,34,51,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Rochdale,Bristol Rovers,ROUND 17,1,2,1,2,3.2,2.05,3.5,3.2,2.05,3.5,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,2.45,3.4,3.1,2.3,3.2,3.1,1.36,1.3,1.53,1.4,1.36,1.53,1.8,1.95,1.8,1.95,1.07,9,1.07,9,1.09,6.35,1.08,6.30,1.33,3.25,1.33,3.25,1.6,2.34,1.51,2.31,2.1,1.7,2.1,1.7,3,1.39,2.90,1.36,3.75,1.25,3.75,1.25,5.9,1.1,5.80,1.1,8,1.08,8,1.08,9.9,1.02,9.80,1.02,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.13,2.05,1.75,1.52,2.42,2.85,1.4,1.27,3.55,4.4,1.2,1.13,5.9,6.6,1.11,1.08,8,,,,,,,,,9,8.5,15,29,7.5,6,11,23,11,10,15,34,23,21,29,51,67,51,67,126,51,41,51,101,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-02-11,12:00,ENGLAND - LEAGUE ONE,2019/2020,Sunderland,Southend,ROUND 17,1,0,1,0,1.66,2.62,9,1.8,2.62,7,1.28,3.5,1.28,3.5,,,,,2.37,1.53,2.25,1.57,,,,,5.5,1.14,5.5,1.14,1.28,6,12,1.36,5,8,1.05,1.12,3.5,1.07,1.16,3.25,2.1,1.66,1.95,1.8,1.04,13,1.03,15.00,1.03,9.7,1.01,10.50,1.18,4.5,1.16,5.00,1.28,3.68,1.22,3.90,1.6,2.3,1.57,2.35,1.96,1.84,1.87,1.83,2.5,1.5,2.37,1.53,3.48,1.27,3.30,1.29,4.33,1.2,4.33,1.2,6.2,1.08,5.85,1.09,9,1.07,9,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,1.1,7,1.16,5.25,1.08,8,1.3,3.45,,,1.57,2.35,,,2.02,1.83,,,2.6,1.47,,,3.55,1.27,,,13,23,51,151,7.5,11,29,81,6,9.5,23,67,7.5,11,29,67,501,301,251,301,12,17,41,101,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
