Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Bradford City,Exeter,ROUND 17,2,0,2,0,3,2.1,3.5,2.87,2.1,3.75,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,9.00,1.07,2.35,3.4,3.25,2.15,3.25,3.4,1.33,1.3,1.57,1.3,1.33,1.66,1.72,2,1.8,1.9,1.06,10,1.07,9.50,1.07,7.1,1.08,6.60,1.28,3.5,1.33,3.25,1.51,2.56,1.47,2.41,1.95,1.85,2.05,1.75,2.72,1.46,2.75,1.43,3.25,1.33,3.50,1.28,5.25,1.13,6.25,1.12,6.5,1.11,8.00,1.08,9,1.03,9.50,1.02,15,1.03,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.2,2,1.85,1.47,2.6,2.67,1.45,1.26,3.7,4,1.23,1.12,6,5.9,1.13,1.07,8.4,,,,,,,,,10,10,15,34,8.5,6,11,23,12,9.5,13,34,21,19,26,41,67,51,67,101,41,41,51,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Cambridge Utd,Crawley,ROUND 17,0,0,2,1,2.6,2.2,4.33,3,2.05,3.75,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.25,1.33,,,,,8,1.08,9.00,1.07,2,3.5,4.2,2.2,3.2,3.4,1.22,1.28,1.72,1.3,1.36,1.61,1.72,2,1.83,1.83,1.06,10,1.08,8.50,1.06,7.3,1.10,7.00,1.28,3.5,1.33,3.25,1.48,2.65,1.52,2.29,1.95,1.85,2.10,1.70,2.62,1.49,3.00,1.38,3.25,1.33,3.75,1.25,5.05,1.14,6.80,1.10,6.5,1.11,8.00,1.08,8.7,1.03,10.00,1.01,13,1.04,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.37,3,1.62,2.25,1.27,3.55,2.1,1.7,1.15,5.5,3,1.37,1.1,6.8,4.25,1.21,1.04,11,6.8,1.1,,,,,,,10,12,21,41,7.5,6.5,13,34,9.5,8.5,13,41,17,15,26,41,101,67,81,126,34,34,41,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Carlisle,Macclesfield,ROUND 17,1,1,2,1,3,2.1,3.6,2.75,2.2,4,1.4,2.75,1.4,2.75,,,,,3,1.36,2.75,1.40,,,,,9,1.07,8.00,1.08,2.3,3.5,3.3,2,3.5,3.6,1.36,1.28,1.53,1.28,1.28,1.72,1.8,1.9,1.72,2,1.07,9.5,1.05,11.00,1.08,6.65,1.06,7.40,1.3,3.4,1.28,3.50,1.56,2.43,1.40,2.66,2.07,1.72,1.90,1.90,2.88,1.42,2.50,1.44,3.5,1.28,3.40,1.30,5.6,1.12,5.50,1.15,7,1.1,6.50,1.11,9.5,1.02,9.20,1.02,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,1.95,1.9,1.45,2.67,2.6,1.47,1.24,3.9,3.9,1.24,1.11,6.4,5.9,1.13,1.07,8.5,,,,,,,,,9.5,9.5,15,34,8,6.5,11,26,11,9.5,15,34,21,19,29,51,67,51,67,126,41,41,51,101,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Cheltenham,Forest Green,ROUND 17,0,2,1,2,3.1,2,3.75,2.87,2.2,3.6,1.5,2.5,1.40,2.75,,,,,3.4,1.3,3.00,1.36,,,,,10,1.06,8.00,1.08,2.37,3.3,3.3,2.2,3.4,3.2,1.33,1.33,1.53,1.36,1.3,1.61,1.9,1.8,1.8,1.9,1.08,8,1.06,10.00,1.1,6.1,1.05,7.70,1.4,2.75,1.30,3.40,1.64,2.26,1.42,2.58,2.2,1.65,1.95,1.85,3.15,1.36,2.57,1.42,4.33,1.2,3.50,1.28,6.2,1.1,5.50,1.15,10,1.06,7.00,1.10,10,1.01,9.50,1.02,21,1.01,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.25,2,1.85,1.45,2.67,2.67,1.45,1.24,3.9,4.15,1.22,1.11,6.6,6.25,1.12,1.06,9,,,,,,,,,8,8,15,34,7,6,12,29,10,9.5,17,41,21,21,34,51,67,67,81,151,51,41,67,126,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Crewe,Port Vale,ROUND 17,0,0,0,1,2.5,2.2,4.33,2.5,2.2,4.33,1.36,3,1.40,2.75,,,,,2.75,1.4,2.75,1.4,,,,,7,1.1,8.00,1.08,1.85,3.8,4.5,1.83,3.5,4.33,1.18,1.25,1.83,1.2,1.28,1.83,1.72,2,1.8,1.9,1.05,11,1.06,10.00,1.06,7.8,1.06,7.10,1.25,3.75,1.28,3.50,1.42,2.88,1.41,2.60,1.8,2,1.95,1.85,2.4,1.57,2.55,1.43,3.25,1.33,3.40,1.30,4.54,1.17,5.75,1.14,6,1.12,6.50,1.11,8.1,1.04,8.90,1.03,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.42,2.75,1.65,2.2,1.32,3.3,2.1,1.7,1.18,4.65,3,1.37,1.08,8.1,4.15,1.22,,,6.6,1.11,,,,,,,11,12,21,41,7.5,7,13,34,9,8.5,15,34,15,15,23,51,101,67,81,126,29,29,41,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Mansfield,Colchester,ROUND 17,1,1,2,3,3,2.05,3.6,2.75,2.1,4,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,2.3,3.4,3.4,2.1,3.25,3.6,1.3,1.3,1.57,1.28,1.33,1.66,1.83,1.83,1.83,1.83,1.07,9,1.07,9,1.09,6.5,1.08,6.40,1.33,3.25,1.33,3.25,1.57,2.4,1.51,2.31,2.07,1.72,2.07,1.72,2.91,1.41,3.00,1.38,3.75,1.25,3.75,1.25,5.7,1.11,6.60,1.11,8,1.08,8,1.08,9.7,1.02,9.80,1.02,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.62,2.25,2,1.85,1.47,2.6,2.67,1.45,1.25,3.8,4.1,1.22,1.12,6.25,6,1.12,1.06,8.6,,,,,,,,,9,9.5,15,34,7.5,6,12,26,11,9.5,15,34,21,19,29,51,67,51,67,126,41,41,51,101,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Morecambe,Leyton Orient,ROUND 17,0,0,1,0,3.6,2.2,2.87,3.4,2.2,3.1,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,3.3,3.5,2.3,2.8,3.5,2.37,1.57,1.28,1.33,1.53,1.28,1.4,1.72,2,1.66,2.1,1.05,11,1.05,11,1.06,7.3,1.05,7.70,1.28,3.5,1.28,3.5,1.47,2.68,1.38,2.73,1.95,1.85,1.85,1.95,2.59,1.5,2.42,1.47,3.25,1.33,3.25,1.33,5,1.14,5.50,1.15,6.5,1.11,6.5,1.11,8.6,1.03,8.30,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.2,1.65,2.6,1.47,1.85,2,3.7,1.26,1.45,2.67,5.9,1.13,1.24,3.9,8.3,1.07,1.13,5.9,,,,,,,,,11,8.5,11,21,10,6.5,9,17,17,11,13,26,34,26,34,41,41,41,51,81,67,51,67,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Newport,Salford,ROUND 17,1,1,1,2,2.75,2.1,4.33,2.6,2.1,4.5,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,2.1,3.4,4,1.85,3.4,4.33,1.22,1.3,1.66,1.2,1.3,1.83,1.83,1.83,1.83,1.83,1.08,8.5,1.08,8.5,1.09,6.3,1.10,7.00,1.33,3.25,1.33,3.25,1.61,2.32,1.51,2.31,2.1,1.7,2.1,1.7,3.04,1.38,3.00,1.38,3.75,1.25,3.75,1.25,5.95,1.1,6.80,1.1,8,1.08,8,1.08,10,1.02,10,1.01,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.42,1.82,1.97,1.4,2.85,2.42,1.52,1.21,4.25,3.7,1.26,1.1,7,5.5,1.15,,,7.7,1.09,,,,,,,8.5,10,19,41,7,6,13,29,9.5,9,15,41,19,17,29,51,81,67,81,151,41,41,51,101,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Oldham,Northampton,ROUND 17,0,1,2,2,3.2,2.1,3.5,3.1,2.2,3.4,1.44,2.62,1.36,3.00,,,,,3.25,1.33,2.75,1.40,,,,,9,1.07,8.00,1.08,2.55,3.5,2.9,2.3,3.5,2.9,1.4,1.28,1.44,1.4,1.28,1.57,1.83,1.83,1.66,2.1,1.07,9.5,1.05,11.00,1.09,6.5,1.05,7.70,1.33,3.25,1.28,3.50,1.58,2.38,1.37,2.76,2.07,1.72,1.85,1.95,2.95,1.4,2.40,1.48,3.75,1.25,3.25,1.33,5.8,1.11,5.25,1.16,8,1.08,6.00,1.12,9.7,1.02,8.80,1.03,17,1.02,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.8,2.05,2.07,1.72,1.55,2.37,2.85,1.4,1.3,3.45,4.5,1.19,1.15,5.5,6.8,1.1,1.09,7.5,10.5,1.05,,,,,,,9.5,8.5,13,29,8,6.5,11,23,12,10,15,34,23,21,29,51,51,51,67,126,51,41,51,101,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-02-11,12:00,ENGLAND - LEAGUE TWO,2019/2020,Scunthorpe,Stevenage,ROUND 17,0,0,0,0,2.5,2.2,4.33,2.75,2.2,4,1.36,3,1.36,3,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.9,3.75,4.2,2.05,3.5,3.5,1.22,1.25,1.8,1.28,1.28,1.72,1.8,1.9,1.72,2,1.05,11,1.05,11,1.08,6.85,1.06,7.40,1.28,3.5,1.28,3.5,1.6,2.34,1.39,2.69,2.07,1.72,1.90,1.90,3.1,1.37,2.46,1.46,3.25,1.33,3.25,1.33,6.1,1.1,5.50,1.15,6.5,1.11,6.5,1.11,10,1.01,8.40,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.35,3.1,2.2,1.65,1.18,4.65,3.1,1.35,1.1,7,4.5,1.19,1.03,11.5,7,1.1,,,,,,,11,12,21,41,7.5,7,13,29,9,8.5,15,34,15,15,26,51,101,67,81,126,34,34,41,81,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
