Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-05,12:30,FINLAND - VEIKKAUSLIIGA,2019,Mariehamn,KuPS,ROUND 6,3,0,3,4,3.2,2.1,3.5,3.2,2.1,3.4,1.44,2.62,1.40,2.75,,,,,3,1.36,3,1.36,,,,,9,1.07,9,1.07,2.45,3.3,2.8,2.4,3.3,2.7,1.44,1.34,1.57,1.44,1.33,1.53,1.8,1.95,1.8,1.95,1.07,9,1.06,10.00,1.05,7.9,1.07,7.50,1.33,3.25,1.30,3.40,1.52,2.47,1.45,2.42,2.05,1.75,2.00,1.80,3,1.38,2.53,1.38,3.75,1.25,3.50,1.28,6.15,1.09,5.20,1.14,8,1.08,7.00,1.10,10.5,1.03,10.5,1.03,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.05,2.1,1.77,1.55,2.37,2.85,1.4,1.3,3.45,4.4,1.2,1.14,5.75,6.6,1.11,1.06,8.6,12,1.05,,,,,,,9,8.5,15,34,7.5,6,11,26,11,9.5,15,34,23,21,29,51,67,51,81,151,51,41,67,126,351,48,52,9,1,53,56,35,32,6,0,3,1,,,,,,,7,4,,,5,0,0,0,0,3,7,5,1,1,,,,,16,17,45,55,10,7,84,105,55,79,7,4,3,3,,,,,,,,,13,11,,,8,5,1,0,0,4,12,12,3,2,,,,,38,33
2,2019-01-07,12:30,FINLAND - VEIKKAUSLIIGA,2019,SJK,Inter Turku,ROUND 14,0,0,2,1,3.6,2.05,3.1,3.4,2.05,3.4,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,10,1.06,10,1.06,3.2,3.1,2.3,2.75,3.1,2.62,1.61,1.38,1.36,1.5,1.38,1.45,1.9,1.9,1.9,1.9,1.08,8.5,1.08,8.5,1.1,5.65,1.1,7.20,1.36,3,1.36,3,1.59,2.25,1.59,2.32,2.1,1.7,2.15,1.66,3.04,1.37,2.72,1.46,3.75,1.25,3.75,1.25,5.9,1.1,5.9,1.13,9,1.07,9,1.07,11,1.02,12.00,1.01,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.2,1.65,2.67,1.45,1.83,2.02,3.8,1.25,1.42,2.75,6.4,1.11,1.22,4.15,8,1.09,1.12,6.25,15,1.03,1.04,13,,,,,8.5,7,11,23,9,6,9.5,21,15,12,15,34,34,26,41,51,51,41,67,126,67,51,81,151,401,47,53,4,3,50,37,21,16,0,2,4,1,,,,,,,,,,,1,3,1,1,2,0,4,7,0,1,,,,,,,44,56,9,7,96,85,40,44,4,5,5,2,,,,,,,,,,,,,3,8,1,8,4,2,10,10,2,1,,,,,,
3,2019-01-09,11:00,FINLAND - VEIKKAUSLIIGA,2019,Lahti,Mariehamn,ROUND 22,0,0,0,1,3.75,2.1,2.87,3.25,2.05,3.4,1.4,2.75,1.44,2.62,,,,,3,1.36,3.25,1.33,,,,,8,1.08,9.00,1.07,3.6,3.3,2.05,2.7,3,2.75,1.72,1.33,1.28,1.4,1.36,1.44,1.75,2,1.8,1.95,1.06,10,1.08,8.50,1.08,6.55,1.10,6.80,1.3,3.4,1.33,3.25,1.51,2.52,1.57,2.40,2,1.8,2.10,1.70,2.71,1.45,3.00,1.38,3.4,1.3,3.75,1.25,5.15,1.13,6.80,1.10,7,1.1,8.00,1.08,9,1.03,12.00,1.01,15,1.03,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.37,1.55,2.85,1.4,2,1.85,4.15,1.22,1.52,2.42,6.8,1.1,1.27,3.55,8.9,1.06,1.15,5.5,,,1.06,10.5,,,,,10,7.5,10,19,10,6,9,17,17,12,13,26,41,29,34,51,41,41,51,101,81,67,81,126,301,38,62,5,3,57,65,11,28,1,2,4,1,,,,,,,3,5,,,2,1,0,2,2,1,4,5,1,0,,,,,15,9,47,53,11,8,122,112,38,54,5,4,6,4,,,,,,,,,9,15,,,6,3,1,3,3,5,9,13,2,2,,,,,18,19
4,2019-01-09,12:30,FINLAND - VEIKKAUSLIIGA,2019,HJK,Rovaniemi,ROUND 22,1,1,2,2,1.9,2.37,7.5,1.83,2.4,8.5,1.36,3,1.40,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.36,4.75,8.5,1.3,5,11,1.08,1.18,3,1.05,1.16,3.4,2.2,1.61,2.37,1.53,1.05,11,1.06,10.00,1.06,7.2,1.07,7.60,1.28,3.5,1.30,3.40,1.47,2.64,1.47,2.66,1.9,1.9,1.95,1.85,2.55,1.5,2.66,1.47,3.25,1.33,3.40,1.30,4.9,1.14,5.90,1.13,6.5,1.11,7.00,1.10,8.6,1.03,10.50,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.11,6.4,1.24,3.9,1.1,7,1.45,2.67,,,1.98,1.88,,,2.6,1.47,,,3.55,1.27,,,5.25,1.16,,,11,17,41,126,5.5,9,26,67,6,8,23,67,8.5,13,29,81,201,301,301,201,17,23,51,151,201,37,63,4,3,55,54,29,36,2,3,2,0,,,,,,,4,4,,,1,1,1,1,2,1,4,2,2,0,,,,,11,2,41,59,12,7,124,98,86,63,7,6,5,1,,,,,,,,,9,9,,,3,3,2,1,4,5,8,8,5,1,,,,,14,9
5,2019-02-06,12:30,FINLAND - VEIKKAUSLIIGA,2019,Honka,KPV Kokkola,ROUND 11,0,1,0,1,2.05,2.3,6,2,2.3,6.5,1.36,3,1.36,3,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,7,1.1,1.44,4.2,7,1.44,4,8,1.1,1.22,2.62,1.09,1.25,2.8,2,1.75,2,1.75,1.05,11,1.06,10.00,1.06,7.5,1.06,8.80,1.25,3.75,1.28,3.50,1.45,2.71,1.39,2.69,1.85,1.95,1.85,1.95,2.52,1.51,2.47,1.50,3.25,1.33,3.25,1.33,4.84,1.14,4.86,1.18,6,1.12,6,1.12,9.6,1.04,11.50,1.03,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.15,5.5,1.3,3.45,1.12,6,1.55,2.37,,,2.02,1.83,,,2.6,1.47,,,3.8,1.25,,,5.5,1.15,,,11,17,34,81,6,8,21,51,6.5,8,19,51,9.5,12,29,67,351,201,201,301,19,23,41,101,501,54,46,4,1,73,46,28,11,1,1,3,0,,,,,,,4,6,,,1,0,2,1,0,1,2,4,1,0,,,,,17,15,54,46,12,7,141,98,70,26,3,3,9,4,,,,,,,,,6,11,,,2,1,3,1,2,3,4,7,1,4,,,,,33,30
6,2019-02-06,12:30,FINLAND - VEIKKAUSLIIGA,2019,KuPS,SJK,ROUND 11,0,1,0,1,2.6,2.1,4.5,2.75,2.05,4.33,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,10.00,1.06,1.85,3.4,4.33,1.95,3.3,4,1.22,1.33,1.95,1.28,1.34,1.83,1.95,1.8,1.95,1.8,1.08,8.5,1.08,8.5,1.11,5.6,1.11,6.60,1.36,3,1.36,3,1.7,2.11,1.61,2.29,2.25,1.61,2.15,1.66,3.38,1.31,2.90,1.41,3.75,1.25,3.75,1.25,6.55,1.08,6.60,1.11,9,1.07,9,1.07,13,1.01,13,1.01,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.85,1.65,2.2,1.3,3.45,2.2,1.65,1.16,5.25,3.3,1.32,1.04,12.5,4.65,1.18,,,7,1.1,,,,,,,8.5,10,21,51,6,6.5,15,41,8,8.5,17,41,15,17,29,67,126,101,126,201,34,41,51,126,501,50,50,6,4,53,68,26,41,4,3,2,1,,,,,,,3,6,,,0,5,1,0,2,4,3,4,,,,,,,8,11,48,52,11,9,108,114,73,77,5,7,6,2,,,,,,,,,9,11,,,3,10,1,0,6,5,9,8,1,2,,,,,22,32
7,2019-02-06,12:30,FINLAND - VEIKKAUSLIIGA,2019,Mariehamn,Lahti,ROUND 11,0,0,0,1,2.5,2.1,5,2.87,2.05,4.33,1.44,2.62,1.50,2.50,,,,,3.25,1.33,3.40,1.30,,,,,10,1.06,10,1.06,1.75,3.6,4.75,2.1,3.25,3.6,1.2,1.29,2.1,1.29,1.35,1.75,2.05,1.7,1.95,1.8,1.08,8.5,1.08,8.00,1.1,5.85,1.13,6.05,1.36,3,1.40,2.75,1.66,2.19,1.67,2.16,2.2,1.65,2.25,1.61,3.2,1.34,3.12,1.37,4,1.22,4.33,1.20,6.25,1.09,7.30,1.09,9,1.07,10.00,1.06,13.5,1.01,13.5,1.01,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.32,3.3,1.55,2.37,1.26,3.7,2.02,1.77,1.14,5.75,2.85,1.4,1.04,12.5,4.15,1.22,,,6.8,1.1,,,9.2,1.05,,,8.5,10,21,51,6,7,15,41,7.5,8.5,19,51,15,17,34,67,151,101,151,251,34,34,51,151,501,61,39,9,5,56,37,30,21,2,2,7,3,,,,,,,6,3,,,1,1,1,1,2,2,5,2,2,0,,,,,23,18,49,51,19,8,99,80,58,43,7,5,12,3,,,,,,,,,10,8,,,5,1,2,4,4,7,10,7,6,1,0,1,,,34,38
8,2019-03-04,12:30,FINLAND - VEIKKAUSLIIGA,2019,HJK,Inter Turku,ROUND 1,0,0,2,1,2.1,2.3,6,1.9,2.4,6.5,1.36,3,1.33,3.25,,,,,2.62,1.44,2.50,1.50,,,,,7,1.1,6.50,1.11,1.5,4.2,6.5,1.4,4.5,8,1.12,1.25,2.62,1.09,1.2,3,1.95,1.8,1.95,1.8,1.05,11,1.04,13.00,1.02,10,1.04,9.50,1.25,3.75,1.22,4.00,1.4,2.91,1.31,3.20,1.85,1.95,1.70,2.10,2.5,1.52,2.05,1.66,3.25,1.33,2.75,1.40,4.94,1.14,4.00,1.22,6,1.12,5.00,1.16,8.2,1.02,7.80,1.03,13,1.04,11.00,1.05,,,,,26,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.2,4.4,1.35,3.1,1.16,5.25,1.65,2.2,1.07,8.1,2.25,1.62,,,3,1.37,,,4.5,1.19,,,6.6,1.11,,,11,15,34,67,6.5,7.5,19,51,7,8,19,51,11,13,26,67,251,151,151,201,21,23,41,101,451,57,43,2,3,30,14,20,11,1,2,1,1,,,,,,,4,4,,,4,0,0,0,2,1,3,3,1,0,,,,,11,16,57,43,8,5,56,31,43,19,4,3,4,2,,,,,,,,,8,10,,,9,0,1,2,2,2,6,8,2,1,,,,,23,23
9,2019-03-04,12:30,FINLAND - VEIKKAUSLIIGA,2019,KuPS,Rovaniemi,ROUND 1,0,1,2,2,2.6,2.1,4.5,2.5,2.1,4.75,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,1.83,3.5,4.33,1.85,3.4,4.33,1.22,1.3,2,1.22,1.33,1.95,1.95,1.8,1.95,1.8,1.07,9,1.08,8.50,1.05,7.6,1.10,6.10,1.36,3,1.36,3,1.58,2.35,1.57,2.20,2.1,1.7,2.15,1.66,3.15,1.34,3.20,1.32,3.75,1.25,3.75,1.25,6.55,1.08,6.70,1.09,8,1.08,9.00,1.07,13.5,1.01,13.5,1.01,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.37,3,1.6,2.3,1.3,3.45,2.1,1.7,1.15,5.5,3,1.37,1.06,11,4.25,1.21,,,7,1.1,,,10,1.04,,,9,10,21,51,6.5,6.5,15,41,8,8.5,17,41,15,17,29,67,126,101,126,201,34,34,51,126,501,48,52,4,2,59,60,37,18,3,1,1,1,,,,,,,9,5,,,1,1,0,0,0,3,7,5,1,0,,,,,15,17,48,52,12,6,104,111,84,50,8,3,4,3,,,,,,,,,17,12,,,5,2,0,0,1,6,13,11,3,3,,,,,24,26
10,2019-03-05,12:30,FINLAND - VEIKKAUSLIIGA,2019,HJK,Ilves,ROUND 6,0,0,0,0,2.6,2.05,4.75,2.75,2.05,4.33,1.5,2.5,1.5,2.5,,,,,3.4,1.3,3.4,1.3,,,,,10,1.06,10,1.06,1.85,3.2,4.75,2,3.4,3.75,1.2,1.36,1.95,1.28,1.33,1.83,2,1.75,2,1.75,1.08,8,1.08,8,1.11,5.55,1.12,5.60,1.4,2.75,1.4,2.75,1.73,2.09,1.64,2.08,2.2,1.65,2.25,1.61,3.38,1.31,3.50,1.27,4,1.22,4.33,1.20,6.7,1.07,7.40,1.07,9,1.07,10.00,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.1,1.6,2.3,1.26,3.7,2.15,1.67,1.14,5.75,3.1,1.35,1.05,12.5,4.4,1.2,1.02,11,7,1.1,,,,,,,8,11,21,51,6,6,15,41,8,8.5,17,51,15,17,34,67,151,101,126,251,34,41,51,151,501,57,43,2,1,72,55,38,28,0,0,2,1,,,,,,,9,9,,,3,0,1,1,0,0,4,7,1,0,,,,,8,11,53,47,7,1,151,120,79,49,0,0,7,1,,,,,,,,,19,18,,,4,1,2,1,0,0,13,15,1,3,,,,,18,30
