Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,08:00,GERMANY - 3. LIGA,2019/2020,Kaiserslautern,Mannheim,ROUND 7,1,1,1,1,2.75,2.25,3.6,2.75,2.1,4,1.36,3,1.36,3,,,,,2.62,1.44,2.75,1.40,,,,,6.5,1.11,7.00,1.10,2.1,3.3,3.5,2.05,3.3,3.6,1.28,1.33,1.66,1.28,1.33,1.72,1.61,2.2,1.66,2.1,1.05,12,1.05,11.00,1.03,8.5,1.07,6.70,1.22,4,1.25,3.75,1.31,3.32,1.41,2.69,1.66,2.15,2.05,1.75,2.04,1.74,2.46,1.48,2.75,1.4,3.25,1.33,3.64,1.23,5.40,1.12,5.5,1.14,6.00,1.12,,,,,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.57,2.35,1.9,1.95,1.42,2.75,2.5,1.5,1.24,3.9,3.55,1.27,1.12,6,5.25,1.16,,,,,,,,,,,12,12,17,34,9,6.5,12,23,11,9,12,29,21,17,23,41,67,51,51,101,41,34,41,81,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-01-09,09:00,GERMANY - 3. LIGA,2019/2020,Uerdingen,Braunschweig,ROUND 7,0,0,1,2,4,2.25,2.5,4,2.2,2.62,1.33,3.25,1.33,3.25,,,,,2.62,1.44,2.50,1.50,,,,,6.5,1.11,6.5,1.11,3.75,3.5,1.95,3.7,3.4,2,1.8,1.28,1.25,1.72,1.3,1.28,1.61,2.2,1.57,2.25,1.05,12,1.04,13.00,1.03,8.3,1.05,7.80,1.22,4,1.20,4.33,1.33,3.2,1.40,2.73,1.7,2.1,1.80,2.00,2.13,1.68,2.42,1.50,2.75,1.4,2.62,1.44,3.78,1.22,4.50,1.16,5.5,1.14,5.00,1.16,,,,,11,1.05,10.00,1.06,,,,,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,2.67,1.45,3.1,1.35,2.1,1.7,4.4,1.2,1.62,2.25,7,1.1,1.35,3.1,,,1.2,4.4,,,1.1,6.8,,,,,12,8.5,10,17,13,6.5,8.5,15,21,13,12,23,41,29,34,41,34,29,41,81,81,51,67,101,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-01-11,15:00,GERMANY - 3. LIGA,2019/2020,Zwickau,Grossaspach,ROUND 14,0,0,0,1,2.2,2.4,4.75,2.5,2.3,4.33,1.3,3.4,1.33,3.25,,,,,2.37,1.53,2.62,1.44,,,,,5.5,1.14,6.50,1.11,1.6,3.8,5.5,1.85,3.6,4.2,1.14,1.25,2.25,1.22,1.28,1.83,1.61,2.2,1.72,2,1.03,15,1.05,12.00,1.03,8.9,1.06,7.20,1.18,4.5,1.22,4.00,1.28,3.52,1.44,2.52,1.61,2.25,1.75,2.05,1.95,1.82,2.63,1.40,2.5,1.5,2.75,1.40,3.48,1.25,5.00,1.13,4.5,1.18,5.50,1.14,,,,,9,1.07,11.00,1.05,,,,,19,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.26,3.7,1.45,2.67,1.22,4.15,1.82,1.97,1.12,6.25,2.37,1.55,,,3.3,1.32,,,4.8,1.17,,,6.8,1.1,,,15,17,29,51,9,7.5,17,41,9,8.5,13,41,13,12,21,41,126,81,81,101,23,23,34,67,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-01-12,09:00,GERMANY - 3. LIGA,2019/2020,Ingolstadt,Meppen,ROUND 17,1,0,1,1,2.25,2.4,4.33,2.4,2.37,4.33,1.28,3.5,1.30,3.40,,,,,2.37,1.53,2.50,1.50,,,,,5.5,1.14,6.00,1.12,1.66,3.8,4.5,1.8,3.7,3.8,1.18,1.25,2.1,1.25,1.28,1.9,1.57,2.25,1.61,2.2,1.02,17,1.04,13.00,1.02,10,1.04,8.10,1.16,5,1.20,4.33,1.27,3.34,1.37,2.85,1.57,2.35,1.66,2.15,1.96,1.81,2.22,1.56,2.37,1.53,2.62,1.44,3.62,1.27,4.30,1.18,4.33,1.2,5.00,1.16,6.3,1.08,6.05,1.09,9,1.07,10.00,1.06,,,,,17,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.32,3.3,1.5,2.5,1.26,3.7,1.93,1.93,1.15,5.5,2.42,1.52,,,3.45,1.3,,,5,1.17,,,7,1.1,,,17,17,26,41,9.5,8,15,29,10,8.5,13,34,15,13,21,41,101,67,67,81,26,23,34,51,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-01-12,10:00,GERMANY - 3. LIGA,2019/2020,Unterhaching,Munich 1860,ROUND 17,1,1,2,3,3.1,2.1,3.4,2.4,2.25,4.5,1.4,2.75,1.36,3.00,,,,,3,1.36,2.75,1.40,,,,,8,1.08,7.00,1.10,2.4,3.4,2.87,1.72,3.6,4.2,1.4,1.3,1.53,1.22,1.28,2,1.72,2,1.8,1.9,1.06,10,1.05,11.00,1.07,6.65,1.06,7.50,1.3,3.4,1.28,3.50,1.5,2.52,1.37,2.76,2,1.8,1.85,1.95,2.69,1.45,2.40,1.48,3.4,1.3,3.25,1.33,5.05,1.13,4.70,1.15,7,1.1,6.00,1.12,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.83,2.02,2.1,1.7,1.57,2.35,3,1.37,1.32,3.3,4.5,1.19,1.16,5.25,6.6,1.11,,,7,1.1,,,,,,,10,9,13,29,8.5,6.5,11,23,12,10,13,29,23,21,29,41,51,51,51,101,51,41,51,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-02-08,14:00,GERMANY - 3. LIGA,2019/2020,Ingolstadt,Wurzburger Kickers,ROUND 4,0,0,3,0,2.37,2.37,4.33,2.3,2.2,5.5,1.3,3.4,1.36,3.00,,,,,2.37,1.53,2.62,1.44,,,,,6,1.12,7.00,1.10,1.75,3.5,4.33,1.66,3.6,4.75,1.2,1.28,2,1.18,1.28,2.1,1.57,2.25,1.72,2,1.03,15,1.05,11.00,1.03,8.4,1.07,6.45,1.18,4.5,1.25,3.75,1.32,3.26,1.46,2.52,1.65,2.2,2.00,1.80,2.1,1.7,2.78,1.39,2.5,1.5,3.00,1.36,3.72,1.22,5.35,1.11,4.5,1.18,5.50,1.14,,,,,10,1.06,13.00,1.04,,,,,19,1.02,26.00,1.01,,,,,,,,,,,,,,,,,1.37,3,1.6,2.3,1.3,3.45,2.05,1.75,1.16,5.25,2.75,1.42,,,3.8,1.25,,,5.9,1.13,,,7,1.1,,,15,15,23,41,9,7,15,29,10,8.5,12,34,15,13,21,41,101,67,67,101,29,26,41,67,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-09,14:00,GERMANY - 3. LIGA,2019/2020,Jena,Magdeburg,ROUND 7,1,0,1,1,5,2.4,2.1,5,2.25,2.25,1.3,3.4,1.36,3.00,,,,,2.37,1.53,2.62,1.44,,,,,5.5,1.14,7.00,1.10,6,4,1.55,5,3.8,1.65,2.25,1.22,1.14,2.2,1.25,1.16,1.66,2.1,1.8,1.9,1.03,15,1.05,12.00,1.03,9,1.05,7.40,1.18,4.5,1.25,3.75,1.26,3.68,1.40,2.73,1.6,2.3,1.80,2.00,1.9,1.86,2.42,1.50,2.5,1.5,3.00,1.36,3.3,1.28,4.44,1.16,4.5,1.18,6.00,1.12,,,,,9,1.07,13.00,1.04,,,,,19,1.02,26.00,1.01,,,,,,,,,,,,,,,,,4.15,1.22,4.65,1.18,2.85,1.4,7,1.1,2.1,1.7,,,1.65,2.2,,,1.4,2.85,,,1.22,4.15,,,1.13,5.9,15,8.5,8.5,12,17,7.5,8,12,29,17,13,21,51,41,41,41,23,21,41,67,151,81,81,126,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-10,14:00,GERMANY - 3. LIGA,2019/2020,Duisburg,Meppen,ROUND 7,1,3,1,3,2.3,2.4,4.33,2.1,2.25,6,1.28,3.5,1.33,3.25,,,,,2.25,1.57,2.62,1.44,,,,,5.5,1.14,6.50,1.11,1.75,4,4.33,1.53,3.8,6.5,1.2,1.22,2,1.11,1.25,2.37,1.53,2.37,1.72,2,1.02,17,1.05,12.00,1.02,9.6,1.05,7.70,1.16,5,1.22,4.00,1.25,3.82,1.37,2.87,1.53,2.4,1.90,1.90,1.87,1.89,2.31,1.55,2.25,1.57,2.75,1.40,3.14,1.3,4.60,1.16,4,1.22,5.50,1.14,6.6,1.11,7.00,1.10,8,1.08,11.00,1.05,,,,,17,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.4,2.85,1.6,2.3,1.32,3.3,2.05,1.8,1.18,4.65,2.67,1.45,,,3.55,1.27,,,5.5,1.15,,,7,1.1,,,17,17,23,41,10,7.5,13,29,10,8.5,12,29,15,13,19,41,101,51,67,81,29,23,34,51,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-02-11,10:00,GERMANY - 3. LIGA,2019/2020,Braunschweig,Ingolstadt,ROUND 14,0,3,0,3,2.87,2.3,3.5,2.75,2.37,3.4,1.4,2.75,1.33,3.25,,,,,3,1.36,2.50,1.50,,,,,8,1.08,6.50,1.11,2.3,3.6,2.9,2.2,3.6,3,1.4,1.28,1.57,1.36,1.28,1.61,1.8,1.9,1.61,2.2,1.05,11,1.04,13.00,1.06,6.95,1.03,8.90,1.3,3.4,1.22,4.00,1.47,2.6,1.30,3.20,2.05,1.75,1.60,2.30,2.57,1.48,2.16,1.58,3.4,1.3,2.62,1.44,4.84,1.14,3.80,1.22,7,1.1,5.00,1.16,,,,,15,1.03,11.00,1.05,,,,,26,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.7,2.1,2.02,1.83,1.52,2.42,2.67,1.45,1.3,3.45,4,1.23,1.14,5.75,5.9,1.13,,,,,,,,,,,11,9,15,29,8,7,11,23,11,9.5,15,34,21,19,29,51,51,51,67,101,41,41,51,101,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-02-11,10:00,GERMANY - 3. LIGA,2019/2020,Kaiserslautern,Wurzburger Kickers,ROUND 14,1,1,2,3,3,2.3,3.2,2.87,2.3,3.25,1.3,3.4,1.33,3.25,,,,,2.37,1.53,2.50,1.50,,,,,6,1.12,6.50,1.11,2.62,3.6,2.45,2.3,3.6,2.8,1.44,1.28,1.53,1.4,1.28,1.57,1.53,2.37,1.57,2.25,1.03,15,1.04,13.00,1.03,8.6,1.06,7.40,1.2,4.33,1.2,4.33,1.3,3.4,1.40,2.63,1.61,2.25,1.66,2.15,2.02,1.76,2.51,1.44,2.62,1.44,2.62,1.44,3.56,1.24,4.80,1.14,4.5,1.18,5.00,1.16,,,,,10,1.06,10,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.98,1.88,2.25,1.62,1.67,2.15,3,1.37,1.4,2.85,4.4,1.2,1.21,4.25,6.4,1.11,1.12,6,,,,,,,,,15,12,15,26,11,7,10,19,15,10,12,23,23,19,23,41,51,41,41,67,41,41,41,67,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
