Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,13:00,GREECE - SUPER LEAGUE,2019/2020,PAOK,Panionios,ROUND 2,1,0,2,1,1.53,2.75,15,1.57,2.75,12,1.3,3.4,1.28,3.50,,,,,2.5,1.5,2.37,1.53,,,,,6,1.12,5.50,1.14,1.14,7,21,1.16,7,15,1.01,1.1,5.5,1.03,1.1,5,3,1.36,2.5,1.5,1.05,12,1.03,15.00,1.03,8.6,1.03,8.80,1.22,4,1.20,4.33,1.31,3.26,1.29,3.40,1.66,2.15,1.61,2.25,2.05,1.72,2.06,1.68,2.62,1.44,2.50,1.50,3.64,1.23,3.48,1.25,5,1.16,4.50,1.18,,,,,10,1.06,10,1.06,,,,,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,1.01,10,1.1,6.8,,,1.17,4.8,,,1.35,3.1,,,1.62,2.25,,,2.07,1.72,,,2.67,1.45,,,12,41,101,401,6,15,51,251,5,11,41,201,5.5,13,41,201,201,201,201,201,8.5,21,51,301,201,82,18,6,0,42,25,22,8,4,0,2,0,,,,,,,10,7,,,5,0,1,0,0,3,9,7,0,2,,,,,11,13,78,22,9,1,64,43,39,15,5,1,4,0,,,,,,,,,13,17,,,9,2,1,1,0,3,12,16,1,3,,,,,24,26
2,2019-01-09,13:15,GREECE - SUPER LEAGUE,2019/2020,AEL Larissa,Olympiacos Piraeus,ROUND 2,0,1,0,1,7.5,2.3,1.9,8,2.3,1.9,1.4,2.75,1.4,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,9,4.5,1.36,9,4.5,1.36,3,1.18,1.07,3,1.18,1.07,2.25,1.57,2.37,1.53,1.07,9.5,1.07,9.5,1.06,6.7,1.06,6.75,1.3,3.4,1.3,3.4,1.5,2.48,1.48,2.46,2,1.8,2,1.8,2.66,1.44,2.70,1.41,3.4,1.3,3.50,1.28,5.1,1.12,5.00,1.13,7,1.1,7,1.1,,,,,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,6.6,1.11,,,4,1.23,,,2.67,1.45,,,1.98,1.88,,,1.52,2.42,,,1.3,3.45,,,1.17,5,9.5,5.5,5.5,8,17,8.5,9,13,41,26,26,34,126,81,81,101,15,23,51,151,151,351,351,501,151,57,43,1,4,56,68,11,29,0,3,1,1,,,,,,,4,13,,,1,3,1,1,2,0,3,12,2,2,,,,,9,14,50,50,4,6,125,139,11,74,1,3,3,3,,,,,,,,,13,23,,,1,8,3,2,2,1,10,22,2,2,,,,,19,24
3,2019-01-09,14:00,GREECE - SUPER LEAGUE,2019/2020,Lamia,Atromitos,ROUND 2,1,1,2,2,4.33,1.95,3.1,4.33,1.95,2.87,1.57,2.25,1.57,2.25,,,,,3.75,1.25,3.75,1.25,,,,,13,1.04,11.00,1.05,3.3,3.2,2.2,3.6,3.1,2.15,1.61,1.36,1.33,1.66,1.36,1.28,2.2,1.61,2.1,1.66,1.11,6.5,1.10,7.00,1.17,4.3,1.13,4.94,1.53,2.37,1.50,2.50,2.02,1.74,1.77,1.94,2.6,1.47,2.40,1.53,4.4,1.19,3.70,1.25,5.5,1.14,5.00,1.16,8.4,1.03,7.20,1.06,13,1.04,11.00,1.05,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.62,2.67,1.45,1.85,2,3.9,1.24,1.42,2.75,7,1.1,1.2,4.4,,,1.11,6.6,,,,,,,,,6.5,5.5,9,21,7,6,10,23,15,12,21,41,41,34,41,81,51,51,81,251,101,81,126,301,201,51,49,3,1,33,0,15,20,3,1,0,0,,,,,,,13,8,,,5,2,0,0,0,2,14,8,1,1,,,,,15,16,53,47,8,11,107,159,64,96,5,4,3,7,,,,,,,,,18,16,,,5,6,0,1,2,3,18,15,2,2,,,,,29,21
4,2019-01-09,15:30,GREECE - SUPER LEAGUE,2019/2020,Asteras Tripolis,AEK Athens FC,ROUND 2,1,1,2,3,4,1.95,3.1,4,1.95,3.2,1.53,2.37,1.53,2.37,,,,,3.75,1.25,3.50,1.28,,,,,11,1.05,11,1.05,3.2,3.1,2.3,3.1,3.1,2.4,1.57,1.36,1.36,1.53,1.36,1.36,2.05,1.7,2,1.75,1.1,7,1.1,7.50,1.14,4.84,1.12,5.10,1.44,2.62,1.44,2.62,1.85,1.89,1.69,2.05,2.4,1.53,2.35,1.57,3.8,1.24,3.62,1.26,4.5,1.18,4.5,1.18,7.4,1.05,7.00,1.06,11,1.05,11,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.6,2.75,1.42,1.88,1.98,4.1,1.22,1.45,2.67,7,1.1,1.21,4.25,,,1.11,6.4,,,,,,,,,7,6,10,21,7.5,6,9.5,21,15,12,17,41,34,29,41,67,51,51,81,201,81,81,101,251,201,40,60,2,4,32,53,16,29,1,3,1,1,,,,,,,7,6,,,3,5,0,1,2,0,7,5,1,2,,,,,16,10,40,60,4,11,69,105,25,59,2,5,2,6,,,,,,,,,19,15,,,3,7,0,3,2,0,19,12,4,4,,,,,28,21
5,2019-01-12,10:00,GREECE - SUPER LEAGUE,2019/2020,Panathinaikos,Asteras Tripolis,ROUND 12,1,0,1,0,2.3,2.1,6,2.3,2.1,5.5,1.5,2.5,1.5,2.5,,,,,3.4,1.3,3.50,1.28,,,,,10,1.06,10,1.06,1.57,3.6,6.5,1.66,3.5,5.5,1.11,1.28,2.25,1.14,1.28,2.1,2.25,1.57,2.25,1.57,1.1,7.5,1.1,7.5,1.1,5.5,1.12,5.40,1.44,2.62,1.44,2.62,1.7,2.08,1.41,2.63,2.35,1.57,2.15,1.66,3.32,1.3,2.51,1.44,4.33,1.2,4.33,1.2,6.45,1.07,7.00,1.07,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.21,4.25,1.4,2.85,1.17,5,1.8,2.05,1.1,6.8,2.42,1.52,,,3.45,1.3,,,5.75,1.14,,,,,,,7.5,12,29,67,5,7,19,51,6.5,9,23,51,11,15,41,81,251,151,201,351,23,34,51,151,501,55,45,7,0,77,63,38,31,3,0,4,0,,,,,,,9,9,,,1,0,2,2,0,2,7,8,0,2,,,,,10,7,48,52,9,10,148,140,80,74,3,4,6,6,,,,,,,,,20,18,,,2,1,5,3,4,2,16,16,2,3,,,,,22,13
6,2019-01-12,12:15,GREECE - SUPER LEAGUE,2019/2020,Aris,Lamia,ROUND 12,1,1,1,1,1.95,2.2,8.5,1.9,2.3,8.5,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,1.4,4.2,11,1.4,4.33,8.5,1.05,1.22,2.75,1.08,1.2,2.75,2.5,1.5,2.5,1.5,1.08,8,1.08,8.50,1.09,6,1.09,6.20,1.36,3,1.36,3,1.61,2.23,1.49,2.37,2.15,1.66,2.00,1.80,2.99,1.36,2.69,1.39,3.75,1.25,3.75,1.25,5.85,1.09,5.90,1.10,9,1.07,8.00,1.08,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.1,7,1.24,3.9,,,1.5,2.5,,,2.02,1.83,,,2.67,1.45,,,3.9,1.24,,,5.75,1.14,,,8,19,41,126,5,8,29,81,5.5,9,26,81,8.5,15,41,101,501,351,401,401,17,26,51,151,201,58,42,9,3,58,38,50,18,4,1,5,2,,,,,,,4,12,,,4,2,0,1,0,3,4,11,0,1,,,,,10,9,68,32,18,5,132,77,109,35,8,2,10,3,,,,,,,,,14,20,,,9,2,1,1,1,7,14,19,1,1,,,,,14,27
7,2019-01-12,12:15,GREECE - SUPER LEAGUE,2019/2020,Xanthi FC,Atromitos,ROUND 12,0,0,1,0,3.75,1.9,3.4,3.25,2.05,3.5,1.57,2.25,1.57,2.25,,,,,3.75,1.25,3.75,1.25,,,,,11,1.05,11,1.05,3.1,2.9,2.5,2.5,3.1,2.9,1.5,1.4,1.36,1.4,1.36,1.5,2,1.75,2.05,1.7,1.11,6.5,1.10,7.00,1.14,4.84,1.12,5.20,1.44,2.62,1.50,2.50,1.84,1.9,1.49,2.37,2.5,1.5,2.10,1.70,3.7,1.25,3.60,1.25,5,1.16,5,1.16,7.3,1.05,7.3,1.06,11,1.05,11,1.05,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.15,1.73,2.5,1.5,1.72,2.07,3.8,1.25,1.37,3,6.6,1.11,1.17,4.8,,,,,,,,,,,,,6.5,6.5,11,26,7.5,5.5,10,23,13,12,17,41,34,29,41,67,51,51,81,151,67,67,81,201,451,48,52,2,3,71,58,45,43,2,2,0,1,,,,,,,6,10,,,2,4,1,3,2,2,5,7,1,1,,,,,9,14,43,57,5,7,116,141,69,100,4,3,1,4,,,,,,,,,16,18,,,3,7,1,3,3,3,16,15,4,2,,,,,26,20
8,2019-01-12,14:30,GREECE - SUPER LEAGUE,2019/2020,Olympiacos Piraeus,PAOK,ROUND 12,0,1,1,1,2.37,2.2,5.5,2.3,2.1,5.5,1.44,2.62,1.44,2.62,,,,,3,1.36,3.25,1.33,,,,,9,1.07,10.00,1.06,1.7,3.6,5.25,1.72,3.4,5.25,1.16,1.28,2.1,1.16,1.3,2,1.95,1.8,1.95,1.8,1.07,9,1.08,8.50,1.07,6.45,1.11,6.00,1.33,3.25,1.36,3.00,1.52,2.4,1.51,2.32,2.05,1.75,2.05,1.75,2.77,1.41,3.30,1.31,3.75,1.25,4.00,1.22,5.35,1.11,6.90,1.08,8,1.08,9.00,1.07,11,1.02,13.50,1.01,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.3,3.45,1.52,2.42,1.24,3.9,1.98,1.88,1.12,6,2.67,1.45,,,3.8,1.25,,,6,1.12,,,,,,,9,12,23,51,6.5,7,17,41,7.5,8.5,17,41,13,15,29,51,151,101,126,201,26,29,51,101,351,51,49,4,3,64,56,28,14,0,1,4,2,,,,,,,11,10,,,3,2,4,1,0,0,7,9,0,2,,,,,10,16,63,37,14,5,144,97,84,20,5,2,9,3,,,,,,,,,27,20,,,9,2,5,2,1,4,22,18,2,5,,,,,17,25
9,2019-02-11,14:30,GREECE - SUPER LEAGUE,2019/2020,Panionios,Aris,ROUND 9,0,0,1,1,4.5,2.05,2.62,4.33,2.05,2.75,1.44,2.62,1.50,2.50,,,,,3.4,1.3,3.4,1.3,,,,,10,1.06,10,1.06,3.8,3.6,1.95,3.4,3.2,1.95,1.8,1.28,1.25,1.72,1.33,1.28,2,1.75,1.95,1.8,1.08,8.5,1.08,8.5,1.1,5.65,1.09,6.10,1.4,2.75,1.36,3.00,1.66,2.14,1.58,2.18,2.25,1.61,2.20,1.65,3.2,1.32,3.00,1.33,4,1.22,4,1.22,6.2,1.08,6.10,1.09,9,1.07,9,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.67,1.45,3.1,1.35,2.15,1.67,4.65,1.18,1.62,2.25,,,1.32,3.3,,,1.18,4.65,,,1.1,7,,,,,8.5,6.5,8.5,17,9,7,9,17,19,13,19,34,41,34,41,67,41,41,51,126,101,81,101,151,401,41,59,4,3,47,58,18,31,3,1,1,2,,,,,,,11,6,,,3,1,1,1,1,3,10,5,2,2,,,,,23,11,40,60,5,12,81,120,27,85,4,5,1,7,,,,,,,,,22,12,,,3,4,2,2,4,3,20,13,6,2,0,1,,,36,16
10,2019-02-11,15:00,GREECE - SUPER LEAGUE,2019/2020,Xanthi FC,Olympiacos Piraeus,ROUND 9,0,0,0,0,8,2.2,1.95,5.5,2.1,2.3,1.44,2.62,1.44,2.62,,,,,3,1.36,3.25,1.33,,,,,8,1.08,9.00,1.07,10,4,1.4,4.75,3.5,1.61,2.75,1.22,1.06,2.1,1.25,1.16,2.25,1.57,2.05,1.7,1.08,8.5,1.07,9.00,1.08,6.1,1.08,6.40,1.33,3.25,1.33,3.25,1.56,2.33,1.51,2.33,2.05,1.75,2.10,1.70,2.85,1.39,2.85,1.36,3.75,1.25,3.75,1.25,5.55,1.1,5.70,1.1,8,1.08,8,1.08,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,6.8,1.1,6.25,1.12,3.8,1.25,,,2.5,1.5,,,1.83,2.02,,,1.42,2.75,,,1.23,4,,,1.14,5.75,8.5,5.5,6,9,19,8,8.5,13,41,29,23,34,101,67,81,81,17,26,51,151,501,301,301,501,201,41,59,0,8,44,71,26,53,0,2,0,6,,,,,,,3,7,,,0,5,0,0,2,0,3,9,,,,,,,14,10,41,59,0,13,83,145,45,117,0,5,0,8,,,,,,,,,8,15,,,2,13,0,1,5,0,8,16,2,3,,,,,26,13
