Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,13:00,HUNGARY - OTP BANK LIGA,2019/2020,Ferencvaros,DVTK,ROUND 5,1,0,1,0,1.66,2.75,8,1.72,2.62,7.5,1.25,3.75,1.28,3.50,,,,,2.2,1.61,2.25,1.57,,,,,5,1.16,5.50,1.14,1.25,5,9.5,1.3,4.75,9,1.06,1.14,3.5,1.07,1.18,3.4,1.83,1.83,1.83,1.83,1.02,17,1.03,15.00,1.01,10,1.03,9.20,1.14,5.5,1.16,5.00,1.2,4.24,1.28,3.30,1.5,2.5,1.52,2.42,1.72,2.05,2.07,1.67,2.2,1.61,2.25,1.57,2.82,1.37,3.90,1.22,3.75,1.25,4.00,1.22,6.4,1.12,7.00,1.10,7,1.1,8.00,1.08,,,,,15,1.03,17.00,1.02,,,,,,,,,,,,,,,,,1.11,6.4,1.17,5,1.1,7,1.32,3.3,,,1.57,2.35,,,2,1.8,,,2.6,1.47,,,3.45,1.3,,,17,29,51,151,7.5,11,29,67,7,8,21,67,8.5,11,21,51,201,251,201,251,13,17,34,67,301,68,32,4,1,108,34,56,11,2,0,2,1,,,,,,,3,6,,,1,0,,,0,1,,,1,1,,,,,1,13,62,38,9,6,176,88,84,32,5,3,4,3,,,,,,,,,12,16,,,4,1,,,3,4,,,3,3,0,1,,,9,20
2,2019-01-12,14:00,HUNGARY - OTP BANK LIGA,2019/2020,Kaposvar,Ferencvaros,ROUND 14,1,2,2,3,7.5,2.62,1.8,7.5,2.62,1.72,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.25,1.57,,,,,5.5,1.14,5.5,1.14,8,5.25,1.28,7.5,5,1.28,3.4,1.16,1.07,3.4,1.14,1.08,1.9,1.8,2,1.72,1.03,15,1.03,15,1.02,9.4,1.01,10.50,1.18,4.5,1.18,4.5,1.25,3.7,1.22,3.90,1.6,2.3,1.62,2.25,1.87,1.87,1.94,1.78,2.5,1.5,2.5,1.5,3.2,1.29,3.30,1.29,4.33,1.2,4.33,1.2,,,,,9,1.07,9,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,6,1.1,,,4.5,1.19,,,3.05,1.36,,,2.14,1.68,,,1.66,2.17,,,1.37,3,,,1.22,4.1,15,7,7,8.5,23,11,8,11,41,26,21,23,101,51,51,67,13,19,41,81,201,201,151,201,301,51,49,6,7,60,78,33,34,4,6,2,1,,,,,,,8,10,,,2,1,,,4,3,,,0,1,,,,,7,16,49,51,10,15,113,135,79,73,5,11,5,4,,,,,,,,,24,14,,,5,4,,,8,3,,,2,3,,,,,14,31
3,2019-02-11,10:30,HUNGARY - OTP BANK LIGA,2019/2020,Puskas Academy,Honved,ROUND 11,1,1,1,2,3,2.2,3.4,3.1,2.2,3.25,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,2.25,3.4,2.87,2.37,3.4,2.62,1.4,1.3,1.57,1.4,1.28,1.5,1.66,2.1,1.66,2.1,1.05,11,1.05,12.00,1.06,7.2,1.04,8.10,1.25,3.75,1.25,3.75,1.43,2.7,1.36,2.81,1.85,1.95,1.80,2.00,2.45,1.51,2.37,1.49,3.25,1.33,3.00,1.36,4.64,1.15,4.30,1.18,6,1.12,5.50,1.14,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.65,2.2,2.06,1.73,1.54,2.43,2.9,1.38,1.29,3.5,4.5,1.19,1.14,5.15,6.75,1.11,,,,,,,,,,,11,10,15,29,9,6.5,11,21,12,9.5,13,29,23,19,26,41,51,51,51,101,41,41,51,81,201,48,52,6,1,59,60,35,27,3,1,3,0,,,,,,,11,8,,,4,1,,,0,2,,,1,0,,,,,4,9,49,51,11,3,122,115,74,55,5,2,6,1,,,,,,,,,19,20,,,8,1,,,0,4,,,1,2,,,,,13,18
4,2019-02-11,13:00,HUNGARY - OTP BANK LIGA,2019/2020,Debrecen,Paks,ROUND 11,2,0,3,1,2.37,2.3,4.33,2.4,2.3,4.33,1.33,3.25,1.33,3.25,,,,,2.5,1.5,2.62,1.44,,,,,6,1.12,6.50,1.11,1.75,3.5,4.2,1.8,3.5,4,1.2,1.25,1.9,1.22,1.28,1.9,1.61,2.2,1.66,2.1,1.04,13,1.04,13,1.03,8.4,1.03,8.90,1.2,4.33,1.22,4.00,1.32,3.2,1.30,3.2,1.66,2.15,1.72,2.07,2.09,1.69,2.15,1.59,2.62,1.44,2.75,1.40,3.74,1.22,3.80,1.22,4.5,1.18,5.50,1.14,,,,,10,1.06,11.00,1.05,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,1.3,3.35,1.52,2.45,1.25,3.85,2.02,1.77,1.13,5.8,2.75,1.42,,,3.95,1.24,,,5.2,1.14,,,,,,,13,15,23,41,9,7,15,29,10,8.5,13,34,15,13,21,41,101,67,67,101,29,26,41,67,151,51,49,3,1,68,60,34,22,3,0,0,1,,,,,,,11,7,,,0,2,,,0,1,,,0,2,,,,,17,25,44,56,9,5,126,145,61,63,6,2,3,3,,,,,,,,,21,15,,,2,4,,,1,3,,,1,3,,,,,32,34
5,2019-02-11,13:00,HUNGARY - OTP BANK LIGA,2019/2020,DVTK,Kisvarda,ROUND 11,1,0,3,1,2.75,2.2,3.75,2.5,2.25,4.33,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,2,3.4,3.25,1.85,3.5,3.75,1.3,1.28,1.66,1.25,1.28,1.83,1.66,2.1,1.66,2.1,1.05,12,1.05,12,1.05,7.3,1.06,7.40,1.25,3.75,1.25,3.75,1.42,2.73,1.43,2.60,1.85,1.95,1.80,2.00,2.43,1.52,2.14,1.59,3,1.36,3,1.36,4.6,1.15,4.80,1.14,6,1.12,5.50,1.14,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.58,2.3,1.86,1.9,1.44,2.7,2.55,1.49,1.24,3.95,3.8,1.25,1.12,5.6,5.6,1.14,,,6,1.09,,,,,,,12,11,17,34,8.5,7,12,26,11,9,13,34,19,17,23,41,67,51,67,101,41,34,41,81,201,51,49,2,4,54,68,33,42,1,1,1,3,,,,,,,7,8,,,3,5,,,1,0,,,,,,,,,16,8,51,49,6,10,120,127,62,83,3,4,3,6,,,,,,,,,10,19,,,3,11,,,3,0,,,1,2,,,,,28,22
6,2019-02-11,13:00,HUNGARY - OTP BANK LIGA,2019/2020,Ferencvaros,Mezokovesd-Zsory,ROUND 11,1,0,1,1,2.1,2.37,5.5,1.83,2.5,7,1.33,3.25,1.30,3.40,,,,,2.62,1.44,2.50,1.50,,,,,6.5,1.11,6.00,1.12,1.5,4.2,5.5,1.36,4.5,7,1.14,1.22,2.5,1.08,1.16,2.75,1.8,1.9,1.9,1.8,1.04,13,1.04,13,1.04,7.9,1.02,10.00,1.22,4,1.20,4.33,1.35,3.04,1.24,3.60,1.72,2.07,1.65,2.20,2.21,1.62,1.93,1.78,2.75,1.4,2.62,1.44,4.04,1.19,3.50,1.26,5.5,1.14,4.50,1.18,,,,,11,1.05,10.00,1.06,,,,,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.17,4.8,1.33,3.2,1.14,5.5,1.65,2.18,1.07,8.5,2.2,1.65,,,3.1,1.35,,,4,1.23,,,5.6,1.14,,,13,17,29,51,7,8.5,19,41,8,8,17,41,11,12,23,51,151,101,101,151,21,23,41,81,251,54,46,5,3,78,56,37,29,3,1,2,2,,,,,,,10,10,,,3,0,,,1,2,,,1,0,,,,,6,8,53,47,9,4,150,111,87,59,4,2,5,2,,,,,,,,,15,17,,,7,1,,,1,3,,,3,3,,,,,19,19
7,2019-02-11,13:00,HUNGARY - OTP BANK LIGA,2019/2020,Kaposvar,Ujpest,ROUND 11,1,2,2,3,6.5,2.3,2.05,4.75,2.3,2.3,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.62,1.44,,,,,8,1.08,7.00,1.10,5.75,4,1.44,4.33,3.75,1.66,2.5,1.2,1.12,2,1.22,1.18,2.1,1.66,1.8,1.9,1.06,10,1.05,12.00,1.06,6.9,1.04,8.10,1.3,3.4,1.25,3.75,1.47,2.57,1.34,2.92,2,1.8,1.80,2.00,2.57,1.47,2.29,1.52,3.4,1.3,3.00,1.36,4.94,1.13,4.30,1.18,6.5,1.11,5.50,1.14,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,4.6,1.18,5.25,1.15,3.35,1.3,8,1.08,2.35,1.58,,,1.68,2.12,,,1.38,2.95,,,1.2,4.5,,,1.11,6.5,10,6,6.5,9.5,15,8.5,8.5,13,34,21,21,29,81,51,51,67,19,23,51,126,251,151,151,251,351,49,51,4,5,66,88,26,63,3,2,1,3,,,,,,,9,7,,,1,2,,,0,2,,,0,1,,,,,11,4,45,55,9,9,156,186,73,100,5,5,4,4,,,,,,,,,20,20,,,2,3,,,2,3,,,0,2,,,,,21,12
8,2019-02-11,13:00,HUNGARY - OTP BANK LIGA,2019/2020,Zalaegerszegi,MOL Fehervar,ROUND 11,2,0,3,3,4,2.37,2.5,3.4,2.2,3,1.3,3.4,1.36,3.00,,,,,2.5,1.5,2.62,1.44,,,,,6,1.12,7.00,1.10,3.5,3.75,1.83,2.75,3.5,2.25,1.8,1.22,1.25,1.57,1.28,1.4,1.57,2.25,1.66,2.1,1.03,15,1.05,12.00,1.03,8.9,1.04,8.10,1.18,4.5,1.25,3.75,1.31,3.26,1.37,2.76,1.61,2.25,1.80,2.00,2.06,1.71,2.40,1.48,2.5,1.5,3.00,1.36,3.74,1.22,4.30,1.18,4.5,1.18,5.50,1.14,,,,,10,1.06,13.00,1.04,,,,,19,1.02,26.00,1.01,,,,,,,,,,,,,,,,,2.7,1.44,3.15,1.34,2.12,1.68,4.6,1.19,1.63,2.23,6,1.1,1.33,3.2,,,1.19,4.5,,,1.09,6.2,,,,,15,9.5,11,17,13,7.5,8.5,13,21,12,13,21,41,26,29,41,34,26,41,67,81,51,51,81,126,48,52,9,8,38,67,28,48,5,5,4,3,,,,,,,8,8,,,1,4,,,5,3,,,3,3,,,,,8,12,47,53,17,13,84,123,64,85,9,9,8,4,,,,,,,,,20,18,,,3,9,,,6,6,,,3,4,,,,,17,20
9,2019-03-08,14:30,HUNGARY - OTP BANK LIGA,2019/2020,Kisvarda,Paks,ROUND 1,0,0,1,0,2.87,2.05,4,3.2,2.1,3.4,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,10.00,1.06,2.1,3.2,3.25,2.4,3.2,2.62,1.3,1.33,1.61,1.4,1.33,1.5,1.83,1.83,1.9,1.8,1.08,8.5,1.08,8.5,1.09,5.95,1.10,6.80,1.36,3,1.36,3,1.6,2.25,1.49,2.44,2.1,1.7,2.00,1.80,2.99,1.36,3.10,1.35,3.75,1.25,4.00,1.22,5.85,1.09,5.80,1.10,8,1.08,9.00,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,1.95,1.85,1.45,2.67,2.6,1.47,1.24,3.9,3.9,1.24,1.11,6.6,5.9,1.13,,,,,,,,,,,8.5,9,15,34,7,6,12,29,10,9,15,41,21,19,34,51,81,67,81,151,41,41,51,126,301,31,69,5,2,65,64,29,19,1,2,4,0,,,,,,,9,5,,,1,2,,,2,1,,,2,2,,,,,22,14,39,61,9,6,119,124,59,54,3,3,6,3,,,,,,,,,17,9,,,8,7,,,3,2,,,3,2,,,,,30,24
10,2019-03-08,14:30,HUNGARY - OTP BANK LIGA,2019/2020,Mezokovesd-Zsory,Zalaegerszegi,ROUND 1,1,0,1,0,2.75,2.2,3.75,2.5,2.2,4.5,1.4,2.75,1.4,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,2.05,3.5,3.2,1.8,3.5,3.6,1.36,1.28,1.72,1.25,1.25,1.83,1.8,1.9,1.83,1.83,1.05,11,1.06,10.00,1.06,6.9,1.06,7.20,1.28,3.5,1.30,3.40,1.46,2.6,1.39,2.78,1.95,1.85,1.90,1.90,2.57,1.47,2.51,1.46,3.4,1.3,3.50,1.28,4.84,1.14,5.75,1.14,6.5,1.11,7.00,1.10,,,,,15,1.03,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.42,1.8,2,1.4,2.85,2.37,1.55,1.22,4.1,3.45,1.3,1.1,6.8,5,1.17,,,6.6,1.11,,,,,,,11,10,17,34,7.5,6.5,11,26,10,9,15,34,19,17,26,51,81,51,67,126,41,41,51,101,301,41,59,6,5,31,35,17,22,3,1,3,4,,,,,,,6,5,,,2,2,,,1,2,,,0,1,,,,,17,7,46,54,11,10,59,65,34,38,4,3,7,7,,,,,,,,,19,13,,,5,5,,,3,3,,,1,2,,,,,29,17
