Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,13:50,ISRAEL - LIGAT HA'AL,2019/2020,H. Beer Sheva,Hapoel Hadera,ROUND 2,1,0,3,0,1.66,2.5,11,1.95,2.37,7,1.36,3,1.36,3,,,,,2.75,1.4,2.75,1.4,,,,,7,1.1,7,1.1,1.22,5.25,13,1.4,4.33,6,1.04,1.16,4,1.11,1.18,2.62,2.75,1.4,2.1,1.66,1.06,10,1.05,11.00,1.05,7.3,1.06,6.90,1.3,3.4,1.28,3.50,1.42,2.74,1.43,2.63,1.8,2,1.85,1.95,2.45,1.51,2.52,1.46,3.4,1.3,3.25,1.33,4.64,1.15,4.94,1.13,6.5,1.11,6.5,1.11,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.1,7,1.11,6.4,1.05,8.3,1.25,3.8,,,1.6,2.3,,,2.1,1.7,,,2.75,1.42,,,3.7,1.26,,,10,26,67,301,4.75,12,41,151,5,8.5,41,151,6.5,15,41,151,351,351,351,301,11,23,67,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-01-09,14:00,ISRAEL - LIGAT HA'AL,2019/2020,H. Raanana,Beitar Jerusalem,ROUND 2,1,0,2,1,6,2.25,2.2,6,2.3,2.1,1.44,2.62,1.36,3.00,,,,,3,1.36,2.75,1.40,,,,,9,1.07,7.00,1.10,6.5,3.75,1.5,5.5,3.75,1.5,2.5,1.25,1.11,2.37,1.22,1.12,2.2,1.61,1.9,1.8,1.07,9,1.05,11.00,1.08,6.3,1.06,6.85,1.33,3.25,1.28,3.50,1.55,2.36,1.42,2.66,2.05,1.75,1.85,1.95,2.81,1.4,2.49,1.47,3.75,1.25,3.25,1.33,5.5,1.1,4.94,1.13,8,1.08,6.00,1.12,,,,,17,1.02,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,4.65,1.18,5.5,1.15,3.1,1.35,8.5,1.07,2.15,1.67,,,1.62,2.25,,,1.35,3.1,,,1.19,4.5,,,1.1,6.8,9,5.5,6.5,10,13,7.5,8.5,15,34,21,21,34,81,51,51,81,21,29,51,151,301,201,201,351,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-01-09,14:15,ISRAEL - LIGAT HA'AL,2019/2020,Maccabi Tel Aviv,Bnei Yehuda,ROUND 2,0,0,0,0,1.95,2.4,7,1.95,2.37,7,1.36,3,1.36,3,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,7.00,1.10,1.36,4.75,8,1.4,4.33,6,1.08,1.18,3,1.11,1.18,2.62,2.2,1.61,2.1,1.66,1.05,11,1.05,11,1.08,6.35,1.06,6.85,1.3,3.4,1.28,3.50,1.55,2.36,1.43,2.63,2,1.8,1.85,1.95,2.81,1.4,2.52,1.46,3.4,1.3,3.25,1.33,5.45,1.1,4.94,1.13,6.5,1.11,6.5,1.11,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.12,6.25,1.24,3.9,1.1,6.8,1.45,2.67,,,2.02,1.77,,,2.75,1.42,,,4,1.23,,,5.75,1.14,,,11,17,41,101,5,9,23,67,6,7.5,23,67,9,13,29,81,351,251,251,301,17,23,51,126,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-01-12,15:00,ISRAEL - LIGAT HA'AL,2019/2020,Hapoel Hadera,Maccabi Haifa,ROUND 11,0,2,0,3,11,2.37,1.72,7,2.3,1.95,1.4,2.75,1.36,3.00,,,,,3,1.36,2.75,1.40,,,,,8,1.08,7.00,1.10,11,5,1.25,6.5,4,1.4,3.75,1.16,1.05,2.62,1.2,1.1,2.75,1.4,2.1,1.66,1.07,9,1.05,11.00,1.06,6.85,1.05,7.60,1.33,3.25,1.28,3.50,1.48,2.54,1.38,2.74,2,1.8,1.85,1.95,2.6,1.46,2.41,1.47,3.5,1.28,3.25,1.33,4.94,1.13,4.60,1.16,7,1.1,6.00,1.12,,,,,15,1.03,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,7.4,1.07,7.6,1.06,4.3,1.21,,,2.88,1.38,,,2,1.77,,,1.56,2.35,,,1.3,3.4,,,1.17,4.9,9,5,5,7,21,11,9.5,15,51,34,34,41,201,101,101,126,12,23,51,201,301,301,251,351,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-01-12,15:15,ISRAEL - LIGAT HA'AL,2019/2020,Hapoel Tel Aviv,Beitar Jerusalem,ROUND 11,0,1,0,1,4.5,2.1,2.62,4.33,2.05,2.75,1.5,2.5,1.44,2.62,,,,,3.4,1.3,3.25,1.33,,,,,10,1.06,10,1.06,3.8,3.2,1.85,3.4,3.1,2,1.8,1.33,1.22,1.66,1.33,1.28,2,1.72,1.83,1.83,1.08,8,1.08,8.50,1.1,5.7,1.09,6.10,1.4,2.75,1.36,3.00,1.66,2.14,1.56,2.22,2.2,1.65,2.15,1.67,3.2,1.32,3.00,1.33,4,1.22,3.75,1.25,6.2,1.08,6.10,1.09,9,1.07,8.00,1.08,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.41,3.3,1.3,2.15,1.67,5.1,1.16,1.61,2.25,,,1.3,3.4,,,1.16,5,,,,,,,,,8,6,8.5,15,9.5,6.5,9,17,19,15,17,34,41,34,41,67,34,41,51,126,101,81,101,201,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-02-09,14:00,ISRAEL - LIGAT HA'AL,2019/2020,Kiryat Shmona,Hapoel Kfar Saba,ROUND 2,0,2,1,3,2.75,2.05,4.33,2.5,2.1,5,1.5,2.5,1.44,2.62,,,,,3.4,1.3,3.25,1.33,,,,,10,1.06,10,1.06,1.9,3.25,3.75,1.8,3.25,4,1.22,1.3,1.72,1.2,1.3,1.83,2,1.72,2,1.72,1.08,8.5,1.08,8.5,1.1,5.55,1.1,5.80,1.36,3,1.36,3,1.63,2.2,1.57,2.27,2.15,1.66,2.15,1.67,3.24,1.31,3.13,1.33,4,1.22,3.75,1.25,6.3,1.08,6.05,1.09,9,1.07,9,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.42,2.8,1.68,2.14,1.32,3.3,2.28,1.6,1.16,5,3.45,1.29,,,5.1,1.16,,,,,,,,,,,8.5,9.5,19,41,6.5,6.5,13,34,8.5,9,17,41,17,17,34,67,101,81,101,201,41,41,51,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-11,10:00,ISRAEL - LIGAT HA'AL,2019/2020,Hapoel Haifa,Kiryat Shmona,ROUND 9,2,1,2,1,3.1,2,3.75,3,2.05,4,1.5,2.5,1.5,2.5,,,,,3.4,1.3,3.4,1.3,,,,,10,1.06,10,1.06,2.25,3.2,3,2.1,3.2,3.1,1.36,1.36,1.57,1.33,1.33,1.61,1.9,1.8,1.9,1.8,1.08,8,1.08,8.50,1.1,5.75,1.1,5.90,1.4,2.75,1.36,3.00,1.64,2.18,1.59,2.15,2.25,1.61,2.20,1.65,3.13,1.33,3.10,1.31,4.33,1.2,4.00,1.22,6.05,1.09,6.30,1.08,10,1.06,9.00,1.07,,,,,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.57,2.33,2,1.8,1.41,2.85,2.7,1.44,1.21,4.3,4.3,1.21,1.1,6.3,6.5,1.11,,,,,,,,,,,8,8,15,34,7,6.5,12,26,10,10,17,41,21,21,34,51,67,51,81,151,51,41,67,126,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-11,12:30,ISRAEL - LIGAT HA'AL,2019/2020,H. Raanana,Maccabi Tel Aviv,ROUND 9,0,1,0,2,9.5,2.4,1.8,10,2.5,1.72,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.62,1.44,,,,,8,1.08,7.00,1.10,10,4.75,1.28,10,5,1.22,3.5,1.18,1.06,3.75,1.14,1.05,2.62,1.44,2.62,1.44,1.07,9.5,1.05,11.00,1.05,7.3,1.04,8.10,1.33,3.25,1.25,3.75,1.43,2.7,1.37,2.77,1.85,1.95,1.82,1.97,2.43,1.52,2.39,1.48,3.5,1.28,3.00,1.36,4.6,1.15,4.30,1.18,7,1.1,6.00,1.12,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,6.35,1.08,,,4.8,1.18,,,3,1.37,,,2.02,1.76,,,1.55,2.38,,,1.29,3.45,,,1.17,5,9.5,4.75,5.5,7.5,21,10,8.5,15,51,34,29,34,151,101,101,126,13,23,51,151,201,301,301,201,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-02-11,13:30,ISRAEL - LIGAT HA'AL,2019/2020,Hapoel Hadera,Bnei Yehuda,ROUND 9,0,0,0,0,3.6,2,3.25,3.4,2,3.4,1.5,2.5,1.5,2.5,,,,,3.5,1.28,3.5,1.28,,,,,11,1.05,11,1.05,2.62,3.4,2.37,2.5,3.2,2.5,1.5,1.28,1.4,1.44,1.33,1.44,2,1.72,2,1.72,1.08,8,1.08,8,1.11,5.35,1.10,5.80,1.44,2.62,1.44,2.62,1.72,2.06,1.64,2.13,2.3,1.6,2.25,1.62,3.4,1.29,3.20,1.30,4.5,1.18,4.33,1.20,6.6,1.07,6.50,1.08,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.75,2.38,1.55,1.66,2.17,3.55,1.28,1.33,3.2,5.2,1.14,1.15,5.2,,,1.08,8,,,,,,,,,8,6.5,11,23,7,6.5,10,23,12,11,19,34,29,26,41,67,51,51,67,151,67,51,81,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-02-11,14:50,ISRAEL - LIGAT HA'AL,2019/2020,Beitar Jerusalem,Hapoel Kfar Saba,ROUND 9,0,0,1,0,2.05,2.25,6.5,2,2.3,7,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,1.4,4.33,6.5,1.4,4.33,6,1.1,1.18,2.62,1.11,1.18,2.62,2.2,1.61,2.25,1.57,1.06,10,1.06,10,1.06,6.75,1.07,6.80,1.33,3.25,1.30,3.40,1.48,2.54,1.45,2.49,2,1.8,2,1.8,2.63,1.45,2.67,1.39,3.5,1.28,3.5,1.28,5,1.13,5.30,1.12,7,1.1,7,1.1,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.15,4.94,1.28,3.55,1.13,5.35,1.53,2.45,,,2.1,1.7,,,2.75,1.42,,,4.1,1.22,,,6,1.13,,,10,15,34,81,5,9,21,51,6.5,7.5,23,51,10,13,29,81,301,151,201,301,19,26,51,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
