Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,14:00,MEXICO - LIGA MX,2019/2020,U.N.A.M.- Pumas,Toluca,APERTURA ,0,0,2,1,2.6,2.2,4.33,2.62,2.2,4,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,7.00,1.10,1.9,3.5,3.9,1.95,3.4,3.5,1.25,1.28,1.8,1.28,1.3,1.8,1.8,1.95,1.75,2,1.05,11,1.05,11,1.07,6.9,1.06,7.30,1.28,3.5,1.25,3.75,1.49,2.58,1.45,2.55,1.95,1.85,1.85,1.95,2.64,1.47,2.60,1.44,3.25,1.33,3.25,1.33,5.1,1.13,4.80,1.14,6.5,1.11,6.00,1.12,8.9,1.03,8.40,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.32,3.3,2.2,1.65,1.17,4.8,3.1,1.35,1.08,7.5,4.4,1.2,1.03,10.5,7,1.1,,,,,,,11,11,21,41,7.5,6.5,13,34,9,8.5,15,41,17,15,26,51,101,67,81,151,34,34,51,101,301,62,38,9,4,116,101,64,58,2,1,7,0,0,3,231,140,,,,,,,0,2,1,5,1,2,5,3,,,,,,,,,54,46,16,6,121,96,64,58,5,2,9,1,2,3,410,357,,,,,,,,,0,2,2,5,1,3,9,14,3,1,,,,,,
2,2019-01-09,19:00,MEXICO - LIGA MX,2019/2020,Queretaro,Puebla,APERTURA ,1,0,1,1,2.2,2.37,5,2.05,2.37,6,1.33,3.25,1.33,3.25,,,,,2.5,1.5,2.62,1.44,,,,,6.5,1.11,6.5,1.11,1.6,4.2,5,1.5,4,5.5,1.16,1.22,2.25,1.12,1.2,2.37,1.75,2,1.8,1.95,1.04,13,1.04,13,1.03,9,1.05,8.80,1.22,4,1.22,4,1.36,3.1,1.37,2.87,1.7,2.1,1.75,2.05,2.25,1.63,2.31,1.55,2.62,1.44,2.75,1.40,4.2,1.18,4.30,1.19,5,1.16,5.50,1.14,7.7,1.05,8.70,1.05,11,1.05,11,1.05,,,,,21,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.25,3.8,1.42,2.75,1.21,4.25,1.72,2.07,1.11,6.6,2.3,1.6,,,3.1,1.35,,,4.4,1.2,,,6.4,1.11,,,13,15,29,51,8,8,15,41,8,8,15,41,12,12,23,51,151,101,101,126,23,23,41,81,251,58,42,3,5,48,43,20,11,1,2,2,1,0,2,291,203,,,,,,,1,1,0,1,2,0,5,5,0,2,,,,,,,51,49,9,11,85,111,42,56,2,4,5,5,2,2,497,467,,,,,,,,,3,2,1,1,3,1,15,12,0,2,,,,,,
3,2019-01-09,21:00,MEXICO - LIGA MX,2019/2020,Juarez,Monterrey,APERTURA ,1,0,1,0,5.5,2.2,2.25,5,2.2,2.3,1.4,2.75,1.4,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,5.5,3.75,1.61,5,3.8,1.66,2.2,1.25,1.14,2.1,1.25,1.16,1.95,1.8,1.95,1.8,1.06,10,1.06,10,1.07,6.75,1.07,6.90,1.3,3.4,1.3,3.4,1.52,2.5,1.46,2.52,2,1.8,2,1.8,2.75,1.44,2.63,1.43,3.4,1.3,3.50,1.28,5.3,1.12,5.10,1.13,7,1.1,7,1.1,9.2,1.02,8.90,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,4,1.23,4.5,1.19,2.75,1.42,7,1.1,2.02,1.83,,,1.55,2.37,,,1.32,3.3,,,1.16,5.25,,,1.09,7.3,10,6.5,7,12,13,7,8.5,13,26,17,17,29,51,41,41,51,23,29,51,101,201,126,151,201,451,46,54,8,6,56,56,22,11,4,2,2,2,2,2,193,227,,,,,,,4,2,1,1,2,3,3,4,,,,,,,,,46,54,14,11,100,97,51,26,5,3,5,4,4,4,312,369,,,,,,,,,10,5,1,4,3,4,9,15,2,3,,,,,,
4,2019-01-11,00:00,MEXICO - LIGA MX,2019/2020,Cruz Azul,Club Leon,APERTURA ,0,0,1,0,2.6,2.2,4,3,2.2,3.5,1.36,3,1.40,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,1.9,3.8,3.5,2.37,3.5,2.8,1.28,1.25,1.8,1.4,1.28,1.53,1.8,1.95,1.75,2,1.05,12,1.05,11.00,1.05,7.7,1.06,7.80,1.28,3.5,1.28,3.5,1.39,2.86,1.41,2.60,1.9,1.9,1.95,1.85,2.4,1.56,2.55,1.43,3.25,1.33,3.40,1.30,4.5,1.17,5.90,1.13,6.5,1.11,6.5,1.11,8,1.04,10.00,1.03,15,1.03,15,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.47,2.6,1.7,2.1,1.37,3,2.25,1.62,1.21,4.25,3.1,1.35,1.1,7,4.5,1.19,1.04,10,7,1.1,,,,,,,12,10,17,41,7.5,7.5,12,26,9.5,8.5,15,34,17,15,26,51,81,51,67,101,34,34,51,81,251,49,51,7,6,56,48,20,14,3,2,3,4,1,0,224,228,,,,,,,3,2,2,1,2,3,6,5,0,1,,,,,,,42,58,15,14,91,116,43,42,6,4,7,8,2,2,367,495,,,,,,,,,7,6,3,2,4,5,15,7,3,1,,,,,,
5,2019-01-11,22:00,MEXICO - LIGA MX,2019/2020,Puebla,U.N.A.M.- Pumas,APERTURA ,0,0,1,1,3.6,2.2,2.87,3.6,2.2,2.87,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,3.1,3.3,2.15,3.1,3.3,2.15,1.66,1.33,1.36,1.66,1.33,1.36,1.75,2,1.75,2,1.05,11,1.05,11,1.06,6.95,1.06,7.10,1.28,3.5,1.28,3.5,1.49,2.58,1.47,2.64,1.9,1.9,1.92,1.87,2.64,1.47,2.58,1.49,3.25,1.33,3.25,1.33,5.05,1.14,4.94,1.14,6.5,1.11,6.5,1.11,8.9,1.03,8.70,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.62,2.67,1.45,1.88,1.98,3.8,1.25,1.47,2.6,6,1.12,1.25,3.8,8.7,1.06,1.14,5.75,,,,,,,,,11,8.5,11,21,10,6.5,9,17,15,11,13,26,34,23,34,41,41,41,51,81,67,51,67,101,201,49,51,10,6,61,67,38,36,2,0,5,4,3,2,186,190,,,,,,,3,1,0,0,0,2,13,6,1,1,,,,,,,44,56,13,22,113,133,64,103,4,5,6,14,3,3,313,371,,,,,,,,,3,8,1,1,4,3,17,14,4,1,,,,,,
6,2019-01-12,00:05,MEXICO - LIGA MX,2019/2020,Queretaro,Necaxa,APERTURA ,2,0,2,3,2.4,2.3,4.33,2.5,2.3,4,1.3,3.4,1.33,3.25,,,,,2.5,1.5,2.5,1.5,,,,,6,1.12,6.50,1.11,1.9,3.6,3.8,2,3.25,3.25,1.25,1.28,1.8,1.25,1.28,1.8,1.61,2.2,1.61,2.2,1.04,13,1.04,13,1.03,8.8,1.05,7.90,1.2,4.33,1.2,4.33,1.31,3.38,1.39,2.95,1.65,2.2,1.85,1.95,2.07,1.74,2.31,1.60,2.62,1.44,2.62,1.44,3.72,1.23,4.30,1.18,5,1.16,5,1.16,6.75,1.06,7.70,1.05,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,1.37,3,1.6,2.3,1.3,3.45,2.05,1.75,1.16,5.25,2.75,1.42,1.1,7,3.8,1.25,1.04,10,5.75,1.14,,,,,,,13,15,21,41,9,7,13,29,10,8.5,13,34,17,13,21,41,81,51,67,81,34,29,41,67,151,69,31,9,1,68,31,35,17,5,0,2,1,2,0,244,108,,,,,,,2,1,0,1,0,3,8,7,2,2,,,,,,,54,46,14,14,117,86,54,44,6,5,5,6,3,3,393,330,,,,,,,,,3,2,1,1,2,4,13,13,3,2,0,1,,,,
7,2019-01-12,22:00,MEXICO - LIGA MX,2019/2020,Santos Laguna,Monterrey,APERTURA ,1,0,1,1,2.6,2.4,3.6,2.5,2.2,4.5,1.28,3.5,1.40,2.75,,,,,2.25,1.57,2.75,1.40,,,,,5.5,1.14,8.00,1.08,1.95,3.5,3.75,1.8,3.25,4,1.25,1.28,1.8,1.2,1.3,1.83,1.5,2.5,1.75,2,1.02,17,1.05,11.00,1.03,9.3,1.06,7.30,1.16,5,1.28,3.50,1.24,3.96,1.46,2.68,1.57,2.35,1.90,1.90,1.79,1.95,2.52,1.51,2.25,1.57,3.25,1.33,3.04,1.31,4.84,1.14,4,1.22,6.50,1.11,5.4,1.11,8.50,1.03,8,1.08,13.00,1.04,,,,,17,1.02,26.00,1.01,,,,,,,,,,,,,,,,,1.45,2.67,1.7,2.1,1.35,3.1,2.2,1.65,1.2,4.4,3,1.37,1.1,7,4.1,1.22,1.06,8.9,6,1.12,,,,,,,17,15,21,41,11,7,13,23,12,9,11,26,19,15,19,34,67,51,51,67,34,29,34,51,101,63,37,9,3,65,47,38,24,3,2,5,1,1,0,225,139,,,,,,,8,1,0,2,2,2,7,9,1,1,,,,,,,61,39,21,9,128,97,83,40,5,6,13,2,3,1,414,278,,,,,,,,,13,2,0,4,5,4,14,17,3,1,,,,,,
8,2019-02-08,21:00,MEXICO - LIGA MX,2019/2020,Puebla,Guadalajara Chivas,APERTURA ,1,1,1,1,3.5,2.05,3.2,3,2.1,3.6,1.44,2.62,1.40,2.75,,,,,3.25,1.33,2.75,1.40,,,,,9,1.07,8.00,1.08,2.8,3.3,2.5,2.3,3.4,3,1.5,1.33,1.4,1.36,1.3,1.57,1.9,1.9,1.75,2,1.07,9,1.05,11.00,1.1,5.9,1.07,7.50,1.36,3,1.28,3.50,1.64,2.21,1.43,2.62,2.1,1.7,1.95,1.85,3.14,1.35,2.66,1.42,3.75,1.25,3.25,1.33,6.2,1.09,5.20,1.14,8,1.08,6.50,1.11,10.5,1.01,10.5,1.03,19,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.8,2.37,1.55,1.7,2.1,3.45,1.3,1.37,3,5.75,1.14,1.19,4.5,7,1.1,1.1,6.8,,,,,,,,,9,7.5,11,23,8,6,9.5,21,13,11,15,34,29,23,34,51,51,51,67,126,67,51,81,151,401,70,30,7,4,57,36,40,7,1,2,3,1,3,1,244,104,,,,,,,3,2,0,2,1,0,7,6,3,0,,,,,,,55,45,22,4,110,92,63,21,4,2,12,1,6,1,426,356,,,,,,,,,5,5,1,2,1,3,12,12,4,4,1,1,,,,
9,2019-02-08,23:00,MEXICO - LIGA MX,2019/2020,Atlas,Santos Laguna,APERTURA ,0,1,1,2,3.6,2.05,3.1,3.4,2.1,3.4,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,2.9,3.4,2.37,2.6,3.4,2.6,1.53,1.3,1.4,1.5,1.3,1.5,1.9,1.9,1.8,1.95,1.07,9,1.07,9.50,1.09,6.25,1.08,6.90,1.36,3,1.33,3.25,1.57,2.33,1.49,2.44,2.15,1.66,2.05,1.75,2.95,1.39,2.85,1.39,3.75,1.25,3.75,1.25,5.75,1.1,5.80,1.11,8,1.08,8,1.08,9.9,1.02,11.50,1.02,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.07,1.72,2.42,1.52,1.77,2.1,3.45,1.3,1.4,2.85,5.9,1.13,1.2,4.4,8.5,1.06,1.11,6.6,,,,,,,,,9,7.5,11,23,8,6.5,9.5,21,13,11,15,34,29,26,34,51,51,41,67,126,67,51,81,151,401,57,43,8,9,40,62,16,21,3,2,4,5,1,2,202,145,,,,,,,2,1,1,0,1,3,7,7,4,0,,,,,,,56,44,13,25,98,114,39,47,5,8,6,12,2,5,392,305,,,,,,,,,2,5,2,2,6,4,11,14,5,3,,,,,,
10,2019-02-11,00:00,MEXICO - LIGA MX,2019/2020,Atlas,Atl. San Luis,APERTURA ,1,0,1,2,2.87,2.05,4.33,2.87,2.1,4,1.5,2.5,1.44,2.62,,,,,3.4,1.3,3.25,1.33,,,,,10,1.06,10,1.06,2,3.3,3.8,2.15,3.25,3.4,1.25,1.33,1.72,1.3,1.33,1.66,2,1.75,1.9,1.9,1.08,8,1.08,8.50,1.12,5.35,1.09,6.30,1.4,2.75,1.36,3.00,1.77,2.03,1.50,2.35,2.25,1.61,2.07,1.72,3.56,1.29,2.95,1.39,4.33,1.2,3.75,1.25,6.9,1.07,5.75,1.10,10,1.06,9.00,1.07,10.5,1.01,9.80,1.02,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.42,1.85,2,1.4,2.85,2.42,1.52,1.2,4.4,3.7,1.26,1.1,7,5.5,1.15,1.04,10.5,,,,,,,,,8,9,17,41,6.5,6.5,13,34,9,9,17,41,19,19,34,67,101,81,101,151,41,41,51,126,401,45,55,5,3,52,51,31,40,2,0,1,2,2,1,170,203,,,,,,,3,2,1,1,0,1,12,5,0,1,,,,,,,53,47,14,13,107,95,91,68,4,5,6,6,4,2,370,332,,,,,,,,,10,4,1,1,3,3,16,12,0,3,1,0,,,,
