Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,09:30,NETHERLANDS - EERSTE DIVISIE,2019/2020,Maastricht,Roda,ROUND 4,0,0,1,0,2.5,2.3,4,2.62,2.4,3.6,1.33,3.25,1.30,3.40,,,,,2.5,1.5,2.37,1.53,,,,,6.5,1.11,6.00,1.12,1.9,3.6,3.8,2,3.6,3.4,1.25,1.28,1.8,1.3,1.28,1.72,1.61,2.2,1.53,2.37,1.04,13,1.03,15.00,1.04,8.3,1.03,9.00,1.22,4,1.18,4.50,1.35,3.14,1.30,3.44,1.72,2.07,1.61,2.25,2.18,1.66,1.96,1.75,2.75,1.4,2.50,1.50,3.92,1.21,3.54,1.25,5,1.16,4.50,1.18,7.2,1.06,6.45,1.07,11,1.05,9.00,1.07,,,,,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.35,3.1,2.15,1.67,1.19,4.5,3,1.37,1.1,7,4.15,1.22,1.06,8.7,6.6,1.11,,,,,,,13,13,21,41,8.5,7,13,29,10,8.5,13,34,17,15,23,41,81,51,67,101,34,29,41,81,151,41,59,2,3,48,38,28,27,0,1,2,2,,,,,,,5,11,,,2,2,,,1,0,,,0,1,,,,,10,13,40,60,6,6,83,85,52,69,1,1,5,5,,,,,,,,,18,18,,,3,9,,,1,0,,,3,2,,,,,21,21
2,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Breda,G.A. Eagles,ROUND 13,0,0,1,1,2.62,2.4,3.6,2.4,2.4,4,1.3,3.4,1.28,3.50,,,,,2.37,1.53,2.37,1.53,,,,,5.5,1.14,5.5,1.14,2,3.6,3.5,1.8,3.6,3.5,1.28,1.28,1.72,1.25,1.25,1.83,1.53,2.37,1.53,2.37,1.03,15,1.02,17.00,1.03,9.1,1.02,10.50,1.18,4.5,1.16,5.00,1.26,3.48,1.23,3.80,1.6,2.3,1.55,2.37,1.94,1.84,1.84,1.95,2.5,1.5,2.37,1.53,3.52,1.29,3.40,1.28,4.33,1.2,4.00,1.22,6.3,1.09,6.40,1.08,9,1.07,8.00,1.08,,,,,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,1.5,2.5,1.75,2.05,1.4,2.85,2.3,1.6,1.22,4.1,3.3,1.32,1.11,6.4,4.4,1.2,,,7,1.1,,,,,,,15,15,21,41,10,7,12,23,12,9,12,26,19,15,21,34,67,51,51,81,34,29,41,51,126,49,51,4,3,70,66,30,40,0,0,4,3,,,,,,,4,6,,,2,3,,,0,0,,,,,,,,,16,13,54,46,8,8,151,112,79,63,2,2,6,6,,,,,,,,,10,14,,,3,5,,,1,1,,,1,2,,,,,23,31
3,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Cambuur,Nijmegen,ROUND 13,0,0,0,0,2.2,2.5,4.33,2.1,2.5,4.75,1.25,3.75,1.25,3.75,,,,,2.2,1.61,2.2,1.61,,,,,5,1.16,5,1.16,1.61,4.5,4.5,1.57,4,4.33,1.18,1.18,2.2,1.18,1.2,2.2,1.53,2.37,1.57,2.25,1.01,21,1.02,19.00,1.01,11,1.01,11,1.14,5.5,1.14,5.5,1.18,4.32,1.20,4.00,1.5,2.5,1.5,2.5,1.69,2.14,1.76,2.06,2.2,1.61,2.2,1.61,2.82,1.42,3.00,1.34,3.75,1.25,3.75,1.25,5,1.14,5.90,1.13,7,1.1,8.00,1.08,8.3,1.03,8.40,1.03,15,1.03,15,1.03,,,,,26,1.01,26,1.01,,,,,,,,,1.32,3.3,1.47,2.6,1.27,3.55,1.83,2.02,1.15,5.5,2.35,1.57,1.1,7,3.1,1.35,,,4.4,1.2,,,6.25,1.12,,,21,17,26,41,10,9,15,29,10,8.5,15,29,13,12,19,41,101,51,51,81,23,21,34,51,126,50,50,4,1,62,58,40,35,3,0,1,1,,,,,,,4,1,,,3,3,,,0,3,,,1,0,,,,,9,7,52,48,7,3,143,108,97,62,3,1,4,2,,,,,,,,,10,5,,,6,4,,,1,3,,,1,0,,,,,19,15
4,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Den Bosch,Helmond,ROUND 13,1,0,1,1,1.9,2.75,5.5,2.3,2.4,4.33,1.22,4,1.28,3.50,,,,,2.1,1.66,2.25,1.57,,,,,4.5,1.18,5.50,1.14,1.4,5,6.5,1.72,3.75,3.75,1.11,1.16,2.75,1.22,1.22,1.9,1.57,2.25,1.53,2.37,1.01,21,1.02,17.00,1.01,11,1.01,11,1.12,6,1.16,5.00,1.21,3.92,1.22,3.80,1.47,2.6,1.52,2.42,1.78,2.02,1.80,2.01,2,1.72,2.25,1.57,3.1,1.36,3.20,1.31,3.4,1.3,4.00,1.22,5.45,1.11,6.00,1.13,6.5,1.11,8.00,1.08,8.9,1.03,8.70,1.03,13,1.04,17.00,1.02,,,,,23,1.01,26.00,1.01,,,,,,,,,1.16,5.25,1.27,3.55,1.14,5.75,1.5,2.5,1.1,7,1.93,1.93,,,2.42,1.52,,,3.45,1.3,,,4.5,1.19,,,21,23,41,67,10,10,19,41,9,8,15,41,11,11,17,41,151,81,81,101,17,17,29,51,126,57,43,9,3,72,50,42,28,4,1,5,2,,,,,,,7,9,,,4,1,,,1,3,,,1,0,,,,,6,14,62,38,13,8,153,96,87,62,7,2,6,6,,,,,,,,,11,24,,,4,4,,,1,6,,,1,1,,,,,17,23
5,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Dordrecht,Oss,ROUND 13,1,1,1,1,2.75,2.4,3.25,2.87,2.4,3.1,1.25,3.75,1.25,3.75,,,,,2.2,1.61,2.2,1.61,,,,,5,1.16,5,1.16,2.15,3.6,3.1,2.3,3.5,2.55,1.36,1.28,1.66,1.44,1.25,1.53,1.44,2.62,1.4,2.75,1.02,19,1.01,21.00,1.01,11.5,1.01,11.5,1.14,5.5,1.14,5.5,1.22,3.82,1.19,4.10,1.53,2.4,1.47,2.60,1.83,1.95,1.69,2.16,2.2,1.61,2.10,1.66,3.24,1.33,2.90,1.35,3.75,1.25,3.75,1.25,5.7,1.1,6.40,1.12,7,1.1,6.50,1.11,9.3,1.02,9.20,1.02,15,1.03,15,1.03,,,,,26,1.01,26,1.01,,,,,,,,,1.72,2.07,2.05,1.8,1.55,2.37,2.67,1.45,1.32,3.3,3.8,1.25,1.17,4.8,5.5,1.15,1.1,6.8,,,,,,,,,19,15,19,34,13,7.5,12,21,15,9.5,11,23,21,15,19,29,51,41,41,51,41,29,34,51,81,47,53,9,5,38,53,17,23,6,2,3,3,,,,,,,8,9,,,1,1,,,1,5,,,2,1,,,,,11,8,45,55,15,13,77,117,26,51,9,8,6,5,,,,,,,,,14,19,,,2,6,,,7,8,,,3,4,0,1,,,24,19
6,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Eindhoven FC,Jong AZ,ROUND 13,0,1,2,1,2.3,2.6,3.75,2.3,2.5,4,1.22,4,1.25,3.75,,,,,2,1.72,2.20,1.61,,,,,4.33,1.2,5.00,1.16,1.8,4,3.8,1.72,3.75,3.75,1.25,1.22,1.9,1.22,1.22,1.9,1.4,2.75,1.5,2.5,1.01,23,1.01,21.00,1.01,11.5,1.01,11.5,1.11,6.5,1.14,5.50,1.14,4.84,1.19,4.20,1.36,3.1,1.47,2.60,1.57,2.38,1.68,2.18,1.9,1.8,2.10,1.66,2.55,1.5,2.85,1.37,3.25,1.33,3.75,1.25,4.4,1.17,5.90,1.13,5.5,1.14,7.00,1.10,7.4,1.05,8.50,1.03,11,1.05,15.00,1.03,,,,,21,1.01,26.00,1.01,,,,,,,,,1.37,3,1.57,2.35,1.3,3.45,2,1.8,1.18,4.65,2.5,1.5,1.1,7,3.45,1.3,,,5,1.17,,,7,1.1,,,23,21,26,41,13,9,13,23,13,9,11,23,19,13,17,29,67,51,41,51,29,21,29,41,81,31,69,9,4,52,42,26,30,4,2,5,2,,,,,,,7,6,,,1,4,,,1,4,,,,,,,,,6,2,48,52,14,6,97,75,73,57,8,2,6,4,,,,,,,,,13,20,,,5,5,,,1,6,,,1,2,,,,,16,11
7,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Graafschap,Excelsior,ROUND 13,0,0,0,0,1.83,2.75,6,2.3,2.5,4,1.2,4.33,1.25,3.75,,,,,2,1.72,2.20,1.61,,,,,4.33,1.2,5.00,1.16,1.4,4.75,7,1.72,3.75,3.75,1.1,1.18,2.75,1.22,1.22,1.9,1.53,2.37,1.5,2.5,1.01,23,1.02,19.00,1.01,12,1.01,11.50,1.11,6.5,1.14,5.50,1.14,4.84,1.20,4.00,1.36,3.1,1.50,2.50,1.57,2.38,1.75,2.07,1.9,1.8,2.20,1.61,2.55,1.5,3.00,1.34,3.25,1.33,3.75,1.25,4.44,1.17,6.25,1.12,5.5,1.14,7.00,1.10,7.5,1.05,8.90,1.03,11,1.05,15.00,1.03,,,,,21,1.01,26.00,1.01,,,,,,,,,1.15,5.5,1.27,3.55,1.12,6,1.47,2.6,1.1,7,1.83,2.02,,,2.3,1.6,,,3,1.37,,,4,1.23,,,23,26,41,67,12,10,21,41,9.5,8.5,15,41,11,11,19,41,201,101,81,101,17,17,26,51,101,45,55,7,5,64,44,44,22,1,3,6,2,,,,,,,8,6,,,1,3,,,3,1,,,,,,,,,10,12,46,54,10,9,115,100,71,54,2,5,8,4,,,,,,,,,18,15,,,4,4,,,5,2,,,,,,,,,26,24
8,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Maastricht,Almere City,ROUND 13,1,0,3,2,3,2.4,3,3.6,2.37,2.62,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.37,1.53,,,,,5.5,1.14,5.5,1.14,2.5,3.6,2.6,3,3.5,2,1.5,1.28,1.5,1.66,1.25,1.33,1.44,2.62,1.5,2.5,1.02,17,1.02,17,1.02,9.2,1.01,10.50,1.16,5,1.16,5,1.25,3.54,1.22,3.90,1.57,2.35,1.55,2.37,1.89,1.89,1.84,1.95,2.25,1.57,2.37,1.53,3.38,1.31,3.30,1.29,4,1.22,4,1.22,6.05,1.09,6.20,1.09,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,1.85,2,2.1,1.7,1.62,2.25,2.85,1.4,1.35,3.1,4.15,1.22,1.2,4.4,5.9,1.13,1.11,6.4,,,,,,,,,17,13,15,26,13,7.5,10,19,15,10,11,21,26,17,21,34,51,41,41,51,41,34,41,51,101,47,53,5,3,54,59,35,37,2,1,3,2,,,,,,,10,5,,,4,4,,,1,1,,,,,,,,,8,9,46,54,11,7,106,128,60,74,5,4,6,3,,,,,,,,,15,12,,,6,10,,,2,2,,,0,3,,,,,21,19
9,2019-01-11,16:00,NETHERLANDS - EERSTE DIVISIE,2019/2020,Telstar,Jong Utrecht,ROUND 13,1,0,2,0,2.4,2.5,3.6,2.4,2.4,4,1.25,3.75,1.28,3.50,,,,,2.1,1.66,2.37,1.53,,,,,4.5,1.18,5.50,1.14,1.9,4,3.6,1.8,3.75,3.4,1.28,1.22,1.8,1.28,1.22,1.83,1.44,2.62,1.53,2.37,1.01,21,1.02,17.00,1.01,12,1.01,10.50,1.12,6,1.16,5.00,1.18,4.24,1.22,3.90,1.44,2.7,1.55,2.37,1.7,2.13,1.85,1.95,2.1,1.66,2.37,1.53,2.86,1.41,3.30,1.29,3.5,1.28,4.33,1.20,5.05,1.13,5.90,1.13,6.5,1.11,9.00,1.07,8.4,1.03,8.60,1.03,13,1.04,17.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,1.4,2.85,1.6,2.3,1.32,3.3,2.02,1.77,1.18,4.65,2.67,1.45,1.1,7,3.55,1.27,,,5.25,1.16,,,,,,,21,17,23,41,13,8.5,13,23,13,9,11,23,19,13,17,29,67,41,41,51,34,23,34,51,81,54,46,2,2,58,64,40,57,0,0,2,2,,,,,,,5,11,,,1,4,,,0,0,,,,,,,,,9,11,55,45,7,4,122,108,100,85,3,0,4,4,,,,,,,,,13,21,,,3,9,,,0,2,,,0,1,,,,,18,30
10,2019-01-12,10:30,NETHERLANDS - EERSTE DIVISIE,2019/2020,Graafschap,G.A. Eagles,ROUND 17,0,0,1,1,2.25,2.5,4.33,2.1,2.62,4.33,1.25,3.75,1.25,3.75,,,,,2.2,1.61,2.10,1.66,,,,,5,1.16,4.50,1.18,1.72,4,4.2,1.61,4.2,4.75,1.22,1.22,2,1.18,1.22,2.2,1.5,2.5,1.5,2.5,1.02,19,1.01,21.00,1.01,12,1.01,12,1.14,5.5,1.12,6.00,1.23,3.72,1.18,4.20,1.53,2.4,1.44,2.70,1.85,1.93,1.66,2.21,2.2,1.61,2.10,1.66,3.26,1.33,2.80,1.38,3.75,1.25,3.50,1.28,5.8,1.1,5.40,1.12,7,1.1,6.50,1.11,9.4,1.02,8.90,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,1.32,3.3,1.52,2.42,1.27,3.55,1.95,1.9,1.16,5.25,2.5,1.5,,,3.45,1.3,,,5,1.17,,,7,1.1,,,19,17,26,41,11,8,15,29,11,8.5,12,29,15,12,19,34,81,51,51,67,26,23,34,51,101,59,41,2,3,30,37,17,18,1,1,1,2,,,,,,,3,4,,,1,2,,,1,1,,,,,,,,,13,24,55,45,9,7,55,52,48,22,5,5,4,2,,,,,,,,,9,8,,,6,2,,,4,4,,,1,2,,,,,30,42
