Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-04,14:00,NORWAY - ELITESERIEN,2019,Stabaek,Lillestrom,ROUND 1,1,1,1,1,3.4,2.2,3.1,2.87,2.2,3.5,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,2.8,3.4,2.4,2.3,3.4,3,1.57,1.33,1.44,1.4,1.33,1.61,1.66,2.1,1.66,2.1,1.05,11,1.05,12.00,1.02,10,1.05,8.50,1.25,3.75,1.25,3.75,1.37,2.95,1.35,2.84,1.85,1.95,1.80,2.00,2.46,1.53,2.30,1.60,3.25,1.33,3.00,1.36,4.84,1.14,4.50,1.18,6,1.12,6,1.12,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.07,1.83,2.35,1.57,1.7,2.1,3.3,1.32,1.37,3,5,1.17,1.2,4.4,7,1.1,1.11,6.6,15,1.04,1.04,15,23,1.02,1.02,23,11,9,13,23,9.5,6.5,9.5,19,15,10,13,26,29,21,29,41,51,41,51,101,51,41,51,101,201,48,52,3,5,61,68,15,21,2,2,1,3,,,,,,,,,,,1,5,2,1,1,1,4,11,,,,,,,21,4,47,53,8,5,127,124,39,42,4,2,4,3,,,,,,,,,,,,,3,10,4,1,1,3,11,19,,,,,,,35,22
2,2019-01-07,14:00,NORWAY - ELITESERIEN,2019,Sarpsborg 08,Stromsgodset,ROUND 13,0,1,2,2,2.3,2.3,4.75,2.1,2.37,5.5,1.36,3,1.33,3.25,,,,,2.75,1.4,2.50,1.50,,,,,8,1.08,6.50,1.11,1.65,4,4.75,1.6,3.8,5.75,1.2,1.25,2.3,1.16,1.28,2.37,1.9,1.9,1.75,2,1.05,11,1.04,13.00,1.07,6.9,1.05,10.00,1.28,3.5,1.20,4.33,1.49,2.55,1.41,2.92,2,1.8,1.70,2.10,2.68,1.46,2.18,1.66,3.25,1.33,2.62,1.44,5.2,1.13,4.02,1.25,6.5,1.11,5.00,1.16,12,1.03,9.20,1.06,15,1.03,11.00,1.05,,,,,26,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.25,3.8,1.42,2.75,1.2,4.4,1.83,2.07,1.1,6.8,2.37,1.55,1.05,13,3.3,1.32,1.02,20,5.25,1.16,,,7,1.1,,,11,12,23,51,7,7.5,15,41,7.5,8,17,41,13,13,26,51,151,101,101,151,26,29,51,101,401,49,51,6,1,58,52,20,5,3,1,3,0,,,,,,,,,,,3,2,0,1,0,3,8,10,1,1,,,,,12,19,49,51,16,4,105,104,49,18,8,2,8,2,,,,,,,,,,,,,5,3,1,5,0,6,14,22,1,4,,,,,25,30
3,2019-01-09,13:00,NORWAY - ELITESERIEN,2019,Lillestrom,Brann,ROUND 20,1,2,1,3,3.4,2.1,3.1,3.6,2.3,2.75,1.4,2.75,1.33,3.25,,,,,3,1.36,2.50,1.50,,,,,8,1.08,6.50,1.11,2.8,3.4,2.4,3.5,3.4,2.05,1.53,1.3,1.4,1.72,1.3,1.28,1.75,2,1.61,2.2,1.06,10,1.04,13.00,1.08,6.4,1.04,8.30,1.3,3.4,1.22,4.00,1.55,2.42,1.35,3.14,2.15,1.66,1.72,2.07,2.86,1.41,2.19,1.67,3.4,1.3,2.62,1.44,5.5,1.11,3.92,1.21,7,1.1,5.00,1.16,9.5,1.02,7.20,1.06,15,1.03,11.00,1.05,,,,,26,1.01,21.00,1.01,,,,,,,,,,,,,,,,,2.03,1.87,2.3,1.6,1.67,2.15,3.3,1.32,1.37,3,5.5,1.15,1.18,4.65,8.5,1.09,1.1,7,,,1.05,14,,,1.02,21,10,8,12,23,9,6.5,9.5,21,13,10,13,29,29,23,29,51,51,41,51,101,51,51,67,101,301,55,45,2,6,60,57,16,17,1,3,1,3,,,,,,,,,,,0,4,2,0,1,0,5,5,1,0,,,,,7,11,58,42,4,8,130,102,50,45,2,4,2,4,,,,,,,,,,,,,3,8,5,0,1,1,9,8,4,2,,,,,17,24
4,2019-01-09,13:00,NORWAY - ELITESERIEN,2019,Mjondalen,Molde,ROUND 20,0,1,1,3,3.5,2.25,2.87,3.75,2.37,2.5,1.33,3.25,1.28,3.50,,,,,2.62,1.44,2.37,1.53,,,,,6.5,1.11,5.50,1.14,3,3.6,2.2,3.6,3.6,1.95,1.61,1.28,1.36,1.8,1.28,1.28,1.61,2.2,1.53,2.37,1.04,13,1.03,15.00,1.03,9.1,1.03,9.30,1.22,4,1.18,4.50,1.29,3.54,1.28,3.60,1.72,2.07,1.60,2.30,2,1.79,1.94,1.85,2.75,1.4,2.50,1.50,3.48,1.26,3.40,1.27,5.5,1.14,4.33,1.20,6.4,1.08,6.15,1.08,11,1.05,9.00,1.07,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,2.2,1.65,2.5,1.5,1.91,1.99,3.55,1.27,1.5,2.5,5.75,1.14,1.26,3.7,11,1.06,1.15,5.5,,,1.1,6.8,,,1.04,14,13,9.5,12,21,11,7,9,17,17,11,12,23,34,21,26,41,41,34,41,81,67,51,51,81,151,45,55,4,4,50,64,28,26,0,2,4,2,,,,,,,,,,,2,1,2,1,1,0,4,5,1,0,,,,,13,3,47,53,10,8,108,129,56,46,3,4,7,4,,,,,,,,,,,,,5,2,5,2,1,2,8,12,2,1,,,,,18,16
5,2019-01-09,13:00,NORWAY - ELITESERIEN,2019,Ranheim,Kristiansund,ROUND 20,0,0,1,2,3,2.2,3.5,2.87,2.3,3.5,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,2.25,3.25,3.2,2.25,3.25,3.2,1.36,1.33,1.57,1.36,1.33,1.57,1.7,2.05,1.7,2.05,1.05,11,1.05,11,1.06,7.5,1.06,7.30,1.28,3.5,1.28,3.5,1.43,2.78,1.44,2.77,1.9,1.9,1.9,1.9,2.46,1.53,2.55,1.51,3.25,1.33,3.25,1.33,4.64,1.16,4.84,1.14,6.5,1.11,6.5,1.11,8.3,1.03,8.50,1.03,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.6,2.3,1.99,1.91,1.45,2.67,2.6,1.47,1.25,3.8,3.8,1.25,1.12,6.25,5.75,1.14,1.08,9.5,11,1.06,,,17,1.03,,,11,10,15,34,8.5,6,11,23,12,9,13,29,21,19,26,41,67,51,67,101,41,41,51,101,201,58,42,2,2,51,54,26,19,1,0,1,2,,,,,,,,,,,1,2,2,0,0,1,5,4,1,0,,,,,18,21,60,40,6,8,119,101,54,40,3,3,3,5,,,,,,,,,,,,,4,2,2,2,1,2,11,8,1,1,,,,,35,35
6,2019-01-09,13:00,NORWAY - ELITESERIEN,2019,Sarpsborg 08,Viking,ROUND 20,1,0,2,2,2.25,2.4,4.5,2.3,2.4,4.33,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.25,1.57,,,,,5.5,1.14,5.5,1.14,1.75,3.5,4.75,1.72,3.75,4.5,1.18,1.28,2,1.18,1.25,2,1.57,2.25,1.53,2.37,1.03,15,1.02,17.00,1.03,8.9,1.02,9.30,1.16,5,1.16,5,1.27,3.4,1.24,3.64,1.6,2.3,1.57,2.35,1.98,1.81,1.88,1.91,2.37,1.53,2.37,1.53,3.6,1.28,3.38,1.31,4.33,1.2,4.00,1.22,6.45,1.08,5.95,1.10,9,1.07,8.00,1.08,10,1.01,10.50,1.01,17,1.02,17,1.02,,,,,,,,,,,,,,,,,1.3,3.45,1.5,2.5,1.23,4,1.98,1.92,1.12,6,2.5,1.5,1.07,10.5,3.45,1.3,1.03,17,5,1.17,,,7,1.1,,,15,17,29,51,9.5,7,15,34,10,8.5,11,34,15,12,21,41,126,67,67,101,26,23,34,67,126,55,45,6,5,57,39,11,20,4,4,2,1,,,,,,,,,,,3,0,2,0,4,3,5,5,3,1,,,,,12,13,55,45,10,9,94,83,31,41,5,7,5,2,,,,,,,,,,,,,5,4,3,0,5,3,10,13,4,2,0,1,,,28,28
7,2019-01-09,13:00,NORWAY - ELITESERIEN,2019,Tromso,Haugesund,ROUND 20,1,0,2,2,3.2,2.2,3.2,3.1,2.2,3.4,1.36,3,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,8.00,1.08,2.6,3.3,2.62,2.45,3.25,2.87,1.44,1.33,1.5,1.4,1.33,1.53,1.61,2.2,1.7,2.05,1.05,12,1.05,11.00,1.05,7.8,1.06,7.30,1.25,3.75,1.28,3.50,1.39,2.95,1.44,2.77,1.8,2,1.90,1.90,2.33,1.59,2.55,1.51,3,1.36,3.25,1.33,4.3,1.18,4.84,1.14,5.5,1.14,6.50,1.11,7.7,1.05,8.50,1.03,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.96,1.94,2.25,1.62,1.65,2.2,3.1,1.35,1.35,3.1,4.65,1.18,1.19,4.5,6.8,1.1,1.1,6.8,13,1.05,,,20,1.02,,,12,10,13,26,10,6.5,10,21,13,10,12,26,26,21,26,41,51,41,51,81,51,41,51,81,201,48,52,2,8,61,48,21,48,1,2,1,6,,,,,,,,,,,1,7,0,1,2,0,5,6,,,,,,,7,14,47,53,8,18,106,108,40,81,4,11,4,7,,,,,,,,,,,,,1,8,0,4,9,2,14,14,3,0,,,,,12,24
8,2019-01-09,15:00,NORWAY - ELITESERIEN,2019,Valerenga,Rosenborg,ROUND 20,0,0,1,1,3.75,2.3,2.62,3.25,2.2,3.2,1.33,3.25,1.40,2.75,,,,,2.5,1.5,2.75,1.40,,,,,6.5,1.11,8.00,1.08,3.5,3.6,2,2.8,3.25,2.5,1.72,1.28,1.28,1.5,1.33,1.4,1.61,2.2,1.7,2.05,1.04,13,1.05,11.00,1.04,8.3,1.06,7.30,1.22,4,1.28,3.50,1.35,3.14,1.44,2.77,1.7,2.1,1.90,1.90,2.21,1.65,2.55,1.51,2.75,1.4,3.25,1.33,4.04,1.2,4.84,1.14,5.5,1.14,6.50,1.11,7.3,1.05,8.50,1.03,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,2.6,1.47,3.1,1.35,2.1,1.7,4.4,1.2,1.62,2.25,7,1.1,1.35,3.1,11.5,1.06,1.21,4.25,,,1.1,6.8,,,1.05,12.5,13,9,11,19,12,7,8.5,15,19,12,13,23,41,26,29,41,41,34,41,81,81,51,67,101,151,44,56,3,2,56,56,21,14,0,0,3,2,,,,,,,,,,,2,2,1,0,0,0,5,9,,,,,,,16,12,45,55,11,4,103,99,55,34,2,1,9,3,,,,,,,,,,,,,6,8,2,1,0,1,11,15,1,3,1,0,,,26,18
9,2019-01-11,15:00,NORWAY - ELITESERIEN,2019,Stromsgodset,Rosenborg,ROUND 27,1,1,3,3,3.6,2.3,2.75,4,2.25,2.6,1.33,3.25,1.36,3.00,,,,,2.5,1.5,2.62,1.44,,,,,6.5,1.11,7.00,1.10,3.6,3.4,2.05,3.8,3.4,1.95,1.72,1.3,1.28,1.8,1.3,1.25,1.61,2.2,1.66,2.1,1.04,13,1.05,12.00,1.05,7.9,1.05,8.00,1.22,4,1.22,4,1.35,3.14,1.38,2.99,1.72,2.07,1.80,2.00,2.18,1.66,2.30,1.58,2.62,1.44,2.75,1.40,3.92,1.21,4.24,1.18,5.5,1.14,5.5,1.14,7,1.06,7.60,1.05,11,1.05,11,1.05,,,,,21,1.01,23.00,1.01,,,,,,,,,,,,,,,,,2.6,1.47,3.1,1.35,2.11,1.79,4.4,1.2,1.6,2.3,7,1.1,1.32,3.3,10.5,1.07,1.19,4.5,,,1.1,7,,,1.04,14,13,9.5,11,19,13,6.5,9,15,19,12,12,23,41,26,29,41,41,34,41,67,67,51,51,81,151,52,48,6,4,61,39,29,20,3,1,3,3,,,,,,,,,,,3,4,1,0,0,2,3,6,,,,,,,6,8,52,48,14,7,114,84,64,54,8,2,6,5,,,,,,,,,,,,,6,10,2,2,0,5,6,10,,,,,,,14,13
10,2019-01-12,14:00,NORWAY - ELITESERIEN,2019,Brann,Viking,ROUND 30,1,2,1,5,2.3,2.4,4.33,2.25,2.37,4.75,1.28,3.5,1.33,3.25,,,,,2.37,1.53,2.50,1.50,,,,,5.5,1.14,6.00,1.12,1.75,3.8,4.33,1.66,3.75,4.33,1.2,1.25,2,1.18,1.22,2,1.57,2.25,1.66,2.1,1.03,15,1.03,15,1.02,9.7,1.04,8.50,1.18,4.5,1.20,4.33,1.25,3.86,1.33,3.26,1.53,2.4,1.61,2.25,1.88,1.9,2.13,1.70,2.5,1.5,2.62,1.44,3.2,1.3,3.82,1.22,4.33,1.2,5.00,1.16,5.85,1.09,7.00,1.06,9,1.07,10.00,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.32,3.3,1.52,2.42,1.26,3.7,1.97,1.93,1.15,5.5,2.5,1.5,1.07,10.5,3.45,1.3,1.04,16,5,1.17,,,7,1.1,,,15,17,26,41,9.5,7.5,15,29,10,8.5,13,34,15,13,21,41,101,67,67,81,26,23,34,51,126,46,54,2,3,44,54,22,20,1,3,1,0,,,,,,,,,,,4,2,2,2,1,0,5,4,2,0,,,,,7,12,44,56,7,9,85,99,60,33,2,6,5,3,,,,,,,,,,,,,7,3,2,3,1,1,10,12,3,0,,,,,14,19
