Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-03,22:00,PERU - LIGA 1,2019,U. San Martin,U. de Deportes,APERTURA ,1,1,2,3,4.33,2.2,2.6,3.6,2.2,2.87,1.36,3,1.36,3,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,7,1.1,4.2,3.5,1.85,3.3,3.2,2.2,1.95,1.3,1.25,1.61,1.36,1.33,1.72,2,1.66,2.1,1.05,11,1.05,11,,,,,1.25,3.75,1.25,3.75,1.36,2.99,1.33,2.71,1.85,1.95,1.85,1.95,2.38,1.54,2.25,1.53,3,1.36,3,1.36,4.74,1.14,4.80,1.13,6,1.12,6,1.12,7.4,1.02,7.4,1.02,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.85,1.4,3.3,1.32,2.2,1.65,5,1.17,1.67,2.15,7,1.1,1.37,3,9.4,1.04,1.21,4.25,,,1.1,6.8,,,,,11,8,9.5,17,12,6.5,8.5,15,21,13,13,23,41,29,34,41,34,34,41,81,101,67,81,126,201,51,49,7,1,58,51,35,26,4,1,3,0,,,,,,,10,8,,,4,2,,,0,3,,,2,2,,,,,6,13,43,57,10,5,107,111,69,71,5,3,5,2,,,,,,,,,25,10,,,5,4,,,0,3,,,5,3,1,0,,,21,19
2,2019-01-05,17:30,PERU - LIGA 1,2019,U. de Deportes,Sport Huancayo,APERTURA ,1,1,1,1,2.25,2.3,5,2.4,2.3,4.33,1.36,3,1.33,3.25,,,,,2.62,1.44,2.50,1.50,,,,,7,1.1,6.50,1.11,1.57,3.6,5.5,1.8,3.5,4,1.14,1.28,2.25,1.22,1.28,1.9,1.8,1.9,1.61,2.2,1.05,11,1.04,13.00,1.05,7.6,1.03,9.10,1.25,3.75,1.20,4.33,1.39,2.86,1.29,3.30,1.8,2,1.67,2.15,2.32,1.57,2.04,1.67,3,1.36,2.62,1.44,4.4,1.17,3.70,1.23,5.5,1.14,5.00,1.16,6.55,1.04,6.70,1.03,13,1.04,10.00,1.06,,,,,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.25,3.8,1.42,2.75,1.2,4.4,1.8,2,1.1,6.8,2.37,1.55,,,3.3,1.32,,,4.8,1.17,,,6.8,1.1,,,11,15,29,51,7.5,7,17,41,8,8,15,41,12,13,23,51,151,101,101,151,23,26,41,81,301,58,42,9,6,70,51,52,24,4,2,5,4,,,,,,,5,12,,,1,1,,,1,3,,,1,3,,,,,3,8,59,41,13,13,147,101,97,62,5,5,8,8,,,,,,,,,11,27,,,4,5,,,4,4,,,1,6,,,,,7,19
3,2019-01-06,13:00,PERU - LIGA 1,2019,Pirata,Ayacucho,APERTURA ,0,1,3,1,2.75,2.2,4,3.2,2.1,3.4,1.4,2.75,1.4,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,1.95,3.4,3.6,2.4,3.4,2.6,1.28,1.3,1.8,1.5,1.3,1.53,1.72,2,1.8,1.9,1.06,10,1.06,10,1.08,6.15,1.08,8.10,1.28,3.5,1.30,3.40,1.49,2.51,1.48,2.36,1.95,1.85,2.00,1.80,2.6,1.46,2.58,1.36,3.4,1.3,3.50,1.28,4.84,1.14,5.25,1.16,6.5,1.11,7.00,1.10,13,1.03,13,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.42,1.8,2,1.4,2.85,2.37,1.55,1.22,4.1,3.45,1.3,1.1,6.8,5,1.17,1.04,9.3,6.25,1.1,,,,,,,10,11,19,41,7.5,6.5,12,29,9.5,8.5,15,34,17,17,26,51,81,67,81,126,41,34,51,101,301,50,50,7,4,67,55,53,36,4,3,3,1,,,,,,,10,6,,,3,2,,,2,4,,,0,1,,,,,7,10,47,53,18,7,124,93,103,64,10,3,8,4,,,,,,,,,23,9,,,6,3,,,2,7,,,3,2,1,0,,,14,17
4,2019-01-06,17:00,PERU - LIGA 1,2019,Binacional,Sport Boys,APERTURA ,1,0,2,0,1.61,2.75,9.5,1.61,2.75,9.5,1.25,3.75,1.25,3.75,,,,,2.2,1.61,2.2,1.61,,,,,5,1.16,5,1.16,1.2,5.5,12,1.2,6,11,1.05,1.14,4.33,1.05,1.12,4.33,2.1,1.66,2.1,1.66,1.03,15,1.02,17.00,1.02,9.9,1.01,11.00,1.16,5,1.14,5.50,1.24,3.8,1.27,3.74,1.6,2.3,1.50,2.50,1.83,1.91,1.76,1.96,2.37,1.53,2.20,1.61,3.14,1.3,3.03,1.38,4,1.22,3.75,1.25,6.8,1.1,6.15,1.13,8,1.08,8,1.08,13,1.02,13,1.02,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,1.03,9.2,1.13,5.9,,,1.25,3.8,,,1.5,2.5,,,1.88,1.93,,,2.42,1.52,,,3.3,1.32,,,15,34,67,301,7,11,41,101,6.5,8.5,23,81,7.5,11,26,81,201,201,351,351,11,17,41,101,201,55,45,9,3,73,43,55,19,1,1,8,2,,,,,,,9,9,,,6,0,,,1,0,,,0,2,,,,,6,7,49,51,19,10,117,95,90,51,4,2,15,8,,,,,,,,,22,18,,,6,1,,,2,2,,,2,5,1,0,,,15,17
5,2019-01-06,19:45,PERU - LIGA 1,2019,Carlos Mannucci,AD Cantolao,APERTURA ,0,0,1,2,2.75,2.1,4,2.75,2.1,4.33,1.44,2.62,1.44,2.62,,,,,3,1.36,3.25,1.33,,,,,9,1.07,9,1.07,2,3.4,3.8,2,3.2,3.6,1.28,1.33,1.83,1.28,1.36,1.72,1.83,1.83,1.83,1.83,1.07,9,1.07,9,1.1,5.6,1.09,7.30,1.33,3.25,1.33,3.25,1.53,2.41,1.51,2.29,2.05,1.75,2.05,1.75,2.7,1.43,2.7,1.46,3.5,1.28,3.5,1.28,5.05,1.13,5.85,1.14,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,1.77,2.02,1.37,3,2.37,1.55,1.2,4.4,3.45,1.3,1.1,6.8,5.25,1.16,1.03,9.6,6.6,1.09,,,,,,,9,10,19,41,7,6.5,13,29,9,9,15,41,17,17,29,51,101,67,81,151,41,41,51,126,351,43,57,1,2,44,59,26,38,1,0,0,2,,,,,,,12,7,,,2,2,,,0,1,,,0,1,,,,,12,10,48,52,8,8,88,103,69,67,4,5,4,3,,,,,,,,,22,19,,,7,5,,,3,3,,,2,5,1,0,,,19,22
6,2019-01-06,22:00,PERU - LIGA 1,2019,FBC Melgar,Cesar Vallejo,APERTURA ,0,1,1,2,1.9,2.4,6.5,1.9,2.5,6.5,1.33,3.25,1.30,3.40,,,,,2.5,1.5,2.5,1.5,,,,,6.5,1.11,6.00,1.12,1.4,4.2,7,1.4,4.2,7,1.1,1.22,2.75,1.1,1.22,2.75,1.83,1.83,1.83,1.83,1.04,13,1.04,13,1.04,8.1,1.03,9.40,1.2,4.33,1.2,4.33,1.35,3.04,1.37,3.14,1.7,2.1,1.65,2.20,2.2,1.63,2.01,1.72,2.62,1.44,2.62,1.44,4.04,1.19,3.68,1.28,5,1.16,4.50,1.18,9.2,1.06,8.10,1.08,11,1.05,10.00,1.06,,,,,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,1.14,5.75,1.27,3.55,1.11,6.4,1.5,2.5,1.05,8.7,1.9,1.9,,,2.42,1.52,,,3.45,1.3,,,4.65,1.18,,,13,19,41,81,7,8.5,21,51,7,8.5,19,51,9.5,12,26,51,351,151,151,201,17,21,41,101,351,51,49,7,7,58,57,41,31,1,3,6,4,,,,,,,6,5,,,3,1,,,2,1,,,2,1,,,,,10,14,58,42,17,9,120,112,103,62,8,4,9,5,,,,,,,,,13,13,,,12,1,,,2,7,,,3,1,,,,,21,38
7,2019-01-09,15:15,PERU - LIGA 1,2019,Pirata,Carlos Mannucci,CLAUSURA ,0,0,0,0,2.75,2.2,4,3,2.2,3.5,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.95,3.5,3.2,2.25,3.4,2.75,1.33,1.25,1.72,1.36,1.28,1.53,1.8,1.9,1.72,2,1.05,11,1.05,11,1.06,6.8,1.06,7.40,1.28,3.5,1.28,3.5,1.48,2.54,1.42,2.67,1.95,1.85,1.90,1.90,2.6,1.46,2.47,1.48,3.4,1.3,3.25,1.33,4.94,1.13,4.80,1.14,6.5,1.11,6.5,1.11,8.9,1.03,8.40,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.6,2.28,1.8,2,1.45,2.7,2.55,1.48,1.24,3.9,3.85,1.25,1.1,6.05,5.6,1.14,1.05,8.7,,,,,,,,,11,10,17,34,7.5,7,11,26,10,9,15,34,19,17,26,51,81,51,67,126,41,41,51,101,301,56,44,5,5,50,46,42,33,2,0,3,5,,,,,,,10,6,,,4,2,,,0,2,,,,,,,,,8,6,50,50,6,10,97,105,82,104,3,2,3,8,,,,,,,,,20,18,,,6,8,,,2,3,,,1,2,,,,,23,13
8,2019-01-09,18:00,PERU - LIGA 1,2019,Dep. Municipal,Alianza Lima,CLAUSURA ,0,1,2,2,3.5,2.3,2.87,3.25,2.2,3.2,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,3,3.4,2.3,2.6,3.3,2.4,1.57,1.3,1.36,1.5,1.3,1.44,1.72,2,1.72,2,1.06,10,1.05,11.00,1.06,6.7,1.06,7.40,1.28,3.5,1.28,3.5,1.49,2.51,1.42,2.66,1.95,1.85,1.90,1.90,2.65,1.45,2.49,1.48,3.4,1.3,3.25,1.33,5,1.13,4.80,1.14,6.5,1.11,6.5,1.11,9,1.03,8.50,1.03,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.2,1.65,2.6,1.46,1.81,1.95,3.8,1.25,1.43,2.75,5.1,1.14,1.22,4.2,7.2,1.07,1.12,6.1,,,,,,,,,10,8,11,21,10,6.5,9,19,15,11,13,29,34,23,34,51,41,41,51,101,67,51,67,126,251,57,43,0,3,55,68,41,41,0,1,0,2,,,,,,,12,12,,,4,5,,,0,0,,,1,1,,,,,9,9,56,44,7,5,121,113,84,66,2,2,5,3,,,,,,,,,18,31,,,5,6,,,0,0,,,3,4,,,,,19,21
9,2019-01-11,17:30,PERU - LIGA 1,2019,Cajamarca,Union Comercio,CLAUSURA ,0,1,2,1,2.5,2.2,4.75,2.4,2.2,5,1.4,2.75,1.4,2.75,,,,,3,1.36,2.75,1.40,,,,,8,1.08,8,1.08,1.7,3.3,4.5,1.72,3.3,4.5,1.16,1.3,2,1.16,1.3,1.9,1.83,1.83,1.8,1.9,1.07,9.5,1.06,10.00,1.07,6.55,1.06,6.90,1.3,3.4,1.28,3.50,1.5,2.46,1.40,2.64,2,1.8,1.95,1.85,2.7,1.43,2.51,1.44,3.5,1.28,3.25,1.33,5.2,1.12,4.90,1.13,7,1.1,6.50,1.11,9.3,1.02,8.80,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.35,3.03,1.56,2.33,1.28,3.48,2.06,1.81,1.15,5,2.79,1.41,,,3.78,1.24,,,5.55,1.12,,,7.7,1.06,,,9.5,12,23,51,6.5,6.5,15,41,8,8.5,17,41,15,15,29,51,126,81,101,151,29,34,51,101,301,45,55,1,1,68,43,57,27,1,1,0,0,,,,,,,15,8,,,5,2,,,0,1,,,3,2,,,,,8,17,48,52,3,1,130,111,99,62,3,1,0,0,,,,,,,,,22,13,,,9,2,,,0,1,,,4,2,,,,,24,30
10,2019-01-11,19:45,PERU - LIGA 1,2019,AD Cantolao,Pirata,CLAUSURA ,2,0,3,0,2.4,2.25,4.33,2.25,2.25,5.5,1.36,3,1.36,3,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,7,1.1,1.72,3.6,4.75,1.61,3.6,4.75,1.18,1.28,2,1.16,1.25,2.1,1.72,2,1.83,1.83,1.05,12,1.05,11.00,1.03,8.3,1.05,7.40,1.25,3.75,1.25,3.75,1.4,2.82,1.36,2.80,1.8,2,1.85,1.95,2.4,1.53,2.37,1.49,3,1.36,3.25,1.33,4.6,1.15,4.50,1.15,5.5,1.14,6.00,1.12,8.4,1.03,8.20,1.04,13,1.04,13,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.34,3.1,1.55,2.38,1.28,3.55,1.95,1.85,1.16,4.94,2.8,1.41,,,4.1,1.21,,,6.3,1.1,,,8.9,1.05,,,12,13,21,41,8,7,15,34,9,8.5,15,34,15,15,23,41,101,67,81,101,29,29,41,81,201,45,55,4,2,53,65,37,47,3,1,1,1,,,,,,,16,11,,,4,3,,,1,1,,,1,0,,,,,8,12,46,54,12,7,106,132,74,98,5,2,7,5,,,,,,,,,31,23,,,7,6,,,2,2,,,2,1,,,,,18,15
