Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,10:00,POLAND - EKSTRAKLASA,2019/2020,Slask Wroclaw,Pogon Szczecin,ROUND 7,1,1,1,1,2.75,2.1,4,3,2.1,3.6,1.44,2.62,1.40,2.75,,,,,3.25,1.33,3.00,1.36,,,,,9,1.07,9,1.07,2.05,3.4,3.6,2.25,3.4,3.1,1.28,1.3,1.72,1.36,1.3,1.57,1.95,1.8,1.8,1.95,1.07,9,1.06,10.00,1.09,6.05,1.06,7.80,1.36,3,1.30,3.40,1.62,2.27,1.41,2.69,2.1,1.7,2.05,1.75,3.1,1.36,2.46,1.48,3.75,1.25,3.50,1.28,5.95,1.1,5.00,1.15,8,1.08,7.00,1.10,10,1.01,10,1.03,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.55,2.37,1.85,2,1.4,2.85,2.42,1.52,1.22,4.15,3.7,1.26,1.1,7,5.5,1.15,1.06,8.9,10,1.06,,,,,,,9,9,17,41,6.5,6.5,12,29,9.5,9,15,41,19,19,29,51,81,67,101,151,41,41,51,126,451,47,53,3,4,57,70,20,42,2,3,1,1,,,,,,,,,,,2,0,1,1,2,1,6,1,,,,,,,,,40,60,7,11,100,144,59,83,3,3,4,8,,,,,,,,,,,,,4,0,2,2,2,2,17,12,0,2,,,,,,
2,2019-01-09,12:30,POLAND - EKSTRAKLASA,2019/2020,Lech Poznan,Cracovia,ROUND 7,0,1,1,2,2.62,2.3,3.75,2.5,2.2,4.33,1.33,3.25,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,8.00,1.08,2,3.6,3.5,1.85,3.4,4.33,1.28,1.28,1.72,1.2,1.3,1.83,1.66,2.1,1.8,1.95,1.04,13,1.06,10.00,1.05,8.1,1.06,7.80,1.22,4,1.28,3.50,1.37,3.04,1.42,2.67,1.72,2.07,1.95,1.85,2.25,1.63,2.47,1.48,2.75,1.4,3.25,1.33,4.14,1.19,5.00,1.15,5.5,1.14,6.50,1.11,7.5,1.05,10.00,1.03,11,1.05,15.00,1.03,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.3,3.45,2.1,1.7,1.17,5,2.85,1.4,1.1,7,4,1.23,,,6.25,1.12,,,,,,,13,12,19,41,8.5,7,12,26,10,8.5,13,29,19,15,23,41,81,51,67,101,41,34,41,81,201,65,35,6,4,51,38,34,24,1,2,5,2,,,,,,,,,,,5,2,1,0,1,1,7,6,0,2,,,,,,,59,41,13,13,87,71,73,42,2,8,11,5,,,,,,,,,,,,,11,4,2,0,6,1,13,11,0,5,,,,,,
3,2019-01-09,15:00,POLAND - EKSTRAKLASA,2019/2020,Legia,Rakow,ROUND 7,2,0,3,1,2.25,2.3,4.75,2.05,2.37,6,1.36,3,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,6.50,1.11,1.65,4,4.75,1.45,4.5,6.5,1.18,1.22,2.2,1.11,1.18,2.62,1.8,1.95,1.95,1.8,1.05,12,1.04,13.00,1.05,7.8,1.05,8.50,1.25,3.75,1.25,3.75,1.4,2.9,1.38,2.9,1.8,2,1.75,2.05,2.35,1.58,2.25,1.57,3,1.36,2.75,1.40,4.4,1.17,4.50,1.18,6,1.12,5.50,1.14,7.8,1.04,9.10,1.04,13,1.04,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.3,3.45,1.5,2.5,1.25,3.8,1.9,1.95,1.13,5.9,2.5,1.5,1.03,15,3.45,1.3,,,5.5,1.15,,,6.8,1.1,,,12,13,23,51,7.5,7.5,15,41,8,8,17,41,13,13,23,51,151,81,101,151,26,26,41,81,301,47,53,5,3,60,59,23,31,3,2,2,1,,,,,,,,,,,1,3,0,0,2,1,10,4,0,1,,,,,,,47,53,16,8,98,109,49,62,7,4,9,4,,,,,,,,,,,,,3,6,0,0,3,4,19,10,2,1,,,,,,
4,2019-01-12,08:30,POLAND - EKSTRAKLASA,2019/2020,Rakow,Jagiellonia,ROUND 17,0,1,2,1,3.5,2.1,3.1,3.2,2.1,3.4,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,2.9,3.3,2.37,2.3,3.4,2.7,1.53,1.33,1.4,1.4,1.28,1.53,1.75,2,1.75,2,1.06,10,1.05,11.00,1.07,6.85,1.07,7.50,1.3,3.4,1.3,3.4,1.5,2.55,1.43,2.54,2,1.8,2,1.8,2.68,1.46,2.61,1.41,3.4,1.3,3.4,1.3,5.15,1.13,5.20,1.14,7,1.1,7,1.1,9,1.03,10.50,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1.83,2.35,1.57,1.7,2.1,3.3,1.32,1.37,3,5.25,1.16,1.19,4.5,7,1.1,1.1,6.8,14,1.04,1.04,14,,,,,10,8.5,12,23,9.5,6.5,9.5,19,15,11,13,29,29,23,29,41,51,41,51,101,51,51,51,101,201,45,55,4,5,29,48,27,25,2,2,2,3,,,,,,,,,,,1,0,1,0,1,2,6,10,1,0,,,,,,,54,46,13,13,72,95,60,54,6,2,7,11,,,,,,,,,,,,,3,4,3,0,1,4,14,16,2,1,,,,,,
5,2019-01-12,11:00,POLAND - EKSTRAKLASA,2019/2020,LKS Lodz,Cracovia,ROUND 17,0,0,1,0,3.5,2.3,2.87,3.6,2.2,2.87,1.36,3,1.40,2.75,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,8,1.08,3.1,3.4,2.25,3.25,3.3,2.1,1.57,1.3,1.36,1.66,1.33,1.33,1.7,2.05,1.75,2,1.05,11,1.06,10.00,1.06,7.1,1.05,8.50,1.25,3.75,1.30,3.40,1.47,2.64,1.40,2.64,1.95,1.85,2.00,1.80,2.58,1.49,2.51,1.44,3.25,1.33,3.40,1.30,4.94,1.14,4.50,1.18,6,1.12,7.00,1.10,8.7,1.03,9.10,1.04,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.15,1.67,2.5,1.5,1.85,2,3.55,1.27,1.45,2.67,5.9,1.13,1.23,4,8.1,1.07,1.13,5.9,,,1.06,11,,,,,11,8.5,11,21,10,6.5,9,17,15,11,13,26,34,23,29,41,41,41,51,81,67,51,51,101,201,59,41,5,4,65,55,39,40,1,2,4,2,,,,,,,,,,,1,3,0,1,2,1,6,7,1,0,,,,,,,57,43,13,10,115,104,73,95,3,3,10,7,,,,,,,,,,,,,5,11,0,1,3,2,15,19,3,1,,,,,,
6,2019-01-12,13:30,POLAND - EKSTRAKLASA,2019/2020,Wisla,Lechia Gdansk,ROUND 17,0,1,0,1,3.5,2.25,2.87,3.5,2.25,2.87,1.33,3.25,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,3,3.6,2.2,3,3.5,2.1,1.61,1.28,1.36,1.61,1.25,1.33,1.61,2.2,1.66,2.1,1.04,13,1.04,13,1.05,8.1,1.04,9.50,1.22,4,1.22,4,1.37,3.04,1.38,2.70,1.75,2.05,1.75,2.05,2.25,1.63,2.44,1.46,2.75,1.4,2.75,1.4,4.14,1.19,4.00,1.22,5.5,1.14,5.5,1.14,7.5,1.05,7.90,1.06,11,1.05,11,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,2.15,1.67,2.5,1.5,1.85,2,3.45,1.3,1.47,2.6,5.5,1.15,1.25,3.8,7.6,1.08,1.14,5.75,,,1.07,9.5,,,,,13,9.5,12,21,11,7,9,17,15,11,13,23,29,21,29,41,41,34,41,81,51,41,51,81,151,62,38,8,6,47,44,44,31,1,3,7,3,,,,,,,,,,,3,1,2,0,2,1,4,10,0,1,,,,,,,61,39,11,9,90,78,82,73,1,4,10,5,,,,,,,,,,,,,6,9,2,1,3,1,16,17,1,4,,,,,,
7,2019-02-08,13:00,POLAND - EKSTRAKLASA,2019/2020,Arka Gdynia,Korona Kielce,ROUND 3,0,1,1,1,3.25,2.05,3.5,3.25,2.05,3.5,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,10,1.06,10,1.06,2.45,3.3,2.8,2.5,3.25,2.8,1.4,1.33,1.53,1.4,1.33,1.5,1.95,1.8,1.9,1.9,1.08,8.5,1.08,8.5,1.1,5.75,1.1,6.30,1.36,3,1.36,3,1.67,2.16,1.57,2.23,2.25,1.61,2.15,1.66,3.26,1.33,3.10,1.34,4,1.22,4,1.22,6.4,1.08,6.4,1.10,9,1.07,9,1.07,10.5,1.01,12.50,1.01,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.98,2.2,1.65,1.6,2.3,3.1,1.35,1.32,3.3,5,1.17,1.15,5.5,7,1.1,1.08,8.5,15,1.03,1.03,16,,,,,8.5,7.5,13,29,7,6,10,23,11,10,17,34,26,21,34,51,67,51,81,151,51,51,67,151,451,45,55,9,6,52,38,34,32,0,2,9,4,,,,,,,,,,,3,0,2,1,1,0,7,10,0,3,,,,,,,50,50,17,10,98,77,77,66,2,3,15,7,,,,,,,,,,,,,6,1,2,4,2,1,17,19,1,6,,,,,,
8,2019-02-08,15:30,POLAND - EKSTRAKLASA,2019/2020,Zaglebie,Jagiellonia,ROUND 3,0,1,2,2,3.1,2.1,3.5,3.2,2.1,3.4,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,2.4,3.3,2.9,2.45,3.25,2.87,1.4,1.33,1.53,1.4,1.33,1.53,1.75,2,1.75,2,1.06,10,1.06,10,1.07,6.7,1.06,7.80,1.3,3.4,1.28,3.50,1.49,2.5,1.38,2.77,2,1.8,2,1.8,2.75,1.44,2.49,1.46,3.5,1.28,3.40,1.30,5.3,1.12,5.00,1.15,7,1.1,7,1.1,9.2,1.02,10.00,1.03,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.07,2.1,1.77,1.52,2.42,2.85,1.4,1.27,3.55,4.25,1.21,1.14,5.75,6.25,1.12,1.08,7.5,11.5,1.05,,,,,,,10,9,15,29,8,6,11,23,12,9.5,13,34,23,19,29,51,67,51,67,126,51,41,51,101,301,43,57,10,6,34,49,30,40,3,2,7,4,,,,,,,,,,,4,5,0,2,1,3,4,2,0,1,,,,,,,45,55,19,14,78,98,78,79,7,7,12,7,,,,,,,,,,,,,8,7,1,4,5,5,14,11,1,1,,,,,,
9,2019-02-11,11:00,POLAND - EKSTRAKLASA,2019/2020,Korona Kielce,Zaglebie,ROUND 14,1,0,1,0,3.4,2.2,3.1,3.4,2.25,3,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.62,1.44,,,,,8,1.08,7.00,1.10,2.7,3.5,2.45,2.87,3.5,2.3,1.53,1.28,1.44,1.57,1.28,1.4,1.75,2,1.61,2.2,1.05,11,1.05,12.00,1.09,6.1,1.05,8.50,1.28,3.5,1.25,3.75,1.52,2.5,1.34,2.92,2.05,1.75,1.75,2.05,2.68,1.46,2.29,1.52,3.4,1.3,2.75,1.40,5.05,1.13,4.50,1.19,6.5,1.11,5.50,1.14,8.7,1.03,9.00,1.04,15,1.03,11.00,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,1.98,1.88,2.25,1.62,1.67,2.15,3.1,1.35,1.37,3,5,1.17,1.18,4.65,7.1,1.09,1.1,7,,,1.04,14,,,,,11,8.5,12,23,9,6.5,9.5,21,13,10,15,29,26,21,29,51,51,41,51,101,51,41,51,101,201,41,59,8,1,30,41,25,30,2,0,6,1,,,,,,,,,,,2,2,1,0,0,1,5,9,0,1,,,,,,,35,65,12,8,70,88,57,65,5,1,7,7,,,,,,,,,,,,,3,3,3,1,1,4,20,15,3,3,,,,,,
10,2019-02-11,13:30,POLAND - EKSTRAKLASA,2019/2020,Cracovia,Lechia Gdansk,ROUND 14,0,0,1,0,3,2.1,3.6,3.1,2.05,3.6,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,9.00,1.07,2.25,3.2,3.3,2.3,3.2,3.1,1.33,1.36,1.57,1.36,1.36,1.57,1.7,2.05,1.8,1.95,1.06,10,1.07,9.50,1.07,6.9,1.09,6.60,1.28,3.5,1.30,3.40,1.46,2.68,1.51,2.31,1.95,1.85,2.07,1.72,2.52,1.51,3.00,1.38,3.25,1.33,3.50,1.28,4.8,1.14,6.60,1.11,6.5,1.11,7.00,1.10,8.4,1.03,12.00,1.01,13,1.04,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.2,2.02,1.83,1.47,2.6,2.75,1.42,1.26,3.7,4.1,1.22,1.13,5.9,5.9,1.13,1.07,8.1,11.5,1.05,,,,,,,10,11,17,34,8.5,6,12,23,12,9.5,13,34,21,19,26,41,67,51,67,101,41,41,51,81,201,55,45,8,5,50,47,30,27,2,1,6,4,,,,,,,,,,,0,1,0,3,1,2,9,14,,,,,,,,,52,48,11,6,84,95,79,56,5,2,6,4,,,,,,,,,,,,,4,5,2,5,2,4,14,24,1,2,,,,,,
