Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,07:15,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Estoril,Varzim,ROUND 4,0,1,3,1,2.62,2.1,4.33,2.37,2.2,5,1.44,2.62,1.40,2.75,,,,,3.25,1.33,3.00,1.36,,,,,9,1.07,9,1.07,1.85,3.2,4,1.66,3.4,4.5,1.2,1.33,1.8,1.16,1.28,2,1.9,1.8,1.9,1.8,1.08,8.5,1.07,9.50,1.09,5.9,1.07,6.55,1.36,3,1.33,3.25,1.62,2.25,1.52,2.46,2.15,1.66,2.00,1.80,3.03,1.36,2.74,1.43,3.75,1.25,3.50,1.28,5.9,1.09,5.25,1.12,8,1.08,7.00,1.10,,,,,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.37,3,1.62,2.25,1.3,3.45,2.15,1.67,1.15,5.5,3.1,1.35,,,4.4,1.2,,,7,1.1,,,,,,,8.5,10,21,41,6.5,6.5,15,34,8.5,9,17,41,17,17,29,51,126,81,101,201,34,41,51,126,201,46,54,2,2,40,39,48,35,1,1,1,1,,,,,,,10,10,,,3,5,,,0,1,9,7,3,0,,,,,9,18,47,53,6,7,90,86,68,95,4,4,2,3,,,,,,,,,22,20,,,3,8,,,3,1,21,17,4,4,2,0,,,19,32
2,2019-01-09,12:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Mafra,Academica,ROUND 4,0,0,1,0,3.2,2.05,3.5,3.1,2.05,3.6,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,10,1.06,9.00,1.07,2.37,3.1,2.75,2.3,3,2.87,1.36,1.33,1.5,1.36,1.33,1.53,1.83,1.83,1.83,1.83,1.08,8.5,1.08,8.5,1.09,5.9,1.08,6.15,1.36,3,1.36,3,1.62,2.25,1.58,2.32,2.15,1.66,2.07,1.72,3.03,1.36,2.94,1.38,3.75,1.25,3.75,1.25,5.9,1.09,5.65,1.10,9,1.07,8.00,1.08,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2.13,2.05,1.75,1.52,2.42,2.85,1.4,1.27,3.55,4.4,1.2,1.13,5.9,6.6,1.11,1.1,6.8,,,,,,,,,8.5,8,13,29,7.5,6,11,23,11,10,15,34,23,21,34,51,67,51,81,151,51,51,67,151,351,49,51,5,6,49,54,38,29,3,4,2,2,,,,,,,14,8,,,1,2,,,4,3,11,8,1,2,,,,,8,13,51,49,9,9,98,104,71,64,3,4,6,5,,,,,,,,,30,16,,,3,2,,,4,3,23,18,2,4,1,0,,,17,24
3,2019-01-09,12:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Oliveirense,SC Farense,ROUND 4,0,0,0,1,3.4,2.1,3.25,3.2,2.1,3.5,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.00,1.36,,,,,9,1.07,9,1.07,2.8,3.2,2.4,2.37,3.1,2.7,1.5,1.36,1.44,1.4,1.33,1.5,1.8,1.9,1.8,1.9,1.07,9,1.07,9.50,1.08,6.35,1.07,6.55,1.33,3.25,1.33,3.25,1.55,2.39,1.52,2.46,2.05,1.75,2.00,1.80,2.82,1.41,2.74,1.43,3.75,1.25,3.50,1.28,5.4,1.11,5.25,1.12,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.05,1.8,2.37,1.55,1.7,2.1,3.45,1.3,1.37,3,5.5,1.15,1.19,4.5,,,1.11,6.6,,,,,,,,,9,8,12,26,8,6,10,21,13,10,15,34,26,23,34,51,51,51,67,126,51,51,67,126,351,51,49,5,13,42,49,30,37,3,2,2,11,,,,,,,9,6,,,1,4,,,2,3,8,5,2,1,,,,,21,10,52,48,13,19,100,103,74,68,5,3,8,16,,,,,,,,,20,14,,,4,4,,,2,5,19,13,5,4,,,,,36,28
4,2019-01-09,14:15,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Academico Viseu,Covilha,ROUND 4,1,1,1,3,3.25,1.95,3.75,3,2.05,3.75,1.57,2.25,1.50,2.50,,,,,3.75,1.25,3.40,1.30,,,,,11,1.05,10.00,1.06,2.37,3.1,2.8,2.2,3.1,3,1.36,1.33,1.5,1.33,1.33,1.57,2.1,1.66,1.9,1.8,1.1,7,1.08,8.50,1.14,4.8,1.10,5.70,1.5,2.5,1.36,3.00,1.88,1.88,1.66,2.17,2.5,1.5,2.20,1.65,3.86,1.24,3.20,1.33,5,1.16,4.00,1.22,7.6,1.05,6.20,1.08,11,1.05,9.00,1.07,,,,,26,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.72,2.07,2.13,1.75,1.52,2.42,3,1.37,1.27,3.55,4.65,1.18,1.12,6.25,7,1.1,,,,,,,,,,,7,7,13,34,6,6,11,29,10,10,19,41,23,23,41,81,81,67,101,251,51,51,81,201,201,57,43,5,2,56,38,50,20,3,2,2,0,,,,,,,9,14,,,5,1,,,1,2,5,12,0,1,,,,,9,28,57,43,9,5,134,93,106,48,5,5,4,0,,,,,,,,,18,23,,,7,4,,,2,4,13,21,2,4,1,0,,,20,47
5,2019-01-09,14:15,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Chaves,Penafiel,ROUND 4,1,0,2,1,2.37,2.2,5,2.5,2.1,4.75,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,1.66,3.4,4.5,1.8,3.25,4,1.16,1.28,2,1.2,1.3,1.83,1.9,1.8,1.9,1.8,1.07,9.5,1.07,9.5,1.06,6.7,1.07,6.55,1.3,3.4,1.3,3.4,1.5,2.52,1.52,2.46,2,1.8,2,1.8,2.7,1.44,2.74,1.43,3.5,1.28,3.5,1.28,5.1,1.12,5.25,1.12,7,1.1,7,1.1,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.3,3.45,2.15,1.73,1.17,5,3,1.37,,,4.15,1.22,,,6.6,1.11,,,,,,,9.5,12,23,51,6.5,7,15,41,7.5,8.5,17,41,13,15,29,51,151,101,126,201,29,29,51,126,351,64,36,3,7,56,33,36,37,1,1,2,6,,,,,,,14,3,,,4,2,,,1,0,14,4,0,1,,,,,16,15,59,41,9,13,104,85,76,80,4,3,5,10,,,,,,,,,25,15,,,6,4,,,2,2,24,16,2,1,,,,,37,31
6,2019-01-12,08:15,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Casa Pia,Nacional,ROUND 11,0,1,0,1,4.33,2.2,2.5,3.4,2.1,3.4,1.36,3,1.44,2.62,,,,,2.75,1.4,3.25,1.33,,,,,8,1.08,9.00,1.07,4,3.6,1.8,2.5,3.2,2.5,1.9,1.28,1.22,1.44,1.33,1.44,1.8,1.9,1.8,1.9,1.05,11,1.07,9.50,1.05,7.3,1.08,6.60,1.28,3.5,1.33,3.25,1.44,2.72,1.49,2.37,1.9,1.9,2.05,1.75,2.52,1.5,2.80,1.38,3.25,1.33,3.75,1.25,4.74,1.14,5.60,1.11,6.5,1.11,8.00,1.08,,,,,13,1.04,17.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.85,1.4,3.3,1.32,2.25,1.62,5,1.17,1.7,2.1,7,1.1,1.37,3,,,1.22,4.15,,,1.11,6.6,,,,,11,7.5,9,15,11,7,8.5,15,21,13,15,26,41,34,41,51,34,29,41,81,101,67,81,126,251,44,56,3,6,51,61,38,46,1,1,2,5,,,,,,,8,11,,,3,6,,,0,1,9,9,0,1,,,,,11,8,45,55,9,15,86,112,85,93,2,3,7,12,,,,,,,,,18,18,,,9,12,,,2,2,17,15,4,3,,,,,19,17
7,2019-01-12,12:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Benfica B,Mafra,ROUND 11,0,1,2,2,3,2.1,3.5,2.75,2.1,4,1.4,2.75,1.44,2.62,,,,,3,1.36,3.25,1.33,,,,,8,1.08,9.00,1.07,2.3,3.25,2.9,2,3.25,3.25,1.4,1.33,1.57,1.3,1.3,1.66,1.8,1.9,1.83,1.83,1.07,9.5,1.07,9.00,1.08,6.35,1.08,6.30,1.3,3.4,1.33,3.25,1.54,2.42,1.53,2.27,1.9,1.9,2.10,1.70,2.82,1.41,2.90,1.36,3.5,1.28,3.75,1.25,5.4,1.11,5.80,1.10,7,1.1,8.00,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.1,2.07,1.72,1.55,2.37,2.85,1.4,1.3,3.45,4.25,1.21,1.16,5.25,6.25,1.12,,,,,,,,,,,9.5,9,15,29,8,6.5,11,23,11,9.5,15,34,21,19,29,51,51,51,67,101,41,41,51,101,251,58,42,1,8,54,54,35,35,0,2,1,6,,,,,,,11,12,,,5,5,,,1,0,11,9,1,0,,,,,10,12,52,48,8,15,104,120,77,74,4,4,4,11,,,,,,,,,23,19,,,8,6,,,2,2,21,15,3,0,,,,,29,21
8,2019-01-12,12:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,FC Porto B,CD Cova da Piedade,ROUND 11,2,0,4,1,2.6,2.2,4,2.62,2.1,4.33,1.36,3,1.44,2.62,,,,,2.75,1.4,3.25,1.33,,,,,7,1.1,9.00,1.07,1.9,3.4,3.5,1.9,3.25,3.5,1.25,1.28,1.72,1.25,1.3,1.72,1.72,2,1.83,1.83,1.05,11,1.07,9.50,1.06,6.9,1.08,6.60,1.28,3.5,1.33,3.25,1.47,2.61,1.49,2.37,1.9,1.9,2.05,1.75,2.57,1.48,2.80,1.38,3.25,1.33,3.75,1.25,4.9,1.14,5.60,1.11,6.5,1.11,8.00,1.08,,,,,13,1.04,17.00,1.02,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.4,2.85,1.65,2.2,1.32,3.3,2.15,1.67,1.17,4.8,3,1.37,1.11,6.6,4.25,1.21,,,6.8,1.1,,,,,,,11,11,19,41,8,7,13,29,9.5,9,15,34,17,15,26,51,81,67,67,101,34,34,41,81,201,53,47,6,3,37,25,46,28,3,2,3,1,,,,,,,11,9,,,4,1,,,2,1,10,9,1,3,,,,,10,10,52,48,17,7,74,58,86,65,9,6,8,1,,,,,,,,,22,19,,,8,3,,,5,5,20,18,2,3,,,,,18,24
9,2019-02-11,08:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Covilha,Penafiel,ROUND 9,0,0,0,0,3.1,2,3.75,3.1,2.05,3.75,1.5,2.5,1.44,2.62,,,,,3.5,1.28,3.40,1.30,,,,,11,1.05,10.00,1.06,2.3,3.3,2.8,2.25,3.25,2.75,1.4,1.33,1.57,1.36,1.3,1.53,2.1,1.66,1.9,1.8,1.08,8,1.08,8.50,1.12,5.25,1.10,5.60,1.44,2.62,1.40,2.75,1.76,2.02,1.59,2.14,2.35,1.57,2.20,1.65,3.48,1.29,3.26,1.32,4.5,1.18,4.00,1.22,6.75,1.06,6.30,1.08,10,1.06,9.00,1.07,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.61,2.25,2.05,1.8,1.45,2.7,2.7,1.43,1.23,4,4.3,1.21,1.09,6.9,6.5,1.11,,,,,,,,,,,8,7.5,13,34,6.5,6.5,11,29,10,10,19,41,21,21,41,67,67,67,81,151,51,51,67,151,351,57,43,5,2,60,55,39,27,2,0,3,2,,,,,,,7,11,,,3,0,,,0,2,7,8,0,1,,,,,18,16,59,41,12,4,137,109,83,54,4,0,8,4,,,,,,,,,12,17,,,7,2,,,0,4,12,13,0,3,,,,,39,44
10,2019-02-11,12:00,PORTUGAL - LIGA PORTUGAL 2,2019/2020,Casa Pia,Vilafranquense,ROUND 9,0,2,3,2,3.25,1.95,3.75,3.4,2.05,3.5,1.5,2.5,1.5,2.5,,,,,3.5,1.28,3.40,1.30,,,,,11,1.05,10.00,1.06,2.3,3.1,3,2.45,3.1,2.62,1.36,1.36,1.57,1.4,1.33,1.5,2,1.72,1.83,1.83,1.1,7,1.08,8.50,1.14,4.84,1.10,5.65,1.5,2.5,1.36,3.00,1.84,1.92,1.59,2.15,2.35,1.57,2.20,1.65,3.78,1.25,3.20,1.33,5,1.16,4.00,1.22,7.2,1.06,6.20,1.08,11,1.05,9.00,1.07,,,,,23,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.15,2,1.77,1.49,2.55,2.88,1.4,1.25,3.8,4.6,1.19,1.12,5.8,7,1.1,,,,,,,,,,,7,7.5,13,34,6.5,6,12,29,10,10,19,41,23,23,41,67,67,67,101,201,51,51,81,151,301,47,53,3,2,64,54,30,37,3,2,0,0,,,,,,,8,15,,,3,2,,,0,3,8,13,0,1,,,,,10,6,53,47,11,10,122,95,69,63,7,2,4,8,,,,,,,,,15,28,,,8,5,,,0,4,15,25,3,3,1,0,,,23,12
