Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-02-11,12:00,SCOTLAND - LEAGUE TWO,2019/2020,Brechin,FC Edinburgh,ROUND 11,0,1,2,3,5,2.3,2.05,3.75,2.2,2.62,1.33,3.25,1.36,3.00,,,,,2.5,1.5,2.62,1.44,,,,,6,1.12,7.00,1.10,6,4.2,1.5,3.3,3.6,2.05,2.5,1.22,1.11,1.72,1.28,1.33,1.8,1.9,1.66,2.1,1.01,13,1.01,12.00,1.03,8.9,1.05,7.70,1.22,4,1.25,3.75,1.29,3.5,1.34,2.89,1.65,2.2,1.80,2.00,1.98,1.79,2.29,1.52,2.62,1.44,3.00,1.36,3.48,1.25,4.24,1.18,4.5,1.16,5.00,1.14,7.2,1.07,9.00,1.04,8,1.06,8.50,1.05,,,,,12,1.01,13.00,1.01,,,,,,,,,,,,,,,,,4.1,1.22,4.5,1.19,3,1.37,6.8,1.1,2.2,1.7,7,1.1,1.67,2.15,,,1.4,2.85,,,1.22,4.1,,,1.14,5.75,13,8,8,11,17,8,8.5,12,29,17,17,23,51,41,41,51,21,23,41,81,151,81,101,126,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-02-11,12:00,SCOTLAND - LEAGUE TWO,2019/2020,Cowdenbeath,Cove Rangers,ROUND 11,1,2,1,3,5,2.5,2,4.33,2.2,2.3,1.28,3.5,1.36,3.00,,,,,2.25,1.57,2.62,1.44,,,,,5.5,1.14,7.00,1.10,6,4.33,1.5,4.2,3.75,1.8,2.5,1.2,1.11,1.9,1.25,1.22,1.66,2.1,1.72,2,1.01,15,1.01,12.00,1.03,9,1.05,7.70,1.16,4.5,1.25,3.75,1.28,3.54,1.34,2.89,1.57,2.35,1.80,2.00,1.94,1.82,2.29,1.52,2.25,1.57,3.00,1.36,3.4,1.26,4.30,1.17,4,1.22,5.00,1.14,7,1.08,9.00,1.04,7,1.08,8.50,1.05,,,,,10.5,1.02,13.00,1.01,,,,,,,,,,,,,,,,,4.4,1.2,5,1.17,3.1,1.35,7,1.1,2.25,1.62,,,1.72,2.07,,,1.42,2.75,,,1.25,3.8,,,1.15,5.5,15,9,8.5,12,21,8.5,8.5,12,34,19,15,21,51,41,41,41,21,21,34,51,126,81,81,101,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-02-11,12:00,SCOTLAND - LEAGUE TWO,2019/2020,Elgin City,Annan,ROUND 11,3,0,4,0,2.4,2.25,4,2.75,2.1,3.5,1.36,3,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,6.5,1.11,7.00,1.10,1.8,3.75,4,2.2,3.5,3.1,1.22,1.25,1.9,1.36,1.28,1.61,1.72,2,1.72,2,1.01,12,1.02,11.00,1.03,8.4,1.06,7.10,1.25,3.75,1.28,3.50,1.32,3.26,1.38,2.72,1.72,2.07,1.87,1.92,2.1,1.7,2.44,1.46,2.75,1.4,3.25,1.33,3.74,1.22,4.70,1.14,5,1.14,5.50,1.12,7.3,1.07,9.60,1.04,8.5,1.05,9.00,1.04,,,,,13,1.01,15.00,1.01,,,,,,,,,,,,,,,,,1.42,2.75,1.62,2.25,1.32,3.3,2.07,1.72,1.19,4.5,2.85,1.4,1.1,7,3.9,1.24,,,6,1.12,,,,,,,12,13,21,41,8,7.5,13,29,9.5,9,15,34,15,15,23,41,81,67,67,101,29,29,41,81,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-02-11,12:00,SCOTLAND - LEAGUE TWO,2019/2020,Stenhousemuir,Queen's Park,ROUND 11,0,1,0,3,3.25,2.2,2.87,2.62,2.2,3.6,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,3,3.4,2.3,2.1,3.4,3.4,1.57,1.3,1.36,1.3,1.3,1.66,1.66,2.1,1.66,2.1,1.02,11,1.02,11,1.05,7.7,1.05,7.60,1.25,3.75,1.25,3.75,1.42,2.78,1.33,2.92,1.85,1.95,1.80,2.00,2.44,1.53,2.27,1.53,3,1.36,2.75,1.40,4.6,1.15,4.30,1.17,5.5,1.12,5.00,1.14,9,1.04,9,1.04,9,1.04,8.50,1.05,,,,,15,1.01,13.00,1.01,,,,,,,,,,,,,,,,,2.15,1.73,2.42,1.52,1.77,2.02,3.45,1.3,1.42,2.75,5.5,1.15,1.23,4,7,1.1,1.13,5.9,7,1.1,,,,,,,11,9,12,23,10,6.5,10,19,15,11,13,26,29,21,29,41,41,41,51,81,51,41,51,81,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-02-11,12:00,SCOTLAND - LEAGUE TWO,2019/2020,Stirling,Albion Rovers,ROUND 11,0,0,3,0,2.4,2.2,4.33,2.4,2.1,4.5,1.36,3,1.44,2.62,,,,,2.75,1.4,3.25,1.33,,,,,7,1.1,9.00,1.07,1.8,3.8,4,1.8,4,3.8,1.22,1.25,1.9,1.25,1.22,1.9,1.8,1.9,2,1.72,1.02,11,1.04,9.50,1.05,7.4,1.09,6.05,1.28,3.5,1.36,3.00,1.41,2.82,1.53,2.27,1.85,1.95,2.07,1.72,2.39,1.55,2.99,1.37,3.25,1.33,3.75,1.25,4.44,1.16,5.75,1.10,5.5,1.12,7.00,1.08,10,1.03,12.00,1.01,9,1.04,10.50,1.02,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.32,3.3,2.07,1.72,1.18,4.65,2.85,1.4,1.1,7,3.9,1.24,,,6.25,1.12,,,,,,,11,11,21,41,7.5,7.5,13,29,9,9,17,34,15,15,26,51,81,67,81,126,29,29,41,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-03-08,11:00,SCOTLAND - LEAGUE TWO,2019/2020,Brechin,Annan,ROUND 1,0,0,0,1,3.4,2.1,2.87,2.87,2.25,3.1,1.4,2.75,1.33,3.25,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,6.50,1.11,3.2,3.4,2.2,2.25,3.75,2.5,1.61,1.3,1.36,1.44,1.22,1.53,1.72,2,1.66,2.1,1.02,11,1.01,15.00,1.05,7.3,1.04,9.50,1.28,3.5,1.22,4.00,1.42,2.78,1.31,3.20,1.8,2,1.70,2.10,2.44,1.53,2.16,1.62,3.25,1.33,2.75,1.40,4.54,1.15,4.00,1.22,5.5,1.12,4.50,1.16,9.6,1.04,7.90,1.06,9,1.04,8.50,1.05,,,,,15,1.01,12.00,1.01,,,,,,,,,,,,,,,,,2.25,1.68,2.6,1.47,1.82,1.97,3.55,1.27,1.45,2.67,5.75,1.14,1.25,3.8,7,1.1,1.15,5.5,7,1.1,,,,,,,11,8.5,11,21,10,6.5,9.5,19,15,11,13,26,29,23,34,41,41,41,51,101,51,51,67,101,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-03-08,11:00,SCOTLAND - LEAGUE TWO,2019/2020,Cove Rangers,FC Edinburgh,ROUND 1,3,0,5,0,2.75,2.05,3.75,2.75,2.2,3.4,1.44,2.62,1.36,3.00,,,,,3,1.36,2.62,1.44,,,,,9,1.07,7.00,1.10,2,3.5,3.6,2.1,3.75,2.7,1.28,1.28,1.72,1.4,1.22,1.61,1.83,1.83,1.72,2,1.04,9.5,1.01,13.00,1.08,6.35,1.05,8.80,1.33,3.25,1.25,3.75,1.55,2.39,1.36,3.00,2.05,1.75,1.77,2.02,2.82,1.41,2.31,1.54,3.5,1.28,3.00,1.36,5.4,1.11,4.30,1.19,6.5,1.1,5.50,1.12,11.5,1.02,8.70,1.05,10.5,1.02,9.00,1.04,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,1.57,2.35,1.88,1.98,1.42,2.75,2.42,1.52,1.23,4,3.55,1.27,1.11,6.6,5.5,1.15,1.1,6.8,,,,,,,,,9.5,9.5,15,34,7.5,6.5,12,26,10,9.5,15,34,19,19,29,51,67,51,81,126,41,41,51,101,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-03-08,11:00,SCOTLAND - LEAGUE TWO,2019/2020,Elgin City,Cowdenbeath,ROUND 1,1,0,3,0,2.5,2.25,4,2.87,2.3,3.1,1.36,3,1.30,3.40,,,,,2.62,1.44,2.50,1.50,,,,,6.5,1.11,6.00,1.12,1.9,3.6,3.75,2.25,3.75,2.5,1.25,1.28,1.8,1.44,1.22,1.53,1.66,2.1,1.57,2.25,1.01,12,1.01,15.00,1.04,7.9,1.03,10.00,1.22,4,1.20,4.33,1.36,3.04,1.28,3.50,1.75,2.05,1.65,2.20,2.24,1.62,2.05,1.69,2.75,1.4,2.62,1.44,4.1,1.19,3.90,1.23,5,1.14,4.50,1.16,8.7,1.05,7.30,1.07,8.5,1.05,8.00,1.06,,,,,13,1.01,11.00,1.02,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.35,3.1,2.15,1.67,1.19,4.5,3,1.37,1.1,7,4.15,1.22,,,6.4,1.11,,,,,,,12,12,19,41,8.5,7,13,29,10,8.5,13,34,17,15,23,41,81,51,67,101,34,29,41,81,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-03-08,11:00,SCOTLAND - LEAGUE TWO,2019/2020,Stenhousemuir,Albion Rovers,ROUND 1,0,1,2,3,2.25,2.3,4.5,2.2,2.3,4.5,1.33,3.25,1.33,3.25,,,,,2.5,1.5,2.5,1.5,,,,,6,1.12,6,1.12,1.7,3.6,5,1.61,3.75,4.33,1.14,1.28,2.1,1.16,1.22,2.1,1.66,2.1,1.72,2,1.01,12,1.01,13.00,1.03,8.4,1.03,9.80,1.22,4,1.20,4.33,1.32,3.26,1.29,3.40,1.7,2.1,1.67,2.15,2.09,1.71,2.07,1.67,2.62,1.44,2.62,1.44,3.74,1.22,3.80,1.24,4.5,1.16,4.5,1.16,7.6,1.07,7.6,1.07,8,1.06,8,1.06,,,,,12,1.01,12,1.01,,,,,,,,,,,,,,,,,1.3,3.45,1.5,2.5,1.23,4,1.93,1.93,1.12,6,2.42,1.52,,,3.45,1.3,,,5,1.17,,,7,1.1,,,12,15,26,51,8.5,7,15,34,9,8.5,13,41,13,13,23,41,101,81,81,126,26,26,41,81,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-03-08,11:00,SCOTLAND - LEAGUE TWO,2019/2020,Stirling,Queen's Park,ROUND 1,0,0,0,1,3.25,2.1,3.1,2.5,2.2,3.75,1.4,2.75,1.36,3.00,,,,,3,1.36,2.75,1.40,,,,,8,1.08,7.00,1.10,2.9,3.3,2.4,1.9,3.75,3.1,1.53,1.33,1.4,1.33,1.22,1.72,1.8,1.9,1.8,1.9,1.04,9.5,1.01,12.00,1.07,6.6,1.06,8.10,1.3,3.4,1.28,3.50,1.51,2.49,1.38,2.82,2,1.8,1.85,1.95,2.7,1.44,2.47,1.48,3.4,1.3,3.25,1.33,5.15,1.12,4.70,1.17,6.5,1.1,5.50,1.12,10,1.03,9.60,1.04,10,1.03,9.00,1.04,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,2.02,1.77,2.45,1.58,1.7,2.1,3.45,1.3,1.4,2.85,5.25,1.16,1.2,4.4,6.6,1.11,1.11,6.4,7,1.1,,,,,,,9.5,8.5,12,23,9,6,10,21,13,11,15,29,26,23,34,51,51,41,51,101,51,51,67,126,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
