Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,08:00,SCOTLAND - PREMIERSHIP,2019/2020,Rangers,Celtic,ROUND 4,0,1,0,2,2.87,2.2,3.6,3.4,2.1,3.25,1.4,2.75,1.44,2.62,,,,,2.75,1.4,3.00,1.36,,,,,8,1.08,9.00,1.07,2.25,3.4,3.1,2.7,3.2,2.62,1.36,1.3,1.57,1.44,1.36,1.44,1.75,2,1.75,2,1.05,11,1.07,9.50,1.07,6.8,1.08,8.10,1.3,3.5,1.33,3.40,1.51,2.52,1.49,2.65,1.9,1.9,1.9,1.9,2.71,1.45,2.65,1.48,3.4,1.33,3.50,1.30,5.2,1.13,5.40,1.15,6.5,1.11,6.5,1.11,9.1,1.03,11.00,1.04,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.62,2.25,1.98,1.88,1.47,2.6,2.6,1.47,1.26,3.7,3.8,1.25,1.12,6,5.75,1.14,1.06,11,10.5,1.07,,,16,1.03,,,11,10,15,34,8,6.5,11,23,11,9,13,34,21,17,26,51,67,51,67,126,41,41,51,101,251,52,48,1,3,62,60,19,20,0,1,1,2,0,0,,,,,7,4,,,1,1,,,0,0,6,4,,,,,,,,,60,40,9,13,129,100,69,41,2,6,6,4,1,3,,,,,,,15,11,,,8,5,,,4,2,13,10,1,1,0,1,,,,
2,2019-01-12,09:00,SCOTLAND - PREMIERSHIP,2019/2020,Ross County,Celtic,ROUND 15,1,2,1,4,12,3.1,1.5,10,3,1.53,1.22,4,1.22,4,,,,,2.1,1.66,2.1,1.66,,,,,4.5,1.18,4.5,1.18,13,9,1.12,13,7.5,1.16,6,1.07,1.04,5,1.1,1.04,2.37,1.53,2.1,1.66,1.01,21,1.02,19.00,1.01,15,1.01,15,1.14,5.5,1.14,5.5,1.18,4.3,1.18,4.24,1.44,2.75,1.44,2.75,1.69,2.14,1.66,2.21,2.1,1.72,2.1,1.72,2.86,1.41,2.90,1.40,3.5,1.3,3.5,1.3,5,1.14,5.05,1.13,6,1.12,6,1.12,8.3,1.03,8.40,1.03,13,1.04,13,1.04,,,,,23,1.01,23,1.01,,,,,,,,,15,1.04,,,6.8,1.1,,,5.5,1.15,,,3.3,1.32,,,2.35,1.57,,,1.85,2,,,1.52,2.42,21,8.5,6,6.5,29,17,11,13,67,34,41,34,251,101,81,101,8.5,15,41,126,201,501,401,401,451,35,65,1,10,48,77,23,53,1,5,0,4,0,1,,,,,7,6,,,0,6,,,3,0,6,3,1,1,,,,,,,30,70,2,19,95,157,46,114,2,7,0,8,0,4,,,,,,,15,13,,,0,11,,,3,1,12,8,1,2,,,,,,
3,2019-01-12,12:00,SCOTLAND - PREMIERSHIP,2019/2020,Rangers,Hearts,ROUND 15,2,0,5,0,1.61,2.75,10,1.66,2.62,8.5,1.25,3.75,1.28,3.50,,,,,2.2,1.61,2.25,1.57,,,,,5,1.16,5.50,1.14,1.2,6.5,13,1.25,5.5,12,1.04,1.11,4.33,1.05,1.14,3.75,2.1,1.66,2.05,1.7,1.02,17,1.04,13.00,1.01,11,1.03,9.30,1.16,5,1.20,4.50,1.22,4.2,1.29,3.56,1.53,2.5,1.61,2.30,1.81,1.98,2.00,1.80,2.37,1.57,2.50,1.53,3.1,1.32,3.48,1.26,4,1.25,4.33,1.22,5.65,1.1,6.25,1.08,8,1.08,8,1.08,,,,,15,1.03,17.00,1.02,,,,,,,,,,,,,,,,,1.05,12.5,1.13,5.9,1.05,13,1.24,3.9,1.02,21,1.42,2.75,,,1.72,2.07,,,2.2,1.65,,,2.85,1.4,,,17,29,51,201,7.5,13,34,81,6.5,9,29,81,7,11,29,81,201,401,351,351,11,17,41,101,501,61,39,4,1,55,48,29,17,3,0,0,1,1,0,,,,,11,10,,,2,2,,,0,1,6,5,2,2,,,,,,,65,35,13,2,122,94,70,33,6,1,3,1,4,0,,,,,,,17,20,,,4,3,,,1,1,8,13,2,3,,,,,,
4,2019-02-11,12:00,SCOTLAND - PREMIERSHIP,2019/2020,Aberdeen,Kilmarnock,ROUND 12,2,0,3,0,2.5,2,5.5,2.87,2,4.33,1.53,2.37,1.53,2.37,,,,,3.75,1.25,3.50,1.28,,,,,11,1.05,11,1.05,1.72,3.5,5,2.1,3.3,3.5,1.16,1.28,2,1.28,1.33,1.66,2.25,1.57,2.05,1.7,1.1,7,1.1,7.50,1.14,4.94,1.13,5.90,1.5,2.62,1.44,2.75,1.87,1.91,1.75,2.07,2.5,1.53,2.37,1.57,3.86,1.25,3.60,1.29,5,1.16,4.50,1.20,7.5,1.06,7.80,1.08,11,1.05,10.00,1.06,16,1.01,15.00,1.01,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.27,3.55,1.5,2.5,1.22,4.15,2,1.85,1.11,6.6,2.75,1.42,1.05,12,4,1.23,1.02,13.5,6.6,1.11,,,,,,,7,9.5,23,51,5,7,17,41,7,9,23,51,13,17,41,81,201,151,151,351,29,41,67,201,501,43,57,4,6,40,65,26,37,2,3,1,3,1,0,,,,,6,7,,,1,2,,,3,0,5,5,,,,,,,,,50,50,12,6,98,114,59,65,6,3,3,3,3,0,,,,,,,13,16,,,6,3,,,3,3,10,14,2,2,,,,,,
5,2019-02-11,12:00,SCOTLAND - PREMIERSHIP,2019/2020,Hamilton,Ross County,ROUND 12,0,1,2,2,3.5,2.1,3.1,3.2,2.1,3.4,1.4,2.75,1.4,2.75,,,,,3,1.36,2.75,1.40,,,,,8,1.08,8,1.08,2.87,3.4,2.4,2.5,3.3,2.75,1.53,1.3,1.4,1.4,1.33,1.5,1.75,2,1.7,2.05,1.06,10,1.05,11.00,1.07,6.7,1.07,8.50,1.33,3.4,1.28,3.75,1.52,2.5,1.41,2.79,2,1.8,1.90,1.90,2.75,1.44,2.55,1.48,3.5,1.3,3.20,1.36,5.3,1.12,5.20,1.16,6.5,1.11,6.00,1.12,9.2,1.02,10.50,1.04,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.15,1.67,2.5,1.5,1.8,2.05,3.55,1.27,1.45,2.67,5.9,1.13,1.22,4.1,7,1.1,1.12,6,14,1.04,1.04,13,,,,,10,8,12,23,9,6.5,9.5,19,15,11,15,29,29,23,34,51,51,41,51,101,51,51,67,101,251,47,53,5,4,35,32,26,18,1,2,3,2,1,0,,,,,6,11,,,5,2,,,1,1,6,9,1,1,,,,,,,48,52,9,9,73,68,53,40,3,5,5,3,1,1,,,,,,,16,20,,,8,6,,,3,1,16,17,2,3,0,1,,,,
6,2019-02-11,12:00,SCOTLAND - PREMIERSHIP,2019/2020,Motherwell,Livingston,ROUND 12,0,0,2,1,2.62,2.2,4.33,2.3,2.25,4.75,1.4,2.75,1.36,3.00,,,,,3,1.36,2.62,1.44,,,,,8,1.08,7.00,1.10,2,3.5,3.6,1.72,3.75,4.5,1.28,1.28,1.72,1.18,1.25,2,1.8,1.95,1.75,2,1.06,10,1.05,12.00,1.07,6.8,1.06,9.40,1.3,3.5,1.25,4.00,1.51,2.52,1.36,3.04,2,1.8,1.80,2.00,2.71,1.45,2.35,1.55,3.5,1.3,3.00,1.40,5.2,1.13,4.60,1.20,6.5,1.11,5.50,1.14,9.1,1.03,9.40,1.06,15,1.03,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.5,2.5,1.75,2.05,1.37,3,2.35,1.57,1.2,4.4,3.45,1.3,1.1,7,4.8,1.17,1.04,9.9,7,1.1,,,10.5,1.04,,,10,11,19,41,7.5,6.5,12,29,9.5,9,15,34,17,17,26,51,81,67,81,126,41,34,51,101,251,66,34,4,3,66,49,27,21,2,1,1,1,1,1,,,,,6,7,,,2,2,,,1,2,4,7,0,1,,,,,,,61,39,10,9,111,99,44,49,5,5,3,1,2,3,,,,,,,14,11,,,3,5,,,4,3,12,11,1,2,,,,,,
7,2019-03-08,11:00,SCOTLAND - PREMIERSHIP,2019/2020,Celtic,St Johnstone,ROUND 1,3,0,7,0,1.53,2.75,15,1.57,2.75,13,1.3,3.4,1.3,3.4,,,,,2.37,1.53,2.50,1.50,,,,,6,1.12,6.50,1.11,1.16,6.5,19,1.16,7.5,13,1.02,1.11,5,1.05,1.1,5.5,2.75,1.4,3,1.36,1.05,11,1.05,12.00,1.03,9.3,1.05,10.50,1.22,4.33,1.25,4.00,1.29,3.54,1.37,3.11,1.61,2.3,1.72,2.10,1.98,1.81,2.06,1.76,2.62,1.5,2.75,1.44,3.48,1.26,3.70,1.28,4.5,1.2,5.00,1.16,6.3,1.08,8.20,1.08,10,1.06,11.00,1.05,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.03,17,1.11,6.4,1.03,18,1.19,4.5,1.01,31,1.35,3.1,,,1.62,2.25,,,2.05,1.75,,,2.67,1.45,,,11,34,81,501,6.5,13,51,201,5,12,41,151,6,13,41,151,201,201,201,201,8.5,19,51,301,201,77,23,16,1,117,29,61,3,6,0,6,1,4,0,,,,,4,3,,,3,0,,,0,3,5,4,0,1,,,,,,,76,24,24,2,253,86,141,10,11,0,7,2,6,0,,,,,,,10,8,,,8,0,,,0,4,10,10,0,3,,,,,,
8,2019-03-08,11:00,SCOTLAND - PREMIERSHIP,2019/2020,Hibernian,St. Mirren,ROUND 1,0,0,1,0,2.05,2.25,6.5,2.05,2.37,6,1.4,2.75,1.36,3.00,,,,,3,1.36,2.62,1.44,,,,,8,1.08,7.00,1.10,1.44,4,8,1.5,4.33,6,1.08,1.22,2.62,1.14,1.22,2.62,2.1,1.66,1.95,1.8,1.07,9,1.05,12.00,1.08,6.45,1.06,9.40,1.33,3.4,1.25,4.00,1.56,2.4,1.47,2.69,2,1.8,1.80,2.00,2.86,1.41,2.31,1.62,3.75,1.28,3.00,1.40,5.55,1.11,4.52,1.20,7,1.1,5.50,1.14,9.6,1.02,10.50,1.04,15,1.03,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.14,5.75,1.3,3.45,1.11,6.4,1.57,2.35,1.06,8.4,2.07,1.72,,,2.85,1.4,,,4.15,1.22,,,6,1.12,,,9,15,34,81,5.5,7.5,23,51,6,8,21,67,9.5,13,34,81,401,251,251,401,21,26,51,151,501,61,39,4,5,69,48,33,22,2,3,1,1,1,1,,,,,4,6,,,3,2,,,3,2,2,4,1,0,,,,,,,63,37,13,14,128,79,61,42,5,5,7,8,1,1,,,,,,,7,12,,,4,5,,,5,4,4,9,1,2,,,,,,
9,2019-03-08,11:00,SCOTLAND - PREMIERSHIP,2019/2020,Livingston,Motherwell,ROUND 1,0,0,0,0,3.25,2,3.6,3.2,2.1,3.4,1.5,2.5,1.44,2.62,,,,,3.4,1.3,3.00,1.36,,,,,10,1.06,9.00,1.07,2.5,3.1,2.9,2.5,3.3,2.75,1.4,1.36,1.5,1.45,1.34,1.55,1.95,1.8,1.75,2,1.1,7.5,1.06,10.00,1.11,5.55,1.08,8.00,1.44,2.75,1.33,3.40,1.72,2.1,1.55,2.44,2.3,1.61,2.00,1.80,3.38,1.31,2.54,1.52,4.33,1.22,3.50,1.30,6.65,1.08,5.30,1.16,9,1.07,7.00,1.10,11,1.01,10.50,1.04,19,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.1,2.1,1.77,1.5,2.5,2.85,1.4,1.26,3.7,4.4,1.2,1.12,6,6.8,1.1,1.06,7.6,15,1.03,,,,,,,7.5,7.5,13,29,7,6,11,26,11,10,17,41,26,23,34,67,67,51,81,151,51,51,81,151,501,49,51,4,2,41,37,29,20,3,2,1,0,0,0,,,,,9,13,,,4,2,,,2,3,6,11,0,1,,,,,,,47,53,9,10,76,54,49,38,5,5,3,3,1,2,,,,,,,15,19,,,5,10,,,5,5,12,17,1,3,,,,,,
10,2019-03-08,11:00,SCOTLAND - PREMIERSHIP,2019/2020,Ross County,Hamilton,ROUND 1,2,0,3,0,2.2,2.25,5.5,3.1,2.1,3.6,1.36,3,1.40,2.75,,,,,2.62,1.44,3.00,1.36,,,,,7,1.1,9.00,1.07,1.6,4,5.75,2.37,3.4,2.87,1.14,1.22,2.25,1.42,1.33,1.6,1.8,1.95,1.8,1.95,1.05,11,1.06,10.00,1.06,7.4,1.07,8.50,1.28,3.75,1.33,3.40,1.44,2.75,1.52,2.53,1.8,2,2.00,1.80,2.47,1.53,2.46,1.55,3.2,1.36,3.50,1.30,4.7,1.15,5.00,1.17,5.5,1.14,7.00,1.10,8.3,1.03,12.50,1.03,11,1.05,15.00,1.03,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.22,4.15,1.4,2.85,1.18,4.65,1.72,2.07,1.1,7,2.3,1.6,1.03,17,3.1,1.35,1.03,10.5,4.5,1.19,,,6.6,1.11,,,11,15,29,51,7,7.5,17,41,7.5,8,17,41,12,13,26,51,201,101,126,151,23,26,41,101,351,51,49,5,2,39,30,43,19,3,0,1,1,1,1,,,,,7,6,,,7,0,,,0,1,7,5,0,1,,,,,,,56,44,12,9,76,59,74,52,6,5,5,2,1,2,,,,,,,11,14,,,9,6,,,5,3,11,11,0,3,,,,,,
