Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,AmaZulu,Cape Town City,-,1,0,2,1,3.4,1.95,3.4,3.6,1.9,3.25,1.5,2.5,1.53,2.37,,,,,3.4,1.3,3.50,1.28,,,,,10,1.06,11.00,1.05,2.7,2.8,2.7,3,2.8,2.5,1.4,1.36,1.4,1.5,1.4,1.36,1.9,1.8,1.9,1.8,1.08,7,1.08,7,1.1,5.8,1.16,4.60,1.4,2.75,1.4,2.75,1.66,2.12,1.84,1.86,2.25,1.61,2.30,1.60,3.14,1.3,4.00,1.21,4,1.22,4,1.22,7.1,1.06,8.60,1.04,8,1.06,8,1.06,,,,,11,1.02,11,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.9,2.3,1.6,1.6,2.3,3.45,1.3,1.3,3.45,5.25,1.16,1.16,5.25,9,1.07,1.1,7,,,,,,,,,7,7.5,12,26,7.5,5.5,11,26,12,11,15,41,26,26,41,51,51,51,81,151,51,51,81,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-01-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Chippa Utd.,Bidvest Wits,-,0,0,0,1,4,1.9,3,3.75,1.9,3.1,1.57,2.25,1.53,2.37,,,,,3.75,1.25,3.50,1.28,,,,,11,1.05,11,1.05,3.2,3,2.15,3,2.8,2.5,1.61,1.33,1.33,1.53,1.4,1.36,2.1,1.66,2,1.72,1.1,6.5,1.08,7.00,1.15,4.54,1.14,5.00,1.5,2.5,1.40,2.75,1.92,1.8,1.82,1.88,2.5,1.5,2.37,1.55,4,1.22,3.80,1.22,4.5,1.16,4.33,1.20,7.9,1.04,7.80,1.05,8.5,1.05,8.00,1.06,,,,,13,1.01,12.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.52,2.85,1.4,1.95,1.85,4.4,1.2,1.47,2.6,6.25,1.08,1.24,3.9,,,1.13,5.9,,,,,,,,,6.5,6,9,21,8,6,10,21,15,13,19,41,41,34,41,81,41,51,81,151,81,81,126,276,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-01-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Kaizer Chiefs,Golden Arrows,-,1,0,2,0,2.37,1.95,6,2.75,1.9,4.5,1.57,2.25,1.53,2.37,,,,,3.75,1.25,3.50,1.28,,,,,11,1.05,11,1.05,1.61,3.3,5.75,2,2.9,4,1.11,1.3,2.1,1.22,1.4,1.72,2.5,1.5,2,1.72,1.1,6.5,1.08,7.00,1.15,4.6,1.13,5.10,1.5,2.5,1.44,2.62,1.9,1.82,1.76,1.96,2.5,1.5,2.37,1.55,4.04,1.21,3.70,1.23,4.5,1.16,4.33,1.20,7.9,1.04,7.50,1.05,8.5,1.05,8.00,1.06,,,,,15,1.01,12.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.24,3.9,1.45,2.67,1.19,4.5,1.9,1.9,1.1,6.8,2.67,1.45,,,3.8,1.25,,,6,1.12,,,,,,,6.5,10,26,67,5,7,21,51,6.5,9.5,23,67,12,19,41,101,151,151,151,301,26,41,81,151,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-01-12,10:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,AmaZulu,Maritzburg Utd,-,0,0,0,0,3.6,1.83,3.6,3.4,1.83,3.6,1.61,2.2,1.61,2.2,,,,,4,1.22,3.75,1.25,,,,,13,1.04,13,1.04,2.8,2.75,2.7,2.62,2.75,2.87,1.44,1.4,1.4,1.4,1.4,1.44,2.25,1.57,2.1,1.66,1.12,5.5,1.11,6.00,1.18,4.14,1.14,4.80,1.57,2.25,1.50,2.50,2.08,1.68,1.80,1.91,2.7,1.44,2.60,1.47,4.54,1.17,3.70,1.23,5,1.14,4.50,1.16,8.7,1.03,8.00,1.05,9,1.04,8.50,1.05,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.88,2.23,1.63,1.5,2.48,3.4,1.3,1.24,3.85,6,1.13,1.13,5.05,9.5,1.06,,,,,,,,,,,5.5,6.5,12,29,6.5,6,12,29,12,12,19,41,29,29,41,81,51,67,101,301,51,67,101,301,201,49,51,8,2,47,41,55,51,5,1,3,1,,,,,,,7,10,,,2,3,0,2,1,5,7,8,1,2,,,,,17,19,44,56,8,7,98,94,108,112,5,3,3,4,,,,,,,,,15,14,,,4,6,1,2,3,5,16,10,2,4,,,,,37,27
5,2019-01-12,10:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Chippa Utd.,Baroka,-,0,0,0,0,3,1.9,4,2.87,1.9,4.33,1.61,2.2,1.57,2.25,,,,,3.75,1.25,3.50,1.28,,,,,13,1.04,11.00,1.05,2.15,2.87,3.6,2.1,2.87,3.75,1.28,1.4,1.66,1.25,1.4,1.66,2.2,1.61,2,1.72,1.11,6,1.10,6.50,1.17,4.24,1.15,4.70,1.53,2.37,1.44,2.62,2.04,1.71,1.77,1.94,2.7,1.44,2.42,1.52,4.4,1.18,3.90,1.22,5,1.14,4.33,1.20,8.5,1.03,8.30,1.04,9,1.04,8.00,1.06,,,,,15,1.01,12.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.55,1.93,1.88,1.34,3.15,2.75,1.42,1.16,5,4.6,1.19,,,7,1.1,,,,,,,,,,,6,8,15,41,6,6,15,34,9.5,10,19,51,21,23,41,81,81,81,126,201,41,51,81,151,201,59,41,5,5,67,66,42,42,1,3,4,2,,,,,,,4,12,,,6,3,1,1,3,1,3,11,0,1,,,,,6,11,56,44,9,15,148,127,92,86,2,6,7,9,,,,,,,,,10,18,,,8,7,1,1,6,2,11,15,1,3,,,,,13,20
6,2019-02-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Black Leopards,Mamelodi Sundowns,-,0,2,1,2,4.33,2,2.62,5.5,2,2.37,1.5,2.5,1.53,2.37,,,,,3.25,1.33,3.50,1.28,,,,,10,1.06,10,1.06,3.8,3,1.95,5,3.2,1.72,1.72,1.33,1.22,2,1.36,1.14,1.9,1.8,2.2,1.61,1.07,7.5,1.07,7.5,1.1,5.5,1.12,5.20,1.36,3,1.40,2.75,1.68,2.08,1.75,1.97,2.2,1.65,2.30,1.60,3.26,1.3,3.60,1.25,4,1.22,4.33,1.20,6.45,1.07,7.30,1.06,7.5,1.07,8.00,1.06,,,,,11,1.02,12.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.42,3.3,1.32,2.1,1.7,5.25,1.16,1.6,2.3,,,1.32,3.3,,,1.18,4.65,,,1.1,5.55,,,,,7.5,6.5,9,17,10,6,9.5,19,19,15,17,34,41,34,41,51,41,41,51,151,101,81,101,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-02-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Maritzburg Utd,Baroka,-,0,0,1,0,3.4,1.83,3.75,3.25,1.83,4,1.61,2.2,1.61,2.2,,,,,4,1.22,4,1.22,,,,,13,1.04,13,1.04,2.45,2.75,3.1,2.4,2.75,3.2,1.36,1.4,1.53,1.36,1.4,1.53,2.2,1.61,2.2,1.61,1.11,6,1.11,6,1.2,3.96,1.14,5.00,1.53,2.37,1.53,2.37,2.16,1.63,1.82,1.89,2.87,1.4,2.67,1.45,4.78,1.15,3.80,1.22,5,1.14,5,1.14,9,1.03,7.80,1.05,9,1.04,9,1.04,,,,,15,1.01,15,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.08,2.1,1.7,1.5,2.5,3.1,1.35,1.25,3.8,5.25,1.16,1.11,6.6,8.5,1.07,,,,,,,,,,,6,7,13,34,6.5,5.5,13,29,11,11,19,41,26,26,41,81,67,67,126,276,51,51,101,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-10,14:30,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Polokwane,Stellenbosch,-,0,2,0,2,2.75,1.9,4.33,2.75,1.83,4.75,1.53,2.37,1.61,2.20,,,,,3.5,1.28,4.00,1.22,,,,,11,1.05,13.00,1.04,2,2.9,4,2,2.9,4,1.22,1.4,1.72,1.22,1.4,1.72,2.1,1.66,2.25,1.57,1.1,6.5,1.11,6.00,1.14,5,1.15,4.70,1.44,2.62,1.53,2.37,1.85,1.87,1.89,1.81,2.4,1.53,2.67,1.45,3.64,1.23,3.90,1.22,4.5,1.16,5.00,1.14,8.3,1.04,8.3,1.04,8.5,1.05,9.00,1.04,,,,,13,1.01,15.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.47,2.6,1.77,2.02,1.35,3.1,2.42,1.52,1.17,4.8,3.7,1.26,1.1,7,5.5,1.15,,,,,,,,,,,6.5,9,17,41,6,6,15,41,8.5,9.5,19,51,19,21,41,67,101,81,126,276,41,41,67,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-03-08,10:00,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Baroka,Cape Town City,-,2,2,2,2,3.4,1.95,3.25,4,1.9,3.1,1.53,2.37,1.57,2.25,,,,,3.5,1.28,3.75,1.25,,,,,11,1.05,13.00,1.04,2.75,3.1,2.5,3,3,2.25,1.5,1.36,1.4,1.53,1.33,1.33,2.1,1.66,2.2,1.61,1.08,7,1.10,6.50,1.14,4.74,1.15,4.70,1.44,2.62,1.53,2.37,1.87,1.85,1.88,1.82,2.4,1.53,2.70,1.44,3.88,1.22,3.90,1.22,4.5,1.16,5.00,1.14,7.6,1.05,8.30,1.04,8.5,1.05,9.00,1.04,,,,,13,1.01,15.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.83,2.48,1.5,1.65,2.2,3.85,1.24,1.29,3.45,5.15,1.12,1.13,6,,,1.06,9,,,,,,,,,7,6.5,11,26,7,6,11,26,12,11,19,41,29,26,41,67,51,51,81,201,51,51,81,201,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-03-08,10:00,SOUTH AFRICA - PREMIER LEAGUE,2019/2020,Chippa Utd.,Stellenbosch,-,0,0,0,0,3.1,1.83,4,3.2,1.83,4,1.61,2.2,1.57,2.25,,,,,4,1.22,3.75,1.25,,,,,13,1.04,11.00,1.05,2.25,2.87,3.3,2.3,2.75,3.2,1.3,1.36,1.53,1.33,1.36,1.53,2.37,1.53,2.1,1.66,1.11,6,1.10,6.50,1.17,4.32,1.15,4.70,1.57,2.25,1.44,2.62,2.01,1.73,1.85,1.85,2.87,1.4,2.60,1.47,4.32,1.18,3.90,1.22,5.5,1.12,4.50,1.16,8.3,1.03,8.3,1.04,10,1.03,8.50,1.05,,,,,15,1.01,13.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.58,2.3,2.05,1.75,1.38,2.88,3.05,1.36,1.18,4.6,5.25,1.15,,,8,1.08,,,,,,,,,,,5.5,7,15,41,5.5,6,13,34,9.5,11,21,51,21,26,41,101,81,81,151,301,51,51,101,251,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
