Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-03,02:00,SOUTH KOREA - K LEAGUE 1,2019,Jeonbuk,Daegu,ROUND 1,1,1,1,1,2.2,2.3,5.5,1.8,2.5,8,1.36,3,1.33,3.25,,,,,2.62,1.44,2.50,1.50,,,,,7,1.1,6.50,1.11,1.61,4,5,1.33,5,9,1.16,1.25,2.4,1.07,1.18,3.4,1.8,1.9,2,1.72,1.05,12,1.04,13.00,1.01,11,1.03,9.60,1.25,3.75,1.22,4.00,1.31,3.38,1.30,3.46,1.8,2,1.70,2.10,2.23,1.64,2.18,1.67,3,1.36,2.75,1.40,4.24,1.18,4.20,1.18,5.5,1.14,5.00,1.16,7.5,1.03,7.70,1.03,13,1.04,11.00,1.05,,,,,23,1.01,21.00,1.01,,,,,,,,,,,,,,,,,1.26,3.7,1.42,2.75,1.21,4.25,1.77,2.02,1.11,6.4,2.37,1.55,,,3.3,1.32,,,5,1.17,,,7,1.1,,,12,15,29,67,7,7.5,17,41,7.5,8,17,41,12,12,23,51,201,101,126,151,23,23,41,81,301,56,44,1,1,44,33,38,16,1,1,0,0,,,,,,,8,10,,,3,1,0,0,0,0,9,7,0,1,,,,,10,9,56,44,14,8,100,88,72,42,7,4,7,4,,,,,,,,,18,17,,,7,2,0,3,3,6,18,14,1,2,,,,,20,15
2,2019-01-03,04:00,SOUTH KOREA - K LEAGUE 1,2019,Gyeongnam,Seongnam,ROUND 1,0,0,2,1,3.1,1.95,4.33,3.2,1.95,4,1.57,2.25,1.57,2.25,,,,,3.75,1.25,3.75,1.25,,,,,11,1.05,11,1.05,2.2,3.1,3.5,2.3,3,3.4,1.3,1.38,1.7,1.33,1.4,1.61,2.1,1.66,2.1,1.66,1.11,6.5,1.11,6.5,1.1,5.75,1.11,5.45,1.5,2.5,1.5,2.5,1.83,1.95,1.90,1.90,2.6,1.47,2.50,1.50,4.16,1.23,4.44,1.20,5,1.16,5,1.16,8.8,1.03,9.10,1.03,13,1.04,11.00,1.05,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.57,2.35,1.93,1.88,1.42,2.75,2.67,1.45,1.21,4.25,4.15,1.22,1.1,7,6.4,1.11,1.04,9,,,,,,,,,6.5,7.5,15,41,6,6,13,34,9.5,10,19,41,21,21,41,81,101,81,126,301,51,51,81,201,301,56,44,6,5,42,44,28,26,1,0,5,5,,,,,,,2,7,,,3,2,1,0,0,1,1,7,,,,,,,6,10,56,44,14,9,82,88,69,51,5,3,9,6,,,,,,,,,7,20,,,10,3,1,1,2,3,6,19,2,1,,,,,14,14
3,2019-01-03,04:00,SOUTH KOREA - K LEAGUE 1,2019,Ulsan Hyundai,Suwon Bluewings,ROUND 1,1,0,2,1,2.75,2.05,4,3.1,2.05,3.75,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,10.00,1.06,2.1,3.3,3.5,2.25,3.2,3.25,1.3,1.34,1.75,1.35,1.36,1.66,1.83,1.83,1.83,1.83,1.07,9,1.08,8.50,1.04,8.6,1.06,7.10,1.33,3.25,1.36,3.00,1.48,2.61,1.62,2.25,2.05,1.75,2.15,1.66,2.91,1.4,3.32,1.32,3.75,1.25,3.75,1.25,5.85,1.1,6.85,1.07,8,1.08,9.00,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.47,2.6,1.75,2.05,1.35,3.1,2.35,1.57,1.19,4.5,3.45,1.3,1.1,7,5,1.17,1.05,9.8,,,,,,,,,9,9.5,17,41,7,6,12,29,9.5,9,15,41,19,19,29,51,81,67,81,151,41,41,51,126,401,53,47,7,2,52,59,27,45,7,1,0,1,,,,,,,12,8,,,2,5,2,1,1,6,10,7,2,2,,,,,11,15,54,46,11,9,97,124,54,93,10,6,1,3,,,,,,,,,23,14,,,2,7,4,2,5,8,19,12,5,3,,,,,18,23
4,2019-01-06,04:00,SOUTH KOREA - K LEAGUE 1,2019,Jeju Utd,Ulsan Hyundai,ROUND 15,0,2,1,3,3.5,2.3,2.87,3.6,2.1,3,1.36,3,1.40,2.75,,,,,2.75,1.4,3.00,1.36,,,,,7,1.1,9.00,1.07,3.2,3.25,2.25,3.3,3.3,2.2,1.66,1.35,1.36,1.7,1.34,1.34,1.66,2.1,1.8,1.9,1.05,11,1.07,9.50,1.06,7.2,1.09,7.30,1.28,3.5,1.30,3.40,1.47,2.64,1.61,2.32,1.95,1.85,2.05,1.75,2.58,1.49,2.70,1.46,3.25,1.33,3.50,1.28,4.9,1.14,5.85,1.14,6.5,1.11,7.00,1.10,12,1.03,13.00,1.03,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.2,1.65,2.6,1.47,1.83,1.98,3.7,1.26,1.45,2.67,6,1.12,1.24,3.9,8,1.07,1.13,5.9,,,,,,,,,11,8.5,11,21,10,6,9,19,15,11,13,26,34,23,34,41,41,41,51,101,67,51,67,101,201,42,58,5,9,39,60,26,35,0,8,5,1,,,,,,,6,6,,,1,3,1,1,6,0,5,5,,,,,,,9,6,47,53,13,12,98,103,64,64,3,10,10,2,,,,,,,,,12,12,,,2,4,2,1,7,2,10,11,0,1,,,,,14,17
5,2019-01-06,07:00,SOUTH KOREA - K LEAGUE 1,2019,Seongnam,Incheon,ROUND 15,0,0,0,0,3,2,4,3,2,4,1.5,2.5,1.5,2.5,,,,,3.4,1.3,3.4,1.3,,,,,10,1.06,10,1.06,2.2,3.2,3.4,2.25,3.25,3.2,1.33,1.36,1.7,1.36,1.35,1.66,1.9,1.8,2,1.72,1.08,8,1.08,8,1.11,5.45,1.13,5.95,1.4,2.75,1.4,2.75,1.74,2.07,1.75,2.08,2.3,1.6,2.3,1.6,3.44,1.3,3.16,1.36,4,1.22,4.33,1.20,6.75,1.07,7.50,1.09,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.3,1.93,1.88,1.42,2.75,2.67,1.45,1.22,4.1,4,1.23,1.1,7,6,1.12,1.05,8.7,7,1.08,,,,,,,8,8.5,15,41,6.5,6,12,29,9.5,9.5,17,41,21,21,34,67,81,67,101,201,41,41,67,151,501,44,56,5,1,36,35,32,22,3,1,2,0,,,,,,,10,7,,,3,0,3,2,1,3,7,5,0,1,,,,,9,4,42,58,12,5,95,77,88,43,6,2,6,3,,,,,,,,,16,14,,,6,0,3,3,2,6,13,11,0,2,1,0,,,18,21
6,2019-01-09,07:00,SOUTH KOREA - K LEAGUE 1,2019,Gangwon,Gyeongnam,ROUND 28,0,0,2,0,2.62,2.4,3.5,2.5,2.3,4,1.3,3.4,1.3,3.4,,,,,2.37,1.53,2.50,1.50,,,,,5.5,1.14,6.00,1.12,2,3.5,3.3,1.9,3.5,3.5,1.33,1.28,1.72,1.25,1.25,1.72,1.5,2.5,1.57,2.25,1.03,15,1.03,15,1.03,9.3,1.03,9.90,1.18,4.5,1.20,4.33,1.28,3.6,1.29,3.40,1.57,2.35,1.66,2.15,1.95,1.83,2.09,1.74,2.5,1.5,2.62,1.44,3.4,1.27,3.90,1.23,4.33,1.2,5.00,1.16,6.2,1.08,7.40,1.07,9,1.07,10.00,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.55,2.37,1.8,2,1.42,2.75,2.35,1.57,1.24,3.9,3.3,1.32,1.12,6,4.5,1.19,1.06,11,6.8,1.1,,,,,,,15,13,19,34,10,7,11,23,12,9,11,26,21,15,21,34,67,51,51,81,41,29,41,67,126,68,32,6,2,66,32,60,24,3,0,3,2,,,,,,,2,7,,,2,2,1,0,0,3,1,7,0,2,,,,,7,7,63,37,15,5,124,71,109,47,7,1,8,4,,,,,,,,,9,14,,,5,4,1,0,1,5,8,14,2,5,1,0,,,13,11
7,2019-01-09,07:00,SOUTH KOREA - K LEAGUE 1,2019,Gimcheon Sangmu,Daegu,ROUND 28,1,0,1,1,3.75,2.05,3,3.5,2.05,3.25,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,3.3,3.1,2.1,2.8,3.1,2.4,1.61,1.33,1.3,1.5,1.33,1.36,1.83,1.83,1.8,1.9,1.07,9,1.07,9,1.09,6.3,1.08,6.90,1.33,3.25,1.33,3.25,1.58,2.35,1.53,2.49,2.05,1.75,2.07,1.72,2.95,1.39,2.85,1.40,3.75,1.25,3.75,1.25,5.7,1.1,5.7,1.12,8,1.08,8,1.08,9.8,1.02,11.50,1.02,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,3,1.37,2,1.8,4.4,1.2,1.52,2.42,6.8,1.1,1.27,3.55,9.5,1.05,1.15,5.5,,,,,,,,,9,7,10,21,9.5,6,9,19,17,12,15,29,34,29,41,51,41,41,51,126,81,67,81,151,351,51,49,3,3,32,31,20,24,2,1,1,2,,,,,,,5,4,,,1,1,0,1,1,1,5,3,,,,,,,13,6,47,53,7,12,64,65,48,69,4,4,3,8,,,,,,,,,13,12,,,6,2,0,4,3,3,13,8,2,1,,,,,21,14
8,2019-01-09,07:00,SOUTH KOREA - K LEAGUE 1,2019,Incheon,Ulsan Hyundai,ROUND 28,0,1,3,3,4.5,2.3,2.3,5.5,2.37,2.1,1.33,3.25,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,6.5,1.11,6.5,1.11,4.33,3.75,1.66,5.25,4,1.53,2,1.22,1.18,2.37,1.22,1.16,1.66,2.1,1.8,1.9,1.04,13,1.04,13,1.04,8.4,1.04,9.50,1.22,4,1.22,4,1.35,3.14,1.31,3.20,1.7,2.1,1.72,2.07,2.17,1.67,2.21,1.66,2.75,1.4,2.75,1.4,3.92,1.21,4.00,1.22,5,1.16,5.50,1.14,7.2,1.06,7.90,1.06,11,1.05,11,1.05,,,,,21,1.01,23.00,1.01,,,,,,,,,,,,,,,,,3.1,1.35,3.55,1.27,2.37,1.55,5.25,1.16,1.83,1.98,,,1.47,2.6,,,1.27,3.55,,,1.14,5.75,,,1.1,7,13,8,8.5,13,13,7.5,8,13,23,15,15,23,51,34,34,41,26,26,41,81,126,81,81,126,201,52,48,2,8,41,51,24,38,1,4,1,4,,,,,,,4,4,,,1,3,0,1,3,1,4,3,1,1,,,,,15,9,49,51,12,16,81,88,66,70,7,9,5,7,,,,,,,,,7,14,,,6,4,0,2,6,4,7,12,2,1,,,,,23,19
9,2019-01-09,07:00,SOUTH KOREA - K LEAGUE 1,2019,Seoul,Jeonbuk,ROUND 28,0,2,0,2,4.75,2.4,2.2,4,2.3,2.5,1.3,3.4,1.3,3.4,,,,,2.37,1.53,2.50,1.50,,,,,6,1.12,6,1.12,4.75,4.1,1.65,3.75,3.5,1.83,2.2,1.22,1.18,1.8,1.25,1.22,1.61,2.2,1.57,2.25,1.03,15,1.03,15,1.03,9.4,1.03,9.90,1.18,4.5,1.20,4.33,1.27,3.68,1.29,3.40,1.57,2.35,1.66,2.15,1.92,1.86,2.09,1.74,2.5,1.5,2.62,1.44,3.34,1.28,3.90,1.23,4.33,1.2,5.00,1.16,6.05,1.09,7.40,1.07,9,1.07,10.00,1.06,,,,,19,1.02,21.00,1.01,,,,,,,,,,,,,,,,,3.55,1.27,4.1,1.22,2.67,1.45,6,1.12,2.02,1.77,11.5,1.06,1.6,2.3,20,1.02,1.35,3.1,,,1.2,4.4,,,1.11,6.4,15,9,9,13,17,8,8,12,26,15,13,21,51,34,34,41,23,23,41,67,126,81,81,101,151,54,46,3,6,49,52,20,17,2,5,1,1,,,,,,,7,10,,,1,1,1,1,3,2,6,9,1,1,,,,,12,12,52,48,6,16,93,97,54,42,5,10,1,6,,,,,,,,,15,22,,,3,2,4,2,8,5,11,20,4,1,,,,,16,21
10,2019-01-12,03:00,SOUTH KOREA - K LEAGUE 1,2019,Daegu,Seoul,CHAMPIONSHIP GROUP ,0,0,0,0,2.37,2.25,4.75,3,2.2,3.5,1.36,3,1.40,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.72,3.6,5,2.3,3.3,3.1,1.16,1.28,2,1.36,1.33,1.57,1.8,1.9,1.72,2,1.05,11,1.06,10.00,1.06,7.3,1.06,7.10,1.28,3.5,1.28,3.5,1.45,2.71,1.47,2.64,1.9,1.9,1.95,1.85,2.52,1.51,2.58,1.49,3.25,1.33,3.25,1.33,4.84,1.14,4.94,1.14,6.5,1.11,6.5,1.11,8.6,1.03,8.70,1.03,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.3,3.45,1.52,2.42,1.24,3.9,1.98,1.83,1.13,5.9,2.67,1.45,1.1,6.8,3.7,1.26,1.02,13,5.9,1.13,,,8.4,1.06,,,11,13,23,51,7,7,15,41,8,8.5,15,41,13,13,26,51,126,81,101,151,29,29,41,81,251,47,53,0,5,61,55,32,41,0,0,0,5,,,,,,,9,9,,,2,2,0,0,0,0,9,9,1,0,,,,,14,11,58,42,4,8,125,113,81,86,3,0,1,8,,,,,,,,,19,23,,,4,6,1,1,0,3,18,22,1,1,,,,,29,28
