Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-04,14:00,SWEDEN - SUPERETTAN,2019,Brage,Frej,ROUND 1,0,0,2,0,2.5,2.3,4,2.37,2.37,4.33,1.3,3.4,1.3,3.4,,,,,2.5,1.5,2.5,1.5,,,,,6,1.12,6,1.12,1.9,3.6,3.8,1.8,3.8,4,1.28,1.29,1.9,1.25,1.28,2.05,1.57,2.25,1.61,2.2,1.03,15,1.03,15,1.02,12.5,1.02,9.70,1.2,4.33,1.2,4.33,1.29,3.58,1.26,3.50,1.65,2.2,1.65,2.2,2.08,1.73,1.97,1.75,2.5,1.5,2.5,1.5,3.92,1.21,3.60,1.24,4.5,1.18,4.5,1.18,7,1.04,7.40,1.03,10,1.06,10,1.06,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.32,3.3,2.1,1.7,1.17,4.8,2.85,1.4,1.08,8.5,4,1.23,,,6.25,1.12,,,,,,,15,15,21,41,9.5,7,13,26,10,8.5,12,29,17,13,21,41,81,51,67,81,34,29,41,67,151,54,46,2,5,70,72,36,45,0,4,2,1,,,,,,,8,9,,,1,2,,,4,0,,,3,1,,,,,12,15,58,42,6,6,154,119,82,78,3,4,3,2,,,,,,,,,11,14,,,2,6,,,4,1,,,3,4,2,1,,,16,26
2,2019-01-06,11:00,SWEDEN - SUPERETTAN,2019,Degerfors,Frej,ROUND 11,1,1,2,3,2.05,2.5,5.5,2.4,2.3,4.33,1.28,3.5,1.33,3.25,,,,,2.25,1.57,2.50,1.50,,,,,5.5,1.14,6.50,1.11,1.57,4,5.75,1.8,3.75,4.2,1.14,1.25,2.6,1.25,1.28,2.05,1.61,2.2,1.66,2.1,1.03,15,1.04,13.00,1.02,9.9,1.03,8.90,1.16,5,1.22,4.00,1.24,3.96,1.41,2.91,1.53,2.4,1.70,2.10,1.85,1.93,2.08,1.64,2.25,1.57,2.62,1.44,3.14,1.31,4.04,1.24,4,1.22,5.00,1.16,7,1.1,9.30,1.06,8,1.08,11.00,1.05,,,,,17,1.02,21.00,1.01,,,,,,,,,,,,,,,,,1.24,3.9,1.42,2.75,1.2,4.4,1.75,2.05,1.11,6.6,2.3,1.6,1.04,13,3.1,1.35,,,4.4,1.2,,,6.25,1.12,,,15,21,34,67,9,8,19,41,8.5,8,13,41,12,11,21,41,201,101,81,126,21,21,34,67,151,50,50,10,4,64,66,40,20,6,3,4,1,,,,,,,8,6,,,3,0,,,2,5,,,1,1,,,,,22,13,55,45,14,12,130,128,100,51,10,8,4,4,,,,,,,,,18,14,,,10,2,,,5,8,,,2,2,,,,,32,28
3,2019-01-06,11:00,SWEDEN - SUPERETTAN,2019,Halmstad,Vasteras SK,ROUND 11,0,0,0,0,2.05,2.3,6,2.2,2.3,5,1.36,3,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,1.45,4.33,7,1.6,4.2,5,1.11,1.22,2.75,1.18,1.25,2.37,2,1.75,1.8,1.95,1.05,11,1.04,13.00,1.06,7.5,1.05,9.90,1.25,3.75,1.25,3.75,1.43,2.78,1.45,2.77,1.85,1.95,1.80,2.00,2.47,1.53,2.22,1.56,3.25,1.33,3.00,1.36,4.64,1.15,4.34,1.22,6,1.12,5.50,1.14,12,1.03,10.00,1.05,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.17,4.8,1.32,3.3,1.15,5.5,1.6,2.3,1.1,7,2.07,1.72,1.03,17,2.85,1.4,,,4.1,1.22,,,5.9,1.13,,,11,15,34,81,6.5,8,19,51,6.5,8,19,51,10,12,29,67,301,151,151,251,19,23,41,101,501,59,41,6,1,64,48,63,23,0,0,6,1,,,,,,,6,10,,,7,1,,,0,0,,,1,1,,,,,7,16,58,42,9,5,151,103,119,46,1,1,8,4,,,,,,,,,13,21,,,11,2,,,1,1,,,1,3,,,,,18,25
4,2019-01-06,11:00,SWEDEN - SUPERETTAN,2019,Mjallby,Jonkoping,ROUND 11,0,0,1,0,3.6,2.1,3,3.4,2.2,3.1,1.4,2.75,1.4,2.75,,,,,3,1.36,2.75,1.40,,,,,9,1.07,8.00,1.08,3,3.4,2.3,2.8,3.4,2.45,1.61,1.33,1.4,1.57,1.33,1.44,1.8,1.95,1.75,2,1.07,9.5,1.05,11.00,1.08,6.4,1.08,8.20,1.33,3.25,1.28,3.50,1.57,2.38,1.41,2.43,2.05,1.75,1.95,1.85,2.9,1.4,2.46,1.4,3.5,1.28,3.40,1.30,5.6,1.1,5.20,1.16,7,1.1,6.50,1.11,12.5,1.03,13.00,1.03,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,2.42,1.52,1.8,2.05,3.55,1.27,1.42,2.75,5.9,1.13,1.22,4.15,8.2,1.07,1.12,6.25,,,1.04,13,,,,,9.5,7.5,11,21,9,6.5,9,19,15,11,15,29,34,26,34,51,51,41,51,101,67,51,67,126,351,47,53,3,1,51,55,37,23,1,0,2,1,,,,,,,7,4,,,7,3,,,0,1,,,,,,,,,12,16,48,52,7,3,100,96,70,49,3,1,4,2,,,,,,,,,19,16,,,8,4,,,1,2,,,3,1,,,,,21,22
5,2019-01-06,11:00,SWEDEN - SUPERETTAN,2019,Norrby,Dalkurd,ROUND 11,0,0,0,0,2.75,2.25,3.6,2.75,2.3,3.6,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,2.2,3.6,3.1,2.1,3.6,3.2,1.34,1.29,1.75,1.36,1.29,1.75,1.7,2.05,1.66,2.1,1.05,12,1.04,13.00,1.05,7.6,1.06,9.60,1.25,3.75,1.25,3.75,1.42,2.82,1.46,2.72,1.8,2,1.8,2,2.4,1.56,2.24,1.55,3.25,1.33,3.00,1.36,4.5,1.16,4.46,1.21,6,1.12,5.50,1.14,10.5,1.04,10.5,1.04,13,1.04,13,1.04,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.62,2.25,1.95,1.9,1.47,2.6,2.5,1.5,1.26,3.7,3.7,1.26,1.13,5.9,5.5,1.15,1.06,8.4,9.5,1.07,,,,,,,12,10,17,34,8,6.5,11,26,11,9,13,29,21,17,26,41,67,51,67,101,41,41,51,81,251,44,56,1,4,46,68,23,47,0,2,1,2,,,,,,,7,7,,,1,3,,,2,0,,,,,,,,,6,12,37,63,1,7,85,122,42,79,0,3,1,4,,,,,,,,,16,12,,,1,3,,,3,0,,,1,1,,,,,16,16
6,2019-01-08,14:00,SWEDEN - SUPERETTAN,2019,Mjallby,Norrby,ROUND 18,1,1,1,1,2.5,2.25,4,2.37,2.25,4.5,1.33,3.25,1.36,3.00,,,,,2.62,1.44,2.62,1.44,,,,,6.5,1.11,7.00,1.10,1.9,3.5,4,1.75,3.75,4.33,1.22,1.28,1.8,1.2,1.25,2,1.66,2.1,1.75,2,1.05,12,1.05,12,1.05,7.9,1.04,8.50,1.22,4,1.25,3.75,1.34,3.04,1.33,3.00,1.75,2.05,1.80,2.00,2.27,1.62,2.28,1.56,2.75,1.4,3.00,1.36,4.2,1.19,4.10,1.20,5.5,1.14,6.00,1.12,7.5,1.05,7.80,1.04,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.32,3.3,2.2,1.65,1.18,4.65,3.1,1.35,1.08,9,4.25,1.21,,,6.8,1.1,,,8.9,1.06,,,12,13,21,41,8.5,6.5,13,29,10,8.5,13,34,17,15,23,41,81,67,67,101,34,29,41,81,201,69,31,5,3,64,49,38,20,3,2,2,1,,,,,,,7,6,,,1,1,,,1,2,,,,,,,,,3,13,62,38,14,7,138,93,99,54,6,2,8,5,,,,,,,,,12,18,,,7,4,,,1,5,,,1,2,,,,,9,23
7,2019-01-09,10:00,SWEDEN - SUPERETTAN,2019,Brommapojkarna,Syrianska,ROUND 22,1,1,1,1,2.5,2.4,4,2.5,2.4,4,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.25,1.57,,,,,5.5,1.14,5.5,1.14,1.85,3.6,4,1.85,3.6,4,1.22,1.28,1.83,1.22,1.28,1.83,1.5,2.5,1.5,2.5,1.02,17,1.02,17,1.03,9.1,1.02,11.50,1.16,5,1.16,5,1.26,3.48,1.24,3.80,1.57,2.35,1.57,2.35,1.93,1.85,1.84,1.90,2.37,1.53,2.37,1.53,3.52,1.29,3.30,1.30,4,1.22,4,1.22,6.25,1.09,6.30,1.08,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,1.42,2.75,1.67,2.15,1.35,3.1,2.15,1.67,1.19,4.5,3,1.37,1.11,5.95,4,1.23,,,6.25,1.12,,,,,,,17,15,23,41,10,7,13,26,11,8.5,11,29,17,13,19,34,81,51,51,81,34,26,34,51,126,63,37,3,6,70,42,49,23,1,2,2,4,,,,,,,6,6,,,6,0,,,1,0,,,0,1,,,,,8,13,58,42,12,12,142,90,107,51,4,3,8,9,,,,,,,,,11,9,,,13,0,,,2,3,,,0,2,,,,,20,23
8,2019-01-09,10:00,SWEDEN - SUPERETTAN,2019,Jonkoping,Orgryte,ROUND 22,2,2,5,2,2.87,2.05,4.33,3,2.05,4,1.5,2.5,1.44,2.62,,,,,3.4,1.3,3.25,1.33,,,,,10,1.06,10,1.06,2,3.2,3.8,2.25,3.1,3.25,1.25,1.36,1.72,1.33,1.36,1.57,1.95,1.8,1.9,1.9,1.08,8,1.08,8.50,1.12,5.35,1.10,6.80,1.4,2.75,1.36,3.00,1.7,2.13,1.51,2.40,2.25,1.61,2.15,1.66,3.32,1.32,3.10,1.35,4,1.22,3.75,1.25,6.4,1.08,7.00,1.10,10,1.06,9.00,1.07,10.5,1.01,10.00,1.01,21,1.01,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.5,1.8,2.05,1.37,3,2.37,1.55,1.19,4.5,3.55,1.27,1.1,7,5.5,1.15,1.03,9.6,9.5,1.07,,,,,,,8,9,17,41,6.5,6,13,34,9,9,17,41,19,19,34,67,101,81,101,201,41,41,67,151,501,57,43,3,4,55,51,25,35,2,2,1,2,,,,,,,6,6,,,1,3,,,0,0,,,1,0,,,,,18,13,52,48,10,5,103,96,57,69,6,3,4,2,,,,,,,,,14,15,,,2,3,,,1,1,,,1,1,,,,,35,22
9,2019-01-09,12:30,SWEDEN - SUPERETTAN,2019,Dalkurd,Norrby,ROUND 22,0,1,3,1,2.75,2.25,3.6,2.75,2.25,3.75,1.36,3,1.33,3.25,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,2.1,3.6,3.2,2.1,3.5,3.25,1.36,1.28,1.66,1.33,1.28,1.66,1.66,2.1,1.66,2.1,1.04,13,1.05,12.00,1.05,8,1.04,9.00,1.25,3.75,1.25,3.75,1.38,2.99,1.38,3.00,1.75,2.05,1.80,2.00,2.29,1.61,2.25,1.57,3,1.36,2.75,1.40,4.24,1.18,4.64,1.18,5.5,1.14,5.5,1.14,7.6,1.05,7.50,1.05,13,1.04,11.00,1.05,,,,,23,1.01,23,1.01,,,,,,,,,,,,,,,,,1.62,2.25,1.95,1.9,1.47,2.6,2.5,1.5,1.27,3.55,3.7,1.26,1.14,5.75,5.5,1.15,1.07,8,7,1.1,,,,,,,13,11,17,34,8.5,7,11,23,11,9,13,29,21,17,23,41,67,51,51,101,41,34,41,81,201,60,40,0,3,73,37,36,23,0,2,0,1,,,,,,,3,8,,,3,2,,,1,0,,,0,2,,,,,11,7,60,40,7,7,131,79,73,49,5,4,2,3,,,,,,,,,8,17,,,6,3,,,3,2,,,2,5,1,0,,,16,14
10,2019-01-09,12:30,SWEDEN - SUPERETTAN,2019,Trelleborg,Vasteras SK,ROUND 22,2,0,2,1,2.87,2.25,3.5,2.87,2.25,3.6,1.33,3.25,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,6.5,1.11,8.00,1.08,2.3,3.4,3,2.2,3.4,3.2,1.36,1.3,1.57,1.36,1.3,1.61,1.61,2.2,1.75,2,1.05,12,1.05,11.00,1.06,7.5,1.06,8.10,1.22,4,1.28,3.50,1.37,3.08,1.43,2.63,1.72,2.07,1.95,1.85,2.21,1.65,2.52,1.46,2.75,1.4,3.25,1.33,3.92,1.21,5.50,1.15,5.5,1.14,6.50,1.11,7.1,1.06,8.10,1.04,11,1.05,15.00,1.03,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.67,2.15,2.02,1.83,1.5,2.5,2.67,1.45,1.27,3.55,3.9,1.24,1.14,5.75,5.75,1.14,1.1,7,11,1.06,,,,,,,12,11,17,34,9,6.5,11,23,12,9,12,29,21,17,23,41,67,51,51,101,41,41,51,81,151,54,46,2,2,37,34,21,15,2,1,0,1,,,,,,,6,8,,,4,7,,,1,0,,,1,1,,,,,7,10,50,50,9,10,74,82,39,42,4,6,5,4,,,,,,,,,10,18,,,7,10,,,5,2,,,1,2,,,,,14,17
