Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,11:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Basel,Lugano,ROUND 6,1,0,2,1,2.05,2.4,5.5,2.05,2.5,5,1.3,3.4,1.28,3.50,,,,,2.5,1.5,2.25,1.57,,,,,6,1.12,5.50,1.14,1.5,4.33,6,1.44,4.5,6.5,1.12,1.2,2.5,1.11,1.18,2.62,1.72,2,1.66,2.1,1.03,15,1.02,17.00,1.03,9.6,1.02,11.00,1.2,4.33,1.18,4.50,1.26,3.78,1.23,3.90,1.65,2.2,1.57,2.35,1.9,1.88,1.98,1.88,2.62,1.44,2.37,1.53,3.3,1.29,3.40,1.29,5,1.16,4.33,1.20,5.95,1.09,6.40,1.10,10,1.06,9.00,1.07,,,,,21,1.01,17.00,1.02,,,,,,,,,,,,,,,,,1.21,4.25,1.37,3,1.17,4.8,1.65,2.2,1.1,7,2.15,1.67,,,2.85,1.4,,,4.15,1.22,,,5.9,1.13,,,15,17,34,67,7.5,8,17,41,8,8,15,41,11,12,21,51,201,101,101,151,21,21,41,81,251,61,39,7,9,70,35,54,26,5,1,1,7,1,1,,,,,5,9,,,5,4,1,1,1,4,4,8,1,3,,,,,8,5,52,48,16,19,103,89,82,74,11,4,3,11,2,4,,,,,,,10,16,,,9,7,1,1,3,9,8,14,2,4,,,,,21,11
2,2019-01-09,11:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Luzern,Young Boys,ROUND 6,1,2,2,2,5,2.5,2.05,4.5,2.62,2.1,1.28,3.5,1.25,3.75,,,,,2.25,1.57,2.10,1.66,,,,,5.5,1.14,4.50,1.18,5.75,4.2,1.53,5.25,4.33,1.55,2.37,1.22,1.14,2.25,1.22,1.16,1.61,2.2,1.5,2.5,1.02,17,1.02,19.00,1.03,8.7,1.01,12.50,1.16,5,1.12,6.00,1.25,3.54,1.20,4.20,1.57,2.35,1.44,2.70,1.9,1.88,1.70,2.14,2.25,1.57,2.10,1.66,3.38,1.31,3.00,1.36,4,1.22,3.50,1.28,5.95,1.1,5.50,1.13,8,1.08,6.50,1.11,8.8,1.03,8.40,1.03,17,1.02,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,4.25,1.21,4.65,1.18,3,1.37,7,1.1,2.15,1.67,,,1.7,2.1,,,1.42,2.75,,,1.24,3.9,,,1.14,5.75,17,9,9,12,19,8,8,11,34,17,13,21,51,41,41,41,21,21,34,67,151,81,81,101,151,41,59,7,5,32,46,16,32,2,2,3,3,2,0,,,,,8,9,,,1,2,0,1,0,1,9,9,3,1,,,,,14,10,43,57,13,11,71,96,42,77,4,2,7,8,2,1,,,,,,,23,18,,,4,10,2,2,0,2,22,16,5,2,0,1,,,20,13
3,2019-01-09,11:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Thun,Sion,ROUND 6,0,1,0,1,3.1,2.25,3.2,2.87,2.3,3.4,1.33,3.25,1.33,3.25,,,,,2.5,1.5,2.5,1.5,,,,,6.5,1.11,6.00,1.12,2.5,3.4,2.7,2.15,3.4,3.3,1.44,1.3,1.5,1.33,1.3,1.66,1.57,2.25,1.57,2.25,1.04,13,1.04,13,1.04,8.5,1.03,10.00,1.2,4.33,1.2,4.33,1.33,3.26,1.28,3.50,1.7,2.1,1.66,2.15,2.14,1.69,2.09,1.74,2.62,1.44,2.62,1.44,3.82,1.22,3.90,1.23,5,1.16,5,1.16,7,1.06,7.30,1.07,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,1.88,1.98,2.2,1.65,1.62,2.25,3,1.37,1.35,3.1,4.4,1.2,1.19,4.5,6.4,1.11,1.11,6.6,,,,,,,,,13,11,15,26,11,6.5,10,19,15,10,11,26,26,19,23,41,51,41,51,81,51,41,51,81,151,56,44,8,2,56,58,41,27,0,2,4,0,4,0,,,,,8,7,,,3,2,0,1,1,0,7,6,2,1,,,,,13,11,55,45,17,14,99,128,84,70,1,8,10,6,6,0,,,,,,,18,13,,,6,5,0,1,7,1,15,10,4,4,,,,,28,20
4,2019-01-12,12:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Basel,Young Boys,ROUND 16,2,0,3,0,3,2.4,3,2.87,2.37,3.1,1.25,3.75,1.28,3.50,,,,,2.2,1.61,2.25,1.57,,,,,5,1.16,5.50,1.14,2.5,3.6,2.6,2.4,3.2,2.75,1.5,1.28,1.5,1.4,1.36,1.53,1.44,2.62,1.44,2.62,1.02,19,1.02,17.00,1.01,12.5,1.02,11.00,1.14,5.5,1.14,5.5,1.18,4.2,1.23,3.90,1.44,2.7,1.53,2.40,1.71,2.11,1.79,2.01,2.2,1.61,2.2,1.61,2.86,1.41,3.40,1.29,3.75,1.25,4.00,1.22,5.05,1.14,6.40,1.09,7,1.1,8.00,1.08,8.4,1.03,8.90,1.03,15,1.03,15,1.03,,,,,26,1.01,26,1.01,,,,,,,,,1.83,2.02,2.07,1.72,1.6,2.3,2.75,1.42,1.35,3.1,3.9,1.24,1.2,4.4,5.75,1.14,1.12,6.25,,,,,,,,,19,15,17,26,13,7.5,10,17,17,10,11,21,26,17,21,29,51,34,41,51,41,34,41,51,81,47,53,6,7,47,64,26,57,3,3,1,2,2,2,,,,,9,7,,,3,4,0,1,3,1,9,7,1,0,,,,,17,7,45,55,10,12,98,120,59,112,6,4,2,6,2,2,,,,,,,13,17,,,4,8,1,2,4,3,13,17,2,2,,,,,30,18
5,2019-01-12,12:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Lugano,Servette,ROUND 16,0,0,1,0,3.1,2.25,3.2,2.87,2.2,3.5,1.36,3,1.36,3,,,,,2.62,1.44,2.75,1.40,,,,,6.5,1.11,8.00,1.08,2.5,3.4,2.7,2.05,3.5,3.1,1.44,1.3,1.5,1.36,1.25,1.61,1.61,2.2,1.72,2,1.05,12,1.05,11.00,1.05,7.9,1.06,8.00,1.22,4,1.28,3.50,1.39,2.95,1.42,2.75,1.8,2,1.85,1.95,2.33,1.59,2.14,1.68,2.75,1.4,3.25,1.33,4.3,1.18,4.90,1.16,5.5,1.14,6.00,1.12,7.7,1.05,9.80,1.03,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.88,1.98,2.15,1.67,1.6,2.3,3,1.37,1.32,3.3,4.4,1.2,1.17,4.8,6.4,1.11,1.1,7,,,,,,,,,12,11,15,26,10,6.5,10,21,13,10,12,26,23,19,26,41,51,41,51,81,51,41,51,81,151,48,52,5,5,38,35,39,26,0,1,1,3,4,1,,,,,12,10,,,1,2,2,0,1,0,10,10,1,1,,,,,12,14,46,54,13,14,70,77,79,78,3,3,3,9,7,2,,,,,,,24,17,,,8,7,5,0,3,2,19,16,3,5,,,,,32,22
6,2019-01-12,12:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Luzern,St. Gallen,ROUND 16,1,1,1,4,3.2,2.37,2.87,2.87,2.37,3.25,1.28,3.5,1.30,3.40,,,,,2.37,1.53,2.50,1.50,,,,,5.5,1.14,6.00,1.12,2.87,3.6,2.3,2.3,3.5,2.7,1.57,1.28,1.4,1.44,1.28,1.57,1.5,2.5,1.57,2.25,1.02,17,1.03,15.00,1.03,9.5,1.04,9.70,1.16,5,1.20,4.33,1.26,3.78,1.30,3.30,1.57,2.35,1.65,2.20,1.9,1.88,2.02,1.79,2.37,1.53,2.62,1.44,3.3,1.29,3.90,1.23,4.33,1.2,5.00,1.16,5.95,1.09,7.70,1.06,9,1.07,10.00,1.06,,,,,17,1.02,21.00,1.01,,,,,,,,,,,,,,,,,2.1,1.7,2.42,1.52,1.83,2.02,3.45,1.3,1.45,2.67,5,1.17,1.26,3.7,7,1.1,1.15,5.5,,,,,,,,,17,12,13,23,13,7,9.5,17,17,11,11,21,29,21,23,34,41,34,41,51,51,41,41,67,101,46,54,7,6,37,42,27,36,2,2,3,1,2,3,,,,,10,8,,,4,2,3,0,1,1,9,9,4,2,,,,,8,17,43,57,11,15,85,101,51,83,3,6,4,6,4,3,,,,,,,22,19,,,5,5,8,3,2,2,17,17,6,3,,,,,19,23
7,2019-02-11,15:00,SWITZERLAND - SUPER LEAGUE,2019/2020,St. Gallen,Sion,ROUND 13,0,0,3,0,2.25,2.4,4.33,2.4,2.37,4,1.28,3.5,1.30,3.40,,,,,2.37,1.53,2.37,1.53,,,,,5.5,1.14,5.5,1.14,1.7,3.8,4.75,1.85,3.6,4,1.18,1.25,2.1,1.22,1.28,1.83,1.57,2.25,1.57,2.25,1.03,15,1.03,15,1.03,9.4,1.03,9.20,1.18,4.5,1.18,4.5,1.27,3.68,1.29,3.56,1.57,2.35,1.61,2.25,1.93,1.85,1.93,1.87,2.5,1.5,2.5,1.5,3.34,1.28,3.48,1.26,4.33,1.2,4.50,1.18,6.15,1.08,6.30,1.08,9,1.07,9,1.07,,,,,19,1.02,19,1.02,,,,,,,,,,,,,,,,,1.32,3.25,1.52,2.45,1.25,3.75,1.9,1.95,1.14,5.6,2.7,1.45,1.07,8,3.75,1.25,,,4.78,1.18,,,,,,,15,17,26,41,9.5,7.5,15,34,10,8.5,13,34,15,13,21,41,101,67,67,81,26,23,34,51,126,55,45,10,5,44,38,44,23,3,2,5,3,2,0,,,,,5,6,,,6,3,1,2,2,3,4,4,0,1,,,,,8,13,54,46,21,10,88,73,77,36,10,3,7,4,4,3,,,,,,,10,14,,,11,4,2,4,3,7,8,10,0,1,,,,,22,32
8,2019-02-11,15:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Thun,Zurich,ROUND 13,0,1,0,1,3.2,2.25,3,3,2.25,3.2,1.33,3.25,1.33,3.25,,,,,2.5,1.5,2.5,1.5,,,,,6.5,1.11,6.5,1.11,2.8,3.4,2.4,2.5,3.4,2.7,1.53,1.3,1.4,1.44,1.3,1.5,1.53,2.37,1.53,2.37,1.04,13,1.04,13,1.04,8.6,1.04,8.50,1.2,4.33,1.2,4.33,1.33,3.26,1.34,3.20,1.66,2.15,1.66,2.15,2.11,1.71,2.16,1.67,2.62,1.44,2.62,1.44,3.82,1.22,3.92,1.21,5,1.16,5,1.16,6.95,1.06,7.10,1.06,10,1.06,10,1.06,,,,,21,1.01,21,1.01,,,,,,,,,,,,,,,,,2.05,1.8,2.28,1.6,1.65,2.18,3.2,1.33,1.35,3.1,4.6,1.18,1.18,4.8,6.75,1.1,1.1,7,,,,,,,,,13,11,13,23,12,6.5,10,19,15,11,12,23,29,21,26,34,41,41,41,67,51,41,51,67,126,57,43,10,2,46,53,33,32,3,1,6,0,1,1,,,,,5,11,,,1,2,0,0,0,3,4,11,2,2,,,,,11,9,64,36,26,4,96,88,85,51,9,2,13,1,4,1,,,,,,,8,20,,,5,3,0,2,1,9,7,18,4,4,1,1,,,22,19
9,2019-03-08,14:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Sion,Zurich,ROUND 3,1,1,3,1,2.87,2.25,3.5,2.75,2.25,3.6,1.33,3.25,1.36,3.00,,,,,2.62,1.44,2.62,1.44,,,,,6.5,1.11,7.00,1.10,2.2,3.5,3.1,2.1,3.5,3.3,1.36,1.28,1.61,1.33,1.28,1.66,1.61,2.2,1.66,2.1,1.05,12,1.05,12,1.05,7.9,1.07,6.90,1.22,4,1.25,3.75,1.39,2.95,1.47,2.68,1.8,2,1.8,2,2.33,1.59,2.74,1.45,2.75,1.4,3.00,1.36,4.32,1.18,5.10,1.13,5.5,1.14,5.5,1.14,7.8,1.04,8.90,1.03,11,1.05,13.00,1.04,,,,,23,1.01,26.00,1.01,,,,,,,,,,,,,,,,,1.67,2.15,2,1.85,1.5,2.5,2.6,1.47,1.27,3.55,3.8,1.25,1.14,5.75,5.75,1.14,1.08,7.7,,,,,,,,,12,11,17,34,9,6.5,11,23,12,9,13,29,21,17,23,41,67,51,51,101,41,41,51,81,201,47,53,4,8,19,30,11,19,2,3,2,2,0,3,,,,,7,4,,,2,3,0,1,2,1,5,4,1,0,,,,,12,15,49,51,7,10,103,88,49,71,4,3,3,4,0,3,,,,,,,11,13,,,7,4,0,1,2,1,10,13,3,1,0,1,,,23,28
10,2019-03-08,14:00,SWITZERLAND - SUPER LEAGUE,2019/2020,Thun,Basel,ROUND 3,1,1,2,3,5,2.5,2.1,4.33,2.4,2.25,1.28,3.5,1.28,3.5,,,,,2.25,1.57,2.25,1.57,,,,,5.5,1.14,5.5,1.14,6,4,1.55,5,3.8,1.66,2.37,1.22,1.12,2.1,1.25,1.16,1.61,2.2,1.57,2.25,1.03,15,1.02,17.00,1.02,9.9,1.02,11.00,1.16,5,1.16,5,1.24,3.96,1.24,3.90,1.53,2.4,1.57,2.35,1.84,1.94,1.89,1.91,2.37,1.53,2.37,1.53,3.14,1.31,3.44,1.30,4,1.22,4,1.22,5.65,1.1,7.00,1.1,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,4.15,1.22,4.65,1.18,3,1.37,7,1.1,2.1,1.7,,,1.67,2.15,,,1.4,2.85,,,1.23,4,,,1.14,5.75,15,9,9,12,19,7.5,8,12,34,17,13,21,51,41,41,41,21,21,34,67,151,81,81,101,151,46,54,9,10,19,24,16,17,4,3,4,5,1,2,,,,,5,8,,,3,2,0,1,2,3,4,7,3,0,,,,,18,7,44,56,14,17,91,111,47,65,5,8,6,6,3,3,,,,,,,10,13,,,4,4,1,1,5,3,9,11,4,1,,,,,32,16
