Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-09,13:15,TURKEY - 1. LIG,2019/2020,Giresunspor,Hatayspor,ROUND 3,1,0,2,2,3.75,2.05,3,4,2.25,2.6,1.44,2.62,1.36,3.00,,,,,3.25,1.33,2.75,1.40,,,,,10,1.06,7.00,1.10,3,3.4,2.15,3.2,3.6,1.9,1.66,1.3,1.36,1.72,1.25,1.33,1.9,1.8,1.72,2,1.07,9,1.05,11.00,1.09,6.05,1.04,8.10,1.36,3,1.25,3.75,1.58,2.29,1.37,2.85,2.1,1.7,1.80,2.00,2.94,1.37,2.28,1.55,4,1.22,3.25,1.33,5.7,1.1,4.30,1.18,9,1.07,6.00,1.12,,,,,19,1.02,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.38,1.55,2.85,1.41,1.91,1.85,4.25,1.21,1.48,2.55,6.25,1.1,1.24,3.95,,,1.13,5.8,,,,,,,,,9,7,10,21,8,6.5,9.5,19,15,11,17,34,34,29,41,67,41,41,67,151,81,67,81,151,301,42,58,2,1,35,33,38,19,1,0,1,1,,,,,,,11,10,,,3,1,,,0,0,,,1,2,,,,,5,7,41,59,5,6,74,82,65,53,2,3,3,3,,,,,,,,,24,18,,,3,3,,,1,0,,,6,3,,,,,14,14
2,2019-01-09,13:15,TURKEY - 1. LIG,2019/2020,Karagumruk,Menemenspor,ROUND 3,0,0,1,1,2.5,2.25,4.33,2.87,2.2,3.6,1.36,3,1.36,3,,,,,2.62,1.44,2.62,1.44,,,,,7,1.1,7,1.1,1.8,3.6,3.8,2.1,3.4,2.87,1.22,1.25,1.83,1.36,1.28,1.61,1.72,2,1.72,2,1.05,12,1.05,12,1.05,7.6,1.05,7.70,1.25,3.75,1.25,3.75,1.39,2.85,1.40,2.75,1.8,2,1.85,1.95,2.31,1.57,2.38,1.51,3,1.36,3,1.36,4.3,1.17,4.60,1.16,6,1.12,6,1.12,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.36,3.05,1.58,2.28,1.28,3.55,2.1,1.7,1.15,5.4,3.05,1.36,1.12,5.6,4.35,1.2,,,5.2,1.14,,,,,,,12,12,21,41,8,7,13,29,9.5,8.5,15,34,15,15,23,51,101,67,81,126,34,29,41,81,251,59,41,4,3,40,30,32,33,0,1,4,2,,,,,,,8,11,,,2,2,,,1,0,,,2,2,,,,,11,12,53,47,9,8,80,64,62,72,4,3,5,5,,,,,,,,,19,19,,,4,2,,,2,3,,,3,4,,,,,28,19
3,2019-01-09,15:45,TURKEY - 1. LIG,2019/2020,Adana Demirspor,Keciorengucu,ROUND 3,0,0,0,0,2.37,2.25,4.75,2.3,2.3,4.75,1.4,2.75,1.36,3.00,,,,,2.75,1.4,2.62,1.44,,,,,8,1.08,7.00,1.10,1.66,3.6,4.33,1.66,3.75,4,1.18,1.25,2,1.2,1.22,2,1.83,1.83,1.8,1.9,1.05,11,1.05,12.00,1.06,6.7,1.05,7.60,1.28,3.5,1.25,3.75,1.49,2.51,1.39,2.85,1.95,1.85,1.80,2.00,2.65,1.45,2.31,1.57,3.4,1.3,3.00,1.36,5.05,1.13,4.30,1.17,6.5,1.11,5.50,1.14,,,,,15,1.03,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.26,3.7,1.45,2.65,1.21,4.25,2,1.8,1.11,6.5,2.6,1.48,,,3.7,1.26,,,5.35,1.13,,,,,,,11,12,23,51,6.5,7,15,41,8,8.5,17,41,13,15,29,51,151,101,101,151,29,29,51,101,301,49,51,6,2,46,47,26,26,3,0,3,2,,,,,,,4,9,,,4,2,,,0,3,,,1,1,,,,,14,10,46,54,12,4,90,93,58,59,7,1,5,3,,,,,,,,,10,16,,,4,4,,,1,7,,,2,3,,,,,32,21
4,2019-01-09,15:45,TURKEY - 1. LIG,2019/2020,Eskisehirspor,Bursaspor,ROUND 3,0,0,0,2,3.25,2.2,3.1,2.87,2.25,3.5,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,7,1.1,2.45,3.6,2.45,2.1,3.6,2.75,1.53,1.28,1.5,1.36,1.25,1.61,1.66,2.1,1.66,2.1,1.05,12,1.04,13.00,1.05,7.7,1.04,8.10,1.28,3.5,1.25,3.75,1.38,2.9,1.37,2.85,1.8,2,1.8,2,2.29,1.58,2.28,1.55,3.25,1.33,3.00,1.36,4.24,1.17,4.30,1.18,6,1.12,6,1.12,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.9,1.9,2.3,1.6,1.58,2.33,2.95,1.38,1.3,3.3,4.5,1.19,1.19,4.4,6.5,1.11,,,,,,,,,,,12,8.5,12,23,9,7,9.5,19,13,10,15,26,26,21,29,51,51,41,51,101,51,41,51,101,251,55,45,5,2,54,41,35,16,2,0,3,2,,,,,,,10,9,,,1,0,,,0,2,,,,,,,,,12,21,56,44,10,8,104,84,79,32,3,5,7,3,,,,,,,,,18,24,,,6,0,,,3,3,,,1,3,,,,,19,30
5,2019-01-12,08:00,TURKEY - 1. LIG,2019/2020,Giresunspor,Adana Demirspor,ROUND 13,1,0,1,0,3.2,2.1,3.4,3,2.1,3.75,1.44,2.62,1.40,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,2.45,3.2,2.75,2.2,3.1,3,1.4,1.36,1.53,1.33,1.33,1.57,1.8,1.9,1.72,2,1.07,9.5,1.06,10.00,1.09,6.05,1.07,6.80,1.3,3.4,1.28,3.50,1.53,2.4,1.49,2.44,2.05,1.75,1.97,1.82,2.73,1.42,2.70,1.41,3.5,1.28,3.40,1.30,5.25,1.12,5.30,1.12,7,1.1,7,1.1,,,,,15,1.03,15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.98,2.1,1.7,1.53,2.43,3.1,1.35,1.27,3.6,5,1.17,1.16,4.74,7.5,1.09,,,,,,,,,,,9.5,9,13,29,8.5,6.5,11,23,12,10,15,34,23,21,29,51,51,51,67,101,51,41,51,101,251,48,52,2,5,34,47,42,28,1,2,1,3,,,,,,,11,4,,,5,0,,,2,0,,,1,0,,,,,23,17,53,47,5,8,81,98,78,64,2,2,3,6,,,,,,,,,14,21,,,7,5,,,2,1,,,3,1,,,,,44,34
6,2019-01-12,08:00,TURKEY - 1. LIG,2019/2020,Umraniyespor,Akhisarspor,ROUND 13,1,2,2,2,3.2,2.05,3.5,2.5,2.1,4.75,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,2.37,3,3,1.8,3.25,4,1.36,1.36,1.53,1.2,1.3,1.83,1.8,1.9,1.83,1.83,1.08,8.5,1.07,9.00,1.08,6.1,1.07,6.80,1.33,3.25,1.33,3.25,1.58,2.29,1.49,2.44,2.07,1.72,2.05,1.75,2.94,1.37,2.70,1.41,3.75,1.25,3.50,1.28,5.7,1.1,5.30,1.12,8,1.08,8,1.08,,,,,17,1.02,17,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.73,2.08,2.02,1.77,1.49,2.55,3.05,1.36,1.25,3.8,4.9,1.17,,,7.5,1.09,,,5.85,1.11,,,,,,,8.5,9,15,29,8,6,11,23,12,10,15,34,23,21,34,51,51,51,67,126,51,41,51,101,251,55,45,4,4,42,41,24,28,1,3,3,1,,,,,,,8,10,,,1,2,,,1,0,,,0,1,,,,,13,13,55,45,13,7,103,90,59,58,3,5,10,2,,,,,,,,,18,20,,,4,5,,,3,1,,,3,3,,,,,25,25
7,2019-01-12,10:30,TURKEY - 1. LIG,2019/2020,Boluspor,Menemenspor,ROUND 13,2,1,2,2,2.5,2.1,4.75,3.1,2.05,3.6,1.44,2.62,1.44,2.62,,,,,3.25,1.33,3.25,1.33,,,,,9,1.07,9,1.07,1.83,3.4,3.9,2.3,3.2,2.75,1.22,1.28,1.8,1.36,1.33,1.53,1.9,1.8,1.83,1.83,1.07,9,1.07,9,1.09,6.05,1.07,6.80,1.36,3,1.33,3.25,1.59,2.27,1.49,2.44,2.1,1.7,2.1,1.7,2.97,1.37,2.70,1.41,3.75,1.25,3.75,1.25,5.75,1.1,5.30,1.12,8,1.08,8,1.08,,,,,19,1.02,17.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,1.68,2.15,1.88,1.93,1.32,3.3,2.3,1.58,1.16,5,3.5,1.29,1.1,6.25,5.2,1.16,,,6.25,1.1,,,,,,,9,10,21,41,6.5,7,15,34,8.5,9,17,41,15,17,29,51,101,81,101,151,34,34,51,101,351,57,43,6,5,41,36,30,25,3,3,3,2,,,,,,,6,8,,,4,4,,,2,1,,,0,2,,,,,15,13,55,45,12,9,82,85,59,48,7,4,5,5,,,,,,,,,14,17,,,6,6,,,2,5,,,0,3,,,,,26,23
8,2019-01-12,13:00,TURKEY - 1. LIG,2019/2020,Altay,Eskisehirspor,ROUND 13,1,1,1,1,2.05,2.4,5.5,2.25,2.25,5,1.3,3.4,1.40,2.75,,,,,2.37,1.53,2.75,1.40,,,,,5.5,1.14,8.00,1.08,1.5,4,5.5,1.61,3.75,4.33,1.12,1.2,2.37,1.18,1.22,2.1,1.66,2.1,1.9,1.8,1.03,15,1.05,11.00,1.02,9.4,1.07,6.80,1.18,4.5,1.28,3.50,1.24,3.8,1.49,2.44,1.53,2.4,1.95,1.85,1.85,1.89,2.70,1.41,2.5,1.5,3.40,1.30,3.14,1.3,5.30,1.12,4.5,1.18,6.50,1.11,,,,,10,1.06,15.00,1.03,,,,,19,1.02,23.00,1.01,,,,,,,,,,,,,,,,,1.2,4.4,1.36,3.05,1.17,4.9,1.68,2.15,1.09,7.5,2.2,1.63,,,3.05,1.36,,,3.74,1.25,,,,,,,15,17,29,51,8.5,8,17,41,8.5,8,15,41,12,12,21,41,151,81,81,126,21,21,34,67,151,57,43,6,4,60,47,43,15,4,2,2,2,,,,,,,18,7,,,1,0,,,1,3,,,,,,,,,17,12,55,45,13,10,119,91,96,48,7,4,6,6,,,,,,,,,25,16,,,3,4,,,3,6,,,1,2,,,,,26,25
9,2019-02-11,08:00,TURKEY - 1. LIG,2019/2020,Hatayspor,Altay,ROUND 10,1,0,3,2,2.6,2.2,4.33,2.6,2.2,4.33,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,8,1.08,8,1.08,1.83,3.3,4,1.9,3.1,3.75,1.2,1.3,1.8,1.22,1.33,1.72,1.72,2,1.72,2,1.06,10,1.06,10,1.08,6.3,1.06,7.10,1.28,3.5,1.28,3.5,1.46,2.57,1.39,2.69,1.9,1.9,1.9,1.9,2.51,1.49,2.47,1.45,3.25,1.33,3.25,1.33,4.74,1.14,4.74,1.14,6.5,1.11,6.5,1.11,,,,,15,1.03,15,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.46,2.65,1.68,2.15,1.34,3.15,2.43,1.54,1.17,4.8,3.65,1.27,1.09,6.65,5.4,1.15,,,,,,,,,,,10,12,21,41,7.5,6.5,13,29,9.5,9,15,34,17,15,26,51,81,67,81,126,34,34,51,81,201,49,51,9,5,43,35,37,32,3,2,6,3,,,,,,,8,9,,,0,4,,,2,2,,,,,,,,,13,12,46,54,15,12,81,80,53,78,6,7,9,5,,,,,,,,,17,16,,,0,8,,,5,3,,,1,1,,,,,23,21
10,2019-02-11,10:30,TURKEY - 1. LIG,2019/2020,Adanaspor AS,Boluspor,ROUND 10,0,0,0,0,3.6,2.2,2.87,3.25,2.1,3.4,1.4,2.75,1.36,3.00,,,,,3,1.36,2.75,1.40,,,,,9,1.07,7.00,1.10,3,3.4,2.15,2.5,3.1,2.55,1.66,1.3,1.36,1.44,1.33,1.44,1.8,1.9,1.66,2.1,1.06,10,1.05,11.00,1.09,5.9,1.07,6.50,1.33,3.25,1.25,3.75,1.53,2.4,1.45,2.49,2.07,1.72,2.05,1.75,2.7,1.43,2.67,1.39,3.5,1.28,3.00,1.36,5.15,1.12,5.25,1.12,7,1.1,6.00,1.12,,,,,17,1.02,13.00,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2.2,1.65,2.55,1.49,1.74,2.05,3.75,1.25,1.38,2.95,5.6,1.12,1.18,4.7,,,1.1,7,,,,,,,,,10,7.5,11,21,9,6.5,9.5,19,15,11,15,29,34,26,34,51,41,41,51,101,67,51,67,126,251,54,46,3,3,55,44,40,34,2,2,1,1,,,,,,,10,9,,,2,4,,,2,2,,,0,2,,,,,9,13,52,48,6,6,104,80,75,62,3,4,3,2,,,,,,,,,23,16,,,6,8,,,4,3,,,4,5,,,,,19,19
