Nº,Date,Time,League,Season,Home,Away,Round,HT_Goals_H,HT_Goals_A,FT_Goals_H,FT_Goals_A,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_H_Open,HT_Odd_D_Open,HT_Odd_A_Open,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over05_Open,HT_Odd_Under05_Open,HT_Odd_Over1,HT_Odd_Under1,HT_Odd_Over1_Open,HT_Odd_Under1_Open,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over15_Open,HT_Odd_Under15_Open,HT_Odd_Over2,HT_Odd_Under2,HT_Odd_Over2_Open,HT_Odd_Under2_Open,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_Over25_Open,HT_Odd_Under25_Open,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_H_Open,FT_Odd_D_Open,FT_Odd_A_Open,FT_Odd_DC_1X,FT_Odd_DC_12,FT_Odd_DC_X2,FT_Odd_DC_1X_Open,FT_Odd_DC_12_Open,FT_Odd_DC_X2_Open,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_BTTS_Yes_Open,FT_Odd_BTTS_No_Open,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over05_Open,FT_Odd_Under05_Open,FT_Odd_Over1,FT_Odd_Under1,FT_Odd_Over1_Open,FT_Odd_Under1_Open,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over15_Open,FT_Odd_Under15_Open,FT_Odd_Over2,FT_Odd_Under2,FT_Odd_Over2_Open,FT_Odd_Under2_Open,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over25_Open,FT_Odd_Under25_Open,FT_Odd_Over3,FT_Odd_Under3,FT_Odd_Over3_Open,FT_Odd_Under3_Open,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over35_Open,FT_Odd_Under35_Open,FT_Odd_Over4,FT_Odd_Under4,FT_Odd_Over4_Open,FT_Odd_Under4_Open,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_Over45_Open,FT_Odd_Under45_Open,FT_Odd_Over5,FT_Odd_Under5,FT_Odd_Over5_Open,FT_Odd_Under5_Open,FT_Odd_Over55,FT_Odd_Under55,FT_Odd_Over55_Open,FT_Odd_Under55_Open,FT_Odd_Over6,FT_Odd_Under6,FT_Odd_Over6_Open,FT_Odd_Under6_Open,FT_Odd_Over65,FT_Odd_Under65,FT_Odd_Over65_Open,FT_Odd_Under65_Open,FT_Odd_Over7,FT_Odd_Under7,FT_Odd_Over7_Open,FT_Odd_Under7_Open,FT_Odd_Over75,FT_Odd_Under75,FT_Odd_Over75_Open,FT_Odd_Under75_Open,FT_Odd_Over8,FT_Odd_Under8,FT_Odd_Over8_Open,FT_Odd_Under8_Open,FT_Odd_Over85,FT_Odd_Under85,FT_Odd_Over85_Open,FT_Odd_Under85_Open,FT_Odd_HA_DNB_H,FT_Odd_HA_DNB_A,FT_Odd_HA_Neg025_H,FT_Odd_HA_Pos025_A,FT_Odd_HA_Pos025_H,FT_Odd_HA_Neg025_A,FT_Odd_HA_Neg075_H,FT_Odd_HA_Pos075_A,FT_Odd_HA_Pos075_H,FT_Odd_HA_Neg075_A,FT_Odd_HA_Neg125_H,FT_Odd_HA_Pos125_A,FT_Odd_HA_Pos125_H,FT_Odd_HA_Neg125_A,FT_Odd_HA_Neg175_H,FT_Odd_HA_Pos175_A,FT_Odd_HA_Pos175_H,FT_Odd_HA_Neg175_A,FT_Odd_HA_Neg225_H,FT_Odd_HA_Pos225_A,FT_Odd_HA_Pos225_H,FT_Odd_HA_Neg225_A,FT_Odd_HA_Neg275_H,FT_Odd_HA_Pos275_A,FT_Odd_HA_Pos275_H,FT_Odd_HA_Neg275_A,FT_Odd_CS_0x0,FT_Odd_CS_0x1,FT_Odd_CS_0x2,FT_Odd_CS_0x3,FT_Odd_CS_1x0,FT_Odd_CS_1x1,FT_Odd_CS_1x2,FT_Odd_CS_1x3,FT_Odd_CS_2x0,FT_Odd_CS_2x1,FT_Odd_CS_2x2,FT_Odd_CS_2x3,FT_Odd_CS_3x0,FT_Odd_CS_3x1,FT_Odd_CS_3x2,FT_Odd_CS_3x3,FT_Odd_CS_0x4,FT_Odd_CS_1x4,FT_Odd_CS_2x4,FT_Odd_CS_3x4,FT_Odd_CS_4x0,FT_Odd_CS_4x1,FT_Odd_CS_4x2,FT_Odd_CS_4x3,FT_Odd_CS_4x4,HT_Ball_Possession_H,HT_Ball_Possession_A,HT_Goal_Attempts_H,HT_Goal_Attempts_A,HT_Attacks_H,HT_Attacks_A,HT_Dangerous_Attacks_H,HT_Dangerous_Attacks_A,HT_Shots_on_Goal_H,HT_Shots_on_Goal_A,HT_Shots_off_Goal_H,HT_Shots_off_Goal_A,HT_Blocked_Shots_H,HT_Blocked_Shots_A,HT_Total_Passes_H,HT_Total_Passes_A,HT_Completed_Passes_H,HT_Completed_Passes_A,HT_Free_Kicks_A,HT_Free_Kicks_H,HT_Goal_Kicks_H,HT_Goal_Kicks_A,HT_Corner_Kicks_H,HT_Corner_Kicks_A,HT_Offsides_H,HT_Offsides_A,HT_Goalkeeper_Saves_H,HT_Goalkeeper_Saves_A,HT_Fouls_H,HT_Fouls_A,HT_Yellow_Cards_H,HT_Yellow_Cards_A,HT_Red_Cards_H,HT_Red_Cards_A,HT_Tackles_H,HT_Tackles_A,HT_Throwin_A,HT_Throwin_H,FT_Ball_Possession_H,FT_Ball_Possession_A,FT_Goal_Attempts_H,FT_Goal_Attempts_A,FT_Attacks_H,FT_Attacks_A,FT_Dangerous_Attacks_H,FT_Dangerous_Attacks_A,FT_Shots_on_Goal_H,FT_Shots_on_Goal_A,FT_Shots_off_Goal_H,FT_Shots_off_Goal_A,FT_Blocked_Shots_H,FT_Blocked_Shots_A,FT_Total_Passes_H,FT_Total_Passes_A,FT_Completed_Passes_H,FT_Completed_Passes_A,FT_Pass_Success_%_H,FT_Pass_Success_%_A,FT_Free_Kicks_A,FT_Free_Kicks_H,FT_Goal_Kicks_H,FT_Goal_Kicks_A,FT_Corner_Kicks_H,FT_Corner_Kicks_A,FT_Offsides_H,FT_Offsides_A,FT_Goalkeeper_Saves_H,FT_Goalkeeper_Saves_A,FT_Fouls_H,FT_Fouls_A,FT_Yellow_Cards_H,FT_Yellow_Cards_A,FT_Red_Cards_A,FT_Red_Cards_H,FT_Tackles_H,FT_Tackles_A,FT_Throwin_A,FT_Throwin_H
1,2019-01-03,21:00,URUGUAY - PRIMERA DIVISION,2019,Cerro Largo,Plaza Colonia,APERTURA ,1,0,1,0,2.5,2.1,4.5,2.5,2.1,4.75,1.4,2.75,1.4,2.75,,,,,3,1.36,3,1.36,,,,,8,1.08,8,1.08,1.83,3.5,4.33,1.8,3.4,3.8,1.22,1.3,2,1.25,1.3,1.9,1.83,1.83,1.8,1.9,1.07,9.5,1.07,9.5,1.08,6.6,1.08,6.30,1.33,3.25,1.30,3.40,1.48,2.54,1.61,2.23,2.05,1.75,2.20,1.65,2.82,1.4,3.34,1.30,3.5,1.28,3.40,1.30,6.4,1.12,6.4,1.12,8,1.08,7.00,1.10,,,,,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.85,1.62,2.25,1.3,3.45,2.15,1.67,1.16,5.25,3,1.37,,,4.25,1.21,,,7,1.1,,,,,,,9.5,11,21,41,6.5,6.5,15,34,8.5,8.5,17,41,15,15,29,51,126,81,101,201,34,34,51,126,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-01-06,15:00,URUGUAY - PRIMERA DIVISION,2019,Fenix,Rampla Juniors,APERTURA ,1,1,3,1,2.3,2.3,4.5,2.2,2.4,4.75,1.33,3.25,1.28,3.50,,,,,2.5,1.5,2.25,1.57,,,,,6,1.12,5.50,1.14,1.7,3.5,4.5,1.66,3.6,4.6,1.18,1.28,2.1,1.18,1.28,2.1,1.61,2.2,1.53,2.37,1.04,13,1.02,17.00,1.04,8.6,1.01,11.00,1.2,4.33,1.16,5.00,1.27,3.54,1.29,3.60,1.6,2.3,1.52,2.42,1.92,1.82,1.89,1.91,2.62,1.44,2.25,1.57,4,1.2,3.15,1.36,4.5,1.18,4.00,1.22,7.2,1.1,6.50,1.11,10,1.06,8.00,1.08,,,,,21,1.01,17.00,1.02,,,,,,,,,,,,,,,,,1.3,3.45,1.5,2.5,1.24,3.9,1.93,1.88,1.13,5.9,2.5,1.5,,,3.45,1.3,,,5,1.17,,,7,1.1,,,13,15,26,51,9,7,15,34,9.5,8.5,13,34,15,13,21,41,101,67,81,101,29,26,41,67,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-01-06,15:00,URUGUAY - PRIMERA DIVISION,2019,Plaza Colonia,Racing Montevideo,APERTURA ,2,0,4,1,3,2.1,3.6,3,2.1,3.6,1.44,2.62,1.44,2.62,,,,,3,1.36,3,1.36,,,,,9,1.07,9,1.07,2.25,3.2,3.2,2.25,3.2,3,1.36,1.36,1.66,1.36,1.36,1.57,1.8,1.9,1.72,2,1.07,9,1.07,9.50,1.07,6.8,1.08,7.70,1.33,3.25,1.30,3.40,1.48,2.54,1.58,2.39,2,1.8,2,1.8,2.66,1.44,2.61,1.50,3.5,1.28,3.40,1.30,5.3,1.12,5.50,1.14,8,1.08,7.00,1.10,,,,,17,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.2,2,1.8,1.47,2.6,2.75,1.42,1.26,3.7,4.1,1.22,1.13,5.9,6,1.12,,,,,,,,,,,9,9.5,15,34,7.5,6,12,26,11,9.5,15,34,21,19,29,51,67,51,81,151,41,41,51,126,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-01-06,15:00,URUGUAY - PRIMERA DIVISION,2019,Progreso,Defensor Sp.,APERTURA ,0,3,0,3,2.87,2.25,3.5,2.6,2.3,3.75,1.33,3.25,1.30,3.40,,,,,2.5,1.5,2.37,1.53,,,,,6,1.12,6,1.12,2.25,3.2,3.25,2,3.25,3.5,1.35,1.36,1.66,1.28,1.33,1.72,1.53,2.37,1.5,2.5,1.04,13,1.03,15.00,1.02,10,1.02,10,1.2,4.33,1.16,5.00,1.29,3.42,1.33,3.32,1.65,2.2,1.60,2.30,1.97,1.78,1.98,1.83,2.62,1.44,2.37,1.53,3.48,1.26,3.42,1.31,5,1.16,4.33,1.20,7.2,1.1,7.40,1.09,10,1.06,9.00,1.07,,,,,21,1.01,17.00,1.02,,,,,,,,,,,,,,,,,1.6,2.3,1.95,1.85,1.45,2.67,2.6,1.47,1.25,3.8,3.7,1.26,1.13,5.9,5.5,1.15,,,7,1.1,,,,,,,13,13,17,34,10,6,12,23,13,9.5,11,29,21,17,23,34,67,51,51,81,41,34,41,67,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-01-09,15:00,URUGUAY - PRIMERA DIVISION,2019,Danubio,River Plate,TORNEO INTERMEDIO ,0,0,0,1,3.25,2.2,3.2,4.5,2.2,2.5,1.4,2.75,1.4,2.75,,,,,2.75,1.4,2.75,1.4,,,,,7,1.1,8.00,1.08,2.7,3.1,2.5,4,3.3,1.83,1.5,1.36,1.44,1.8,1.3,1.2,1.66,2.1,1.72,2,1.05,11,1.05,11,1.05,7.3,1.06,7.40,1.25,3.75,1.28,3.50,1.42,2.73,1.42,2.67,1.85,1.95,1.90,1.90,2.4,1.53,2.47,1.48,3.25,1.33,3.25,1.33,4.54,1.15,4.80,1.14,6,1.12,6.50,1.11,,,,,13,1.04,13,1.04,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,2,1.8,2.45,1.52,1.65,2.2,3.65,1.27,1.36,3.05,4.74,1.16,1.17,4.8,,,1.09,7,,,1.1,5.65,,,,,11,9.5,13,26,9.5,6,10,21,13,10,12,29,29,21,29,41,51,41,51,101,51,41,51,101,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-01-09,15:00,URUGUAY - PRIMERA DIVISION,2019,Nacional,Penarol,TORNEO INTERMEDIO ,2,0,3,0,3.2,2.05,3.5,3.2,2.2,3.4,1.44,2.62,1.40,2.75,,,,,3.25,1.33,2.75,1.40,,,,,10,1.06,8.00,1.08,2.3,3.3,2.7,2.4,3.3,2.6,1.4,1.3,1.53,1.44,1.3,1.5,1.9,1.8,1.72,2,1.07,9,1.05,11.00,1.1,5.75,1.06,7.10,1.36,3,1.28,3.50,1.64,2.18,1.44,2.60,2.2,1.65,1.95,1.85,3.14,1.33,2.55,1.45,4,1.22,3.25,1.33,6.1,1.08,5.00,1.13,9,1.07,6.50,1.11,,,,,19,1.02,15.00,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.02,2.15,1.67,1.57,2.33,3.1,1.35,1.3,3.4,4.9,1.17,1.13,5.4,7.5,1.09,,,,,,,,,,,9,7.5,13,29,7,6.5,10,23,11,9.5,17,34,23,21,34,51,67,51,81,151,51,51,67,151,301,43,57,1,3,37,50,13,23,1,1,0,2,,,,,,,7,5,,,2,0,,,1,0,,,1,1,,,,,15,4,50,50,3,5,75,85,34,41,2,2,1,3,,,,,,,,,16,13,,,5,2,,,2,0,,,3,2,,,,,21,17
7,2019-02-03,16:30,URUGUAY - PRIMERA DIVISION,2019,Liverpool M.,Progreso,APERTURA ,0,2,3,5,2.87,2.2,3.5,3,2.2,3.6,1.36,3,1.40,2.75,,,,,2.62,1.44,2.75,1.40,,,,,7,1.1,8.00,1.08,2.2,3.4,2.87,2.2,3.3,2.8,1.4,1.3,1.61,1.4,1.33,1.61,1.66,2.1,1.72,2,1.05,12,1.05,11.00,1.06,7.3,1.07,6.80,1.25,3.75,1.28,3.50,1.32,3.2,1.42,2.42,1.8,2,1.95,1.85,2.25,1.6,2.46,1.40,3,1.36,3.40,1.30,5,1.17,5.20,1.13,6,1.12,6.50,1.11,,,,,13,1.04,15.00,1.03,,,,,26,1.01,26,1.01,,,,,,,,,,,,,,,,,1.7,2.1,2,1.8,1.52,2.42,2.67,1.45,1.3,3.45,3.9,1.24,1.15,5.5,5.75,1.14,,,,,,,,,,,12,10,15,34,8.5,6.5,11,23,11,9,13,29,21,17,26,41,67,51,51,101,41,41,51,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-02-03,16:30,URUGUAY - PRIMERA DIVISION,2019,Racing Montevideo,Nacional,APERTURA ,0,0,1,1,6,2.25,2.2,4.75,2.05,2.6,1.44,2.62,1.50,2.50,,,,,3.25,1.33,3.50,1.28,,,,,9,1.07,10.00,1.06,6,4,1.5,3.6,3.5,1.8,2.5,1.22,1.12,1.9,1.28,1.28,2.2,1.61,2.25,1.57,1.07,9,1.08,8.50,1.08,6.6,1.11,5.50,1.36,3,1.44,2.62,1.49,2.51,1.62,2.22,2.1,1.7,2.25,1.62,2.98,1.37,3.40,1.29,3.75,1.25,4.50,1.18,7,1.1,6.80,1.07,8,1.08,10.00,1.06,,,,,19,1.02,23.00,1.01,,,,,,,,,,,,,,,,,,,,,,,,,4.4,1.2,5,1.17,3,1.37,6.4,1.11,2.15,1.68,,,1.62,2.25,,,1.35,3.1,,,1.18,4.65,,,1.1,6.8,9,5.5,6,10,12,8,8.5,15,29,19,23,34,67,51,51,81,21,29,51,151,351,201,201,351,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-02-06,15:00,URUGUAY - PRIMERA DIVISION,2019,CA Cerro,Wanderers,APERTURA ,2,0,3,0,3.5,2.1,3.2,3.75,2.05,3.1,1.44,2.62,1.50,2.50,,,,,3,1.36,3.40,1.30,,,,,9,1.07,10.00,1.06,2.8,3.2,2.4,2.9,3.2,2.3,1.53,1.36,1.4,1.57,1.36,1.4,1.8,1.9,1.9,1.8,1.07,9.5,1.08,8.50,1.08,6.3,1.12,6.40,1.33,3.25,1.36,3.00,1.52,2.43,1.70,2.16,2,1.8,2.20,1.65,2.72,1.43,2.98,1.39,3.5,1.28,4.00,1.22,5.8,1.1,6.85,1.1,8,1.08,9.00,1.07,,,,,17,1.02,19.00,1.02,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,2.5,1.5,1.8,2,3.55,1.27,1.42,2.75,5.75,1.14,1.22,4.15,,,1.12,6.25,,,,,,,,,9.5,8,11,23,8.5,6,9.5,21,13,11,15,29,29,23,34,51,51,41,67,126,67,51,67,126,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-02-06,15:00,URUGUAY - PRIMERA DIVISION,2019,Danubio,Boston River,APERTURA ,0,0,1,0,2.62,2.2,4,2.3,2.25,4.75,1.36,3,1.36,3,,,,,2.75,1.4,2.62,1.44,,,,,7,1.1,6.50,1.11,1.95,3.25,3.6,1.72,3.4,4.5,1.28,1.33,1.8,1.18,1.3,2,1.72,2,1.66,2.1,1.05,11,1.05,12.00,1.04,8.5,1.04,8.5,1.25,3.75,1.22,4.00,1.37,2.94,1.43,2.85,1.75,2.05,1.75,2.05,2.25,1.6,2.21,1.67,3,1.36,2.75,1.40,4.1,1.2,4.16,1.23,6,1.12,5.50,1.14,10,1.05,9.70,1.05,13,1.04,11.00,1.05,,,,,26,1.01,23.00,1.01,,,,,,,,,,,,,,,,,1.5,2.5,1.77,2.02,1.37,3,2.35,1.57,1.21,4.25,3.45,1.3,1.1,6.8,4.65,1.18,,,6.25,1.12,,,,,,,11,12,19,41,8,6.5,13,29,10,8.5,13,34,17,15,26,41,81,67,81,126,41,34,51,81,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
